individual_wikidata_id,individual_name,individual_wikidata_id,birth_year,country,classification,explanation,sources
Q77131,Carl Friedrich Philipp von Martius,Q77131,1794,Germany,Middle Class,"Carl Friedrich Philipp von Martius was born on April 17, 1794, in Erlangen, Bavaria, Germany. His father, Ernst Wilhelm Martius, was an apothecary, a profession that would place the family in the middle class according to the social structure of late 18th-century Germany. The apothecary profession required a level of education and skill, and it provided a stable income, but it did not confer the status or wealth of the elite class. Martius' access to education, which included studying at the University of Erlangen, can be attributed to his family's middle-class status, as education during this period was often inaccessible to the lower classes. There is no evidence to suggest that Martius was born into significant wealth or inherited any privileges or disadvantages due to his birth.","""Martius, Carl Friedrich Philipp von."" Complete Dictionary of Scientific Biography. . Encyclopedia.com. 16 Sep. 2021 <https://www.encyclopedia.com>."
Q123034,Huldrych Zwingli,Q123034,1484,Switzerland,Middle Class,"Huldrych Zwingli was born in Wildhaus, in the Swiss canton of St. Gallen, to a relatively prosperous family. His father, Ulrich Zwingli, was a local magistrate and a successful sheep herder. His mother, Margaretha (Müller) Zwingli, was the sister of an abbot, indicating some level of familial connection to the church. The family was well-respected and had enough resources to provide Zwingli with a good education. At a young age, Zwingli was sent to Basel to receive his initial education, and later he studied in Vienna and Basel, indicating that his family had the means to support his education. His family's status and wealth, along with their ability to provide him with an education, suggest that they were part of the middle class.","""Zwingli, Huldrych."" Encyclopædia Britannica, Encyclopædia Britannica, Inc., 2020; ""Huldrych Zwingli."" The Columbia Encyclopedia, Columbia University Press, 2018."
Q131405,Louis Daguerre,Q131405,1787,France,Middle Class,"Louis Daguerre was born on November 18, 1787, in Cormeilles-en-Parisis, France. His father, Claude Daguerre, was a well-off merchant, which suggests a middle-class background. The family's wealth would have provided Daguerre with a comfortable upbringing and access to education. However, there is no evidence to suggest that the Daguerre family was part of the elite ruling class or nobility. Similarly, they were not subsistence-level laborers or peasants. Therefore, based on the available information, it can be inferred that Louis Daguerre was born into a middle-class family.","""Louis Daguerre (1787–1851) and the Invention of Photography"". Department of Photographs. The Metropolitan Museum of Art."
Q514276,Arnold Houbraken,Q514276,1660,Netherlands,Middle Class,"Arnold Houbraken was born in Dordrecht, Netherlands, in 1660. His father was a timber merchant, which suggests a middle-class background. The timber trade was a significant industry in the Netherlands during the 17th century, and those involved in it would have had a comfortable living. However, there is no evidence to suggest that Houbraken's family was part of the elite or nobility. His access to education was likely due to his family's middle-class status, as he was apprenticed to the painter Jacobus Leveck, a common practice for middle-class children during this period. His early life housing and living conditions would have been comfortable but not luxurious, consistent with a middle-class upbringing. There is no evidence of any inherited privileges or disadvantages.","Arnold Houbraken's biography in the ""Nieuw Nederlandsch Biografisch Woordenboek"" (New Dutch Biographical Dictionary), ""The Dutch Republic: Its Rise, Greatness, and Fall 1477-1806"" by Jonathan Israel."
Q44403,Heinrich Heine,Q44403,1797,France,Middle Class,"Heinrich Heine was born into a Jewish family in Düsseldorf, Germany, which was under French rule at the time of his birth in 1797. His father, Samson Heine, was a textile merchant, which would place the family in the middle class according to the typology provided. His mother, Peira van Geldern, came from a notable Jewish family. The family was not wealthy, but they were not living in poverty either. Heine's family could afford to provide him with a good education, which was not common for lower classes during this time. He attended a Jewish school, a Catholic school, and later a business school in Düsseldorf. His family's financial situation and his access to education suggest that he was born into the middle class.","""Heinrich Heine: A Modern Biography"" by Jeffrey L. Sammons; ""Heinrich Heine: His Life and Works"" by Francis Storr."
Q766362,William Etty,Q766362,1787,United Kingdom,Middle Class,"William Etty was born on 10 March 1787 in York, England. His father, Matthew Etty, was a baker and miller, which were skilled trades and would place the family in the middle class. His mother, Esther Calverley, was the daughter of a farmer, another occupation that would be considered middle class. The family lived in Feasegate, off St Helen's Square, York, in a house behind St Helen's Church. While the family was not wealthy, they were not impoverished either. Etty was the youngest of ten children, but seven of his siblings died of smallpox or typhus in childhood, which was common at the time and not necessarily indicative of their social class. Etty was educated at a local school, which suggests that his family had the means to provide him with an education.","""William Etty: Art and Controversy"" by Sarah Burnage, Mark Hallett, Laura Turner; ""William Etty: The Life and Art"" by Leonard Robinson."
Q334970,José-Maria de Heredia,Q334970,1842,France,Elite,"José-Maria de Heredia was born into a wealthy and influential family of Spanish origin. His father, Domingo de Heredia, was a wealthy landowner and sugar plantation owner in Cuba. His mother, Hélène Allut, was from a French family that had settled in Cuba. The family's wealth and status would have provided José-Maria with a privileged upbringing, including access to education. His family's wealth and status would have also provided him with a comfortable living environment and numerous inherited privileges.","""José-Maria de Heredia (1842–1905): A Cuban Poet in the French Academy"" by Gustavo Pellón, ""José-Maria de Heredia"" by Jean-Claude Polet."
Q314765,Alessandro Stradella,Q314765,1643,Italy,Elite,"Alessandro Stradella was born into a noble family in the region of Lombardy, Italy, around 1643. His father, Marc'Antonio Stradella, was a member of the aristocracy and held a high-ranking position in the government of the Duchy of Milan. This would have provided the family with a significant amount of wealth and social standing. Stradella's family wealth and status would have given him access to a high-quality education, which was typically reserved for the elite class during this period. His early life housing and living conditions would have been comfortable and luxurious, reflecting his family's high social standing. As a member of the aristocracy, Stradella would have inherited certain privileges, such as access to political and social networks, that were not available to those in lower social classes.","""Alessandro Stradella (1639-1682): A Thematic Catalogue of His Compositions"" by Carolyn Gianturco and Eleanor McCrickard; ""Alessandro Stradella: The Man and His Music"" by Frederick Hammond."
Q4605,Sarah Bernhardt,Q4605,1844,France,Middle Class,"Sarah Bernhardt was born in Paris, France, around 1844 to a Dutch courtesan named Youle Bernard, also known as Julie. Her father's identity remains uncertain, but some sources suggest he was a lawyer. Bernhardt's mother was not wealthy, but as a courtesan, she would have been considered part of the demimonde, a group that existed on the fringes of respectable society. Bernhardt's early life was marked by financial instability and frequent moves, but her mother's profession provided some access to the higher echelons of society. Bernhardt was sent to a boarding school in Versailles at a young age, suggesting that her family had enough resources to afford some form of education. However, her upbringing was far from the traditional middle-class family structure, and she did not enjoy the stability or respectability typically associated with this class.","Gottlieb, Robert. ""Sarah: The Life of Sarah Bernhardt."" Yale University Press, 2010. Skerrett, Joseph. ""Sarah Bernhardt, Her Films, Her Recordings."" McFarland, 2003."
Q77017,Jakob Böhme,Q77017,1575,Germany,Middle Class,"Jakob Böhme was born in Alt Seidenberg (now Stary Zawidów, Poland), a small village near Görlitz in eastern Germany. His parents, George and Ursula Böhme, were peasants who owned their own land, which was not common among the peasantry in the late 16th century. This suggests that they were relatively well-off compared to other peasants, placing them in the lower middle class. Jakob was the fourth of five children. His father taught him to read and write, which was also not common among peasants, further suggesting a middle-class background. Jakob was apprenticed to a shoemaker at the age of 14, which was a skilled trade and a typical path for children of the middle class. His family's relative wealth and his access to education and skilled trade training suggest a middle-class upbringing.","""The Life and Doctrines of Jacob Boehme"" by Franz Hartmann, ""Jacob Boehme: The Teutonic Philosopher"" by William Law, ""Jacob Boehme: His Life and Teaching"" by Hans Martensen."
