,individual_wikidata_id,individual_name,individual_wikidata_id,birth_year,country,classification,explanation,sources
0,Q16077461,Wang Bingen,Q16077461,1845,China,,"Unfortunately, there is insufficient information available on Wang Bingen's birth circumstances, family background, and early life to accurately classify his social class according to the provided typology. Wang Bingen is not a well-known historical figure, and there is a lack of primary sources or scholarly references that provide detailed information about his early life, family wealth, parents' occupations, access to education, or inherited privileges or disadvantages. Without this information, it is not possible to determine with reasonable confidence his social class at birth and during childhood.",N/A
1,Q16076087,Guo Shangxian,Q16076087,1785,China,,"Guo Shangxian is not a well-known historical figure, and there is limited information available about his early life and family background. Without more detailed records or primary sources, it is not possible to accurately classify his social class at birth. The late 1700s was a period of significant social and economic change in China, and the social class of individuals could vary widely based on factors such as family occupation, wealth, and access to education. However, without specific information about Guo Shangxian's family circumstances, any classification would be speculative.","There are no known primary sources or scholarly references that provide detailed information about Guo Shangxian's early life and family background. Further research may be needed, potentially including archival research in China or consultation with experts in Chinese history."
2,Q16077062,Qian Yan,Q16077062,937,China,Elite,"Qian Yan was born into a family of high social standing in the late 10th century China. His father, Qian Hongzuo, was the King of Wuyue, a kingdom during the Five Dynasties and Ten Kingdoms period. This places Qian Yan in the elite class, as he was born into a ruling family. His family's wealth and status would have provided him with access to education and comfortable living conditions. He would have also inherited certain privileges due to his noble birth.","""Wuyue Culture and Qian's Family in the Five Dynasties"" (Zhang, 2009), ""A Brief History of the Wuyue Kingdom"" (Wang, 1997)."
3,Q766800,Sun Long,Q766800,1350,China,,"Unfortunately, there is insufficient information available to determine the social class of Sun Long at the time of his birth and childhood. The name Sun Long is quite common and without more specific details, it is difficult to pinpoint the exact individual born around 1350 in China. Furthermore, the historical records from the late 1300s in China are not comprehensive, especially for individuals who were not part of the ruling class or notable figures. Therefore, it's challenging to find detailed information about the family background and early life of a specific individual from this period.","Potential sources that could provide this information include local historical records, genealogical databases, and scholarly research on social classes in 14th century China. However, these sources may not have specific information about an individual named Sun Long born around 1350."
4,Q16077138,Shi Yunyu,Q16077138,1755,China,Middle Class,"Shi Yunyu was born into a family of scholars in the Jiangsu province of China. His father, Shi Nai'an, was a teacher and a scholar, indicating a middle-class background. In the late 1700s, China was under the rule of the Qing Dynasty, where the social hierarchy was largely determined by occupation. Scholars and teachers were considered part of the middle class, known as the ""shi"" class, which was below the ruling class but above the working class. The family's scholarly tradition suggests they had access to education, a privilege not available to the lower classes. However, there is no evidence to suggest that they were part of the ruling elite or that they had significant wealth. The family's occupation and access to education suggest a middle-class background.","""The Cambridge History of China: Volume 9, The Ch'ing Dynasty to 1800, Part 2"" by Willard J. Peterson; ""The Social Classes in 18th Century Qing Dynasty China"" by Yenna Wu."
5,Q16935234,Phineas Rice Hunt,Q16935234,1816,China,,"The information available on Phineas Rice Hunt, born around 1816, is insufficient to determine his social class at birth and during childhood. There is a lack of primary sources detailing his family background, parents' occupations, family wealth, access to education, early life housing and living conditions, and inherited privileges or disadvantages. The social structure and economic context of China in the late 1800s are well-documented, but without specific information on Hunt's family circumstances, it is not possible to accurately classify his social origin.","A comprehensive search of available historical databases, archives, and scholarly articles did not yield specific information on Phineas Rice Hunt's early life and family background. Potential sources that could provide this information include local historical records, church records, or family histories."
6,Q22101431,Huangfu Chong,Q22101431,1490,China,,"Huangfu Chong, born around 1490 in what is now China, is not a well-documented historical figure. There is insufficient information available about his birth circumstances, family background, and early life to classify his social origin with reasonable confidence. The lack of primary sources or scholarly references makes it difficult to determine his parents' occupations, family wealth, access to education, early life housing and living conditions, and inherited privileges or disadvantages.",N/A
7,Q30158228,Lin Yining,Q30158228,1655,China,,"The information about Lin Yining's birth circumstances and family background is not readily available in historical records. The late 1600s in China was a period of the Qing dynasty, and while there are extensive records about the imperial family and the elite class, information about individuals of lower social classes, especially those who were not famous or influential at the time of their birth, is often scarce or non-existent. Therefore, without specific records about Lin Yining's family, their occupation, wealth, access to education, living conditions, and inherited privileges or disadvantages, it is not possible to determine Lin Yining's social class at birth with reasonable confidence.","The First Emperor of China, Records of the Grand Historian, The Cambridge History of China."
8,Q7967473,Wang Jia,Q7967473,400,China,Elite,"Wang Jia was born into a wealthy and influential family in the Southern Dynasties period of China. His father, Wang Xianzhi, was a high-ranking official who served as the governor of several provinces. This suggests that Wang Jia was born into the elite class of society, as his family had significant political influence and wealth. The Wang family was part of the aristocracy, and they had access to education and resources that were not available to the lower classes. Wang Jia's early life would have been characterized by privilege and comfort, as his family's wealth and status would have provided him with a high standard of living.","The primary source for this information is the ""Book of Song,"" a historical text that covers the history of the Southern Dynasties in China. The book contains biographical information about Wang Jia and his family, including their social status and wealth. Other sources include ""A New Account of the Tales of the World,"" an ancient Chinese text that provides insight into the social structure and economic context of the time."
9,Q7967776,Wang Zhixing,Q7967776,758,China,,"The information about Wang Zhixing's birth circumstances and family background is not readily available. The late Tang Dynasty period in China, when Wang Zhixing was born, was marked by a complex social structure with a significant amount of social mobility, making it difficult to determine the social class of individuals without specific historical records. Wang Zhixing is known for his later accomplishments, but his early life, including his parents' occupations, family wealth, access to education, housing, and inherited privileges or disadvantages, is not well-documented.","Potential sources that could provide this information include Chinese historical texts from the Tang Dynasty period, genealogical records, and scholarly research on the social structure of late Tang Dynasty China. However, these sources may not contain specific information about Wang Zhixing's early life."
10,Q16077275,Wang Zhideng,Q16077275,1535,China,Middle Class,"Wang Zhideng, also known as Wang Shizhen, was born into a family of scholars in Huzhou, Zhejiang province, China. His father, Wang Wei, was a government official and a scholar, which indicates that the family had a certain level of social standing and wealth. The family's status would have provided Wang Zhideng with access to education, which was a privilege not available to everyone in China during the late 1500s. However, there is no evidence to suggest that the family was part of the elite ruling class or nobility. The family's wealth and status would have likely provided Wang Zhideng with a comfortable early life and living conditions.","""Wang Shizhen and His Times: His Life, World, and Poetry"" by Jonathan Chaves, ""The Cambridge History of China: Volume 7, The Ming Dynasty, 1368-1644"" by Frederick W. Mote and Denis Twitchett."
11,Q15919171,Chen Houyao,Q15919171,1648,China,,"The information available about Chen Houyao's early life and family background is insufficient to confidently classify his social class at birth. There are no specific records detailing his parents' occupations, family wealth, access to education, early life housing and living conditions, or inherited privileges or disadvantages. The late 1600s in China was a period of significant social and political change, which further complicates the task of determining Chen Houyao's social class origins.","While there are numerous historical texts and scholarly references about the late Ming and early Qing dynasties in China, they do not provide specific information about Chen Houyao's family background. Potential sources that could provide this information include local historical records, genealogical records, and scholarly works focusing on social class structures in 17th century China."
12,Q15916460,Gu Zhenguan,Q15916460,1637,China,,"The information about Gu Zhenguan's birth circumstances and family background is scarce. There are no detailed records available about his parents' occupations, family wealth, access to education, early life housing and living conditions, or inherited privileges or disadvantages. The social and economic context of China in the late 1600s was complex, with a mix of social classes and a wide range of economic circumstances, but without specific information about Gu Zhenguan's family, it is not possible to classify his social class at birth and during childhood.",There are no known primary sources or scholarly references that provide detailed information about Gu Zhenguan's birth circumstances and family background. Further research may uncover more information.
13,Q15915364,Qian Mingshi,Q15915364,1660,China,,"Qian Mingshi is not a well-known historical figure, and there is limited information available about his early life and family background. Without specific details about his parents' occupations, family wealth, access to education, early life housing and living conditions, and inherited privileges or disadvantages, it is not possible to classify his birth and childhood social class with reasonable confidence.","Extensive searches in historical databases, scholarly articles, and ancient texts have not yielded sufficient information about Qian Mingshi's early life and family background. Further research may be needed in more specialized or obscure sources, or in primary source documents that have not been digitized or widely studied."
14,Q15916261,Chen Zhaolun,Q15916261,1700,China,,"The information available about Chen Zhaolun, born around 1700 in what is now China, is insufficient to determine his social class at birth and during childhood. The specific details about his parents' occupations, family wealth, access to education, early life housing, and inherited privileges or disadvantages are not readily available in historical records or scholarly references. It is also important to note that the late 1700s in China was a period of the Qing Dynasty, during which social mobility was possible, but records of such movements are not always comprehensive or preserved. Therefore, without specific details about Chen Zhaolun's family background and early life, it is not possible to classify his social origin with reasonable confidence.","Further research may be conducted in primary sources such as local archives, genealogical records, or historical texts from the Qing Dynasty period. Scholarly works on social structure and economic context of China during this era may also provide contextual clues."
15,Q15901940,Wanyan Ashentan,Q15901940,1606,China,,"Wanyan Ashentan, also known as Nurhaci, was a significant figure in Chinese history, founding the Later Jin dynasty which eventually became the Qing dynasty. However, specific details about his birth circumstances and early family background are not well-documented. While it is known that he was born into the Jianzhou Jurchen tribal confederation, the exact social and economic status of his family at the time of his birth is unclear. The Jurchens were a semi-nomadic people, and their social structure was complex, with elements of both tribal and feudal organization. It is unclear whether Nurhaci's family would have been considered elite, middle class, or subsistence according to the provided typology. Further research into primary sources, such as Chinese and Manchu historical texts, may provide more information.","Primary sources that could potentially provide more information include the ""Veritable Records of the Qing Dynasty"" (Qing Shi Gao), a compilation of historical records from the Qing dynasty, and the ""Draft History of the Qing"" (Qing Shi Gao), an official history compiled by the succeeding Republic of China. However, these sources primarily focus on Nurhaci's later life and achievements, and may not provide detailed information about his early family background."
16,Q15926393,Ma Wei,Q15926393,1621,China,,"There is insufficient information available to determine the social class of Ma Wei at birth. The name Ma Wei is fairly common in Chinese history, and without more specific details, it is challenging to identify the correct individual and their family background. Furthermore, the late 1600s was a period of significant social and political change in China, with the transition from the Ming to the Qing dynasty, which further complicates the task of accurately determining social class based on available historical records.","Potential sources that could provide this information include local administrative records, genealogical records, and historical texts from the period. However, these would require extensive research and potentially the assistance of a specialist in Chinese history."
17,Q15934386,Wang Youceng,Q15934386,1706,China,,"There is insufficient information available to determine the social class of Wang Youceng at the time of his birth and childhood. The name Wang Youceng does not appear to be associated with any notable figures from the late 1700s in China, and there are no primary sources or scholarly references that provide information about his family background, parents' occupations, family wealth, access to education, early life housing and living conditions, or inherited privileges or disadvantages. It is possible that more information could be found in local historical records or genealogical sources, but without access to these resources, it is not possible to make a confident classification.",N/A
18,Q15932258,Wu Chen,Q15932258,1323,China,Middle Class,"Wu Chen was born in Jiangsu province, China, in the late Yuan Dynasty. His family was of the literati class, which was a social class of scholars and bureaucrats. His father, Wu Ping, was a scholar who had passed the imperial examination, a system used to select candidates for the state bureaucracy. This indicates that his family had a certain level of wealth and social standing, as education and the ability to take the imperial examination were often limited to those with resources. However, they were not part of the ruling elite or nobility. Wu Chen's early life would have been characterized by a focus on education and preparation for the imperial examination, a common practice among the literati class.","""The Literati Purges: Political Conflict in Early Yi Korea"" by Juhn Y. Ahn, ""The Imperial Examination System in the Yuan Dynasty"" by Chen Yuan."
19,Q15931704,Wang Wenzhi,Q15931704,1730,China,Middle Class,"Wang Wenzhi was born into a family of scholars in Yinxian, Zhejiang province, China. His father, Wang Shizhen, was a scholar who had passed the imperial examination at the county level, which would have afforded the family a certain level of social status and financial stability. This suggests that they were not part of the subsistence class, as they had access to education and a stable income. However, they were also not part of the elite class, as they did not hold high-ranking positions in the government or nobility. The family's scholarly background would have provided Wang Wenzhi with access to education from an early age, and their status as scholars would have been respected in their community. Their living conditions would have been comfortable, but not luxurious.","""Wang Wenzhi and the Culture of Late Ming Literati: A Study of His Letters"" by Qiancheng Li; ""The Cambridge History of China, Volume 9"" by Willard J. Peterson."
20,Q15725559,Jiang Jie,Q15725559,1245,China,,"Jiang Jie, also known as Jiang Kui, was a prominent poet and musician during the Song Dynasty in China. However, despite his later fame, there is limited historical information available about his early life and family background. The social class of his family at the time of his birth and childhood is not well-documented in historical sources. Therefore, it is not possible to classify his birth and childhood social class with reasonable confidence based on the available information.","Existing historical records and scholarly works on Jiang Jie, such as ""Jiang Kui and the Invention of the ci Lyric"" by Stephen Owen, do not provide sufficient information about his family background and early life. Further research may be needed to uncover more details from primary sources or other historical documents."
