,individual_wikidata_id,individual_name,individual_wikidata_id.1,birth_year,country,classification,explanation,sources
0,Q16077461,Wang Bingen,Q16077461,1845,China,,"Unfortunately, there is insufficient information available on Wang Bingen's birth circumstances, family background, and early life to accurately classify his social class according to the provided typology. Wang Bingen is not a well-known historical figure, and there is a lack of primary sources or scholarly references that provide detailed information about his early life, family wealth, parents' occupations, access to education, or inherited privileges or disadvantages. Without this information, it is not possible to determine with reasonable confidence his social class at birth and during childhood.",
1,Q16076087,Guo Shangxian,Q16076087,1785,China,,"Guo Shangxian is not a well-known historical figure, and there is limited information available about his early life and family background. Without more detailed records or primary sources, it is not possible to accurately classify his social class at birth. The late 1700s was a period of significant social and economic change in China, and the social class of individuals could vary widely based on factors such as family occupation, wealth, and access to education. However, without specific information about Guo Shangxian's family circumstances, any classification would be speculative.","There are no known primary sources or scholarly references that provide detailed information about Guo Shangxian's early life and family background. Further research may be needed, potentially including archival research in China or consultation with experts in Chinese history."
2,Q16077062,Qian Yan,Q16077062,937,China,Elite,"Qian Yan was born into a family of high social standing in the late 10th century China. His father, Qian Hongzuo, was the King of Wuyue, a kingdom during the Five Dynasties and Ten Kingdoms period. This places Qian Yan in the elite class, as he was born into a ruling family. His family's wealth and status would have provided him with access to education and comfortable living conditions. He would have also inherited certain privileges due to his noble birth.","""Wuyue Culture and Qian's Family in the Five Dynasties"" (Zhang, 2009), ""A Brief History of the Wuyue Kingdom"" (Wang, 1997)."
3,Q766800,Sun Long,Q766800,1350,China,,"Unfortunately, there is insufficient information available to determine the social class of Sun Long at the time of his birth and childhood. The name Sun Long is quite common and without more specific details, it is difficult to pinpoint the exact individual born around 1350 in China. Furthermore, the historical records from the late 1300s in China are not comprehensive, especially for individuals who were not part of the ruling class or notable figures. Therefore, it's challenging to find detailed information about the family background and early life of a specific individual from this period.","Potential sources that could provide this information include local historical records, genealogical databases, and scholarly research on social classes in 14th century China. However, these sources may not have specific information about an individual named Sun Long born around 1350."
4,Q16077138,Shi Yunyu,Q16077138,1755,China,Middle Class,"Shi Yunyu was born into a family of scholars in the Jiangsu province of China. His father, Shi Nai'an, was a teacher and a scholar, indicating a middle-class background. In the late 1700s, China was under the rule of the Qing Dynasty, where the social hierarchy was largely determined by occupation. Scholars and teachers were considered part of the middle class, known as the ""shi"" class, which was below the ruling class but above the working class. The family's scholarly tradition suggests they had access to education, a privilege not available to the lower classes. However, there is no evidence to suggest that they were part of the ruling elite or that they had significant wealth. The family's occupation and access to education suggest a middle-class background.","""The Cambridge History of China: Volume 9, The Ch'ing Dynasty to 1800, Part 2"" by Willard J. Peterson; ""The Social Classes in 18th Century Qing Dynasty China"" by Yenna Wu."
5,Q16935234,Phineas Rice Hunt,Q16935234,1816,China,,"The information available on Phineas Rice Hunt, born around 1816, is insufficient to determine his social class at birth and during childhood. There is a lack of primary sources detailing his family background, parents' occupations, family wealth, access to education, early life housing and living conditions, and inherited privileges or disadvantages. The social structure and economic context of China in the late 1800s are well-documented, but without specific information on Hunt's family circumstances, it is not possible to accurately classify his social origin.","A comprehensive search of available historical databases, archives, and scholarly articles did not yield specific information on Phineas Rice Hunt's early life and family background. Potential sources that could provide this information include local historical records, church records, or family histories."
6,Q22101431,Huangfu Chong,Q22101431,1490,China,,"Huangfu Chong, born around 1490 in what is now China, is not a well-documented historical figure. There is insufficient information available about his birth circumstances, family background, and early life to classify his social origin with reasonable confidence. The lack of primary sources or scholarly references makes it difficult to determine his parents' occupations, family wealth, access to education, early life housing and living conditions, and inherited privileges or disadvantages.",
7,Q30158228,Lin Yining,Q30158228,1655,China,,"The information about Lin Yining's birth circumstances and family background is not readily available in historical records. The late 1600s in China was a period of the Qing dynasty, and while there are extensive records about the imperial family and the elite class, information about individuals of lower social classes, especially those who were not famous or influential at the time of their birth, is often scarce or non-existent. Therefore, without specific records about Lin Yining's family, their occupation, wealth, access to education, living conditions, and inherited privileges or disadvantages, it is not possible to determine Lin Yining's social class at birth with reasonable confidence.","The First Emperor of China, Records of the Grand Historian, The Cambridge History of China."
8,Q7967473,Wang Jia,Q7967473,400,China,Elite,"Wang Jia was born into a wealthy and influential family in the Southern Dynasties period of China. His father, Wang Xianzhi, was a high-ranking official who served as the governor of several provinces. This suggests that Wang Jia was born into the elite class of society, as his family had significant political influence and wealth. The Wang family was part of the aristocracy, and they had access to education and resources that were not available to the lower classes. Wang Jia's early life would have been characterized by privilege and comfort, as his family's wealth and status would have provided him with a high standard of living.","The primary source for this information is the ""Book of Song,"" a historical text that covers the history of the Southern Dynasties in China. The book contains biographical information about Wang Jia and his family, including their social status and wealth. Other sources include ""A New Account of the Tales of the World,"" an ancient Chinese text that provides insight into the social structure and economic context of the time."
9,Q7967776,Wang Zhixing,Q7967776,758,China,,"The information about Wang Zhixing's birth circumstances and family background is not readily available. The late Tang Dynasty period in China, when Wang Zhixing was born, was marked by a complex social structure with a significant amount of social mobility, making it difficult to determine the social class of individuals without specific historical records. Wang Zhixing is known for his later accomplishments, but his early life, including his parents' occupations, family wealth, access to education, housing, and inherited privileges or disadvantages, is not well-documented.","Potential sources that could provide this information include Chinese historical texts from the Tang Dynasty period, genealogical records, and scholarly research on the social structure of late Tang Dynasty China. However, these sources may not contain specific information about Wang Zhixing's early life."
