,individual_wikidata_id,birthyear,classification,region_name
0,Q21062099,1763,,United Kingdom
1,Q18593133,1806,,United Kingdom
2,Q4269655,1791,Elite,United Kingdom
3,Q5083355,1846,Middle Class,United Kingdom
4,Q20738102,1790,,United Kingdom
5,Q3062817,1640,,United Kingdom
6,Q64347096,1849,Middle Class,United Kingdom
7,Q310439,1624,Middle Class,United Kingdom
8,Q104184348,1839,,United Kingdom
9,Q2369747,1762,Middle Class,United Kingdom
10,Q371280,1734,Middle Class,United Kingdom
11,Q20735247,1776,,United Kingdom
12,Q18593574,1739,Middle Class,United Kingdom
13,Q17309017,1814,Middle Class,United Kingdom
14,Q18674341,1788,,United Kingdom
15,Q20734579,1849,,United Kingdom
16,Q6282206,1748,Middle Class,United Kingdom
17,Q7350082,1812,Middle Class,United Kingdom
18,Q299565,1800,Elite,United Kingdom
19,Q336586,1833,,United Kingdom
20,Q20733543,1836,Middle Class,United Kingdom
21,Q18508424,1778,,United Kingdom
22,Q24691053,1791,,United Kingdom
23,Q72605357,1819,,United Kingdom
24,Q3181865,1616,,United Kingdom
25,Q18734719,1821,,United Kingdom
26,Q21465532,1830,,United Kingdom
27,Q3610758,1728,Middle Class,United Kingdom
28,Q43127553,1838,,United Kingdom
29,Q18526334,1843,Middle Class,United Kingdom
30,Q18671441,1563,,United Kingdom
31,Q55695800,1820,Middle Class,United Kingdom
32,Q2079286,1697,Middle Class,United Kingdom
33,Q23615656,1770,,United Kingdom
34,Q7345160,1764,Elite,United Kingdom
35,Q20490742,1802,,United Kingdom
36,Q20732712,1834,,United Kingdom
37,Q18528419,1641,,United Kingdom
38,Q18531358,1758,Elite,United Kingdom
39,Q4836326,1621,Elite,United Kingdom
40,Q64685797,1796,,United Kingdom
41,Q18576798,1677,,United Kingdom
42,Q98907630,1820,,United Kingdom
43,Q4899747,1767,Middle Class,United Kingdom
44,Q1738050,1825,Middle Class,United Kingdom
45,Q85486007,1814,,United Kingdom
46,Q26882263,1676,,United Kingdom
47,Q63203969,1814,,United Kingdom
48,Q75270928,1760,,United Kingdom
49,Q1309154,1825,Elite,United Kingdom
50,Q18917715,1781,,United Kingdom
51,Q745244,1750,Middle Class,United Kingdom
52,Q105395100,1834,Elite,United Kingdom
53,Q18528200,1737,Elite,United Kingdom
