,region_name,decade,percentage_non_elite,N_est,total_n
0,Chinese world,730,16.666666666666664,10.89121002649651,6
1,Chinese world,1040,57.14285714285714,11.539985242906065,7
2,Chinese world,1340,66.66666666666666,46.072391643484444,6
3,Chinese world,1500,50.0,73.25658844684517,8
4,Chinese world,1510,33.33333333333333,45.227454243742585,6
5,Chinese world,1550,85.71428571428571,137.12573812686082,7
6,Chinese world,1600,42.857142857142854,93.84286141138921,7
7,Chinese world,1610,66.66666666666666,102.68039560124363,6
8,Chinese world,1620,93.33333333333333,263.5526234468131,15
9,Chinese world,1630,53.84615384615385,205.875527844005,13
10,Chinese world,1640,50.0,271.5059290834786,16
11,Chinese world,1650,84.61538461538461,339.92694642062395,13
12,Chinese world,1660,73.68421052631578,793.4207291639857,19
13,Chinese world,1670,80.0,294.99333193080037,10
14,Chinese world,1680,64.28571428571429,440.1401081306936,14
15,Chinese world,1700,71.42857142857143,391.18342422914367,7
16,Chinese world,1710,66.66666666666666,217.62872587132227,6
17,Chinese world,1720,100.0,99.26274899470728,8
18,Chinese world,1730,62.5,219.59723907758126,8
19,Chinese world,1750,66.66666666666666,125.7405179474302,6
20,Chinese world,1760,70.0,249.34709316879105,10
21,Chinese world,1780,62.5,331.46118713782323,8
22,Chinese world,1790,87.5,300.4356657444277,8
23,Chinese world,1800,63.63636363636363,550.4845631171853,11
24,Chinese world,1810,75.0,227.93491145157626,8
25,Chinese world,1820,100.0,259.5321789137305,6
26,Chinese world,1830,63.63636363636363,434.79878379490486,11
27,Chinese world,1840,80.0,369.271874088939,10
32,Italy,1460,87.5,1287.8706301456832,8
33,Italy,1470,100.0,678.8594253353842,7
34,Italy,1480,75.0,3568.083745595312,8
35,Italy,1500,88.88888888888889,2686.5126055187684,18
36,Italy,1520,92.85714285714286,4218.691318782869,14
37,Italy,1530,87.5,2007.0976656871746,8
38,Italy,1540,92.3076923076923,8741.186919056361,13
39,Italy,1560,81.81818181818183,5667.564588868084,11
40,Italy,1570,83.33333333333334,5713.775494921427,12
41,Italy,1580,70.0,11001.692451777793,10
42,Italy,1600,80.0,11222.267822357362,15
43,Italy,1610,50.0,6714.26456311456,10
44,Italy,1620,66.66666666666666,12543.904506414832,9
45,Italy,1640,88.88888888888889,10994.73293899171,9
46,Italy,1650,66.66666666666666,4480.091598424283,6
47,Italy,1660,83.33333333333334,7247.865825557874,6
48,Italy,1690,87.5,5124.705636050622,8
49,Italy,1700,44.44444444444444,9365.640943885941,9
50,Italy,1710,87.5,6600.793870350975,8
51,Italy,1720,100.0,10226.300155969897,6
52,Italy,1740,81.81818181818183,13042.882933046903,11
53,Italy,1750,55.55555555555556,8220.180587036068,9
54,Italy,1760,57.14285714285714,11083.805441315817,14
55,Italy,1780,91.66666666666666,13243.87167076715,12
56,Italy,1790,62.5,8617.005536015318,8
