,individual_wikidata_id,individual_name,score,productive_year,birthyear,country_name,region_name,period
0,Q89425230,Luigi Grassi,2,1785.0,1750.0,Italy,Italy,1750
1,Q3695660,Costanzo Gazzera,27,1814.0,1779.0,Italy,Italy,1750
2,Q3288557,Marco Antonio Bassetti,39,1621.0,1586.0,Italy,Italy,1550
3,Q55897525,Victor Graf von Wimpffen,13,1869.0,1834.0,Italy,Italy,1800
4,Q19357965,Prospero Viani,25,1847.0,1812.0,Italy,Italy,1800
5,Q3659445,Carlo Giuseppe Londonio,22,1815.0,1780.0,Italy,Italy,1750
6,Q739286,Teofil Lenartowicz,53,1857.0,1822.0,Italy,Italy,1800
7,Q61481784,Vincenzo Antonio Rossi,8,1842.0,1807.0,Italy,Italy,1800
8,Q14566974,Ugo Maria Cumino,2,1797.0,1762.0,Italy,Italy,1750
9,Q82705837,Carolina Crespi,5,1825.0,1790.0,Italy,Italy,1750
10,Q21208865,Alessandro Pavia,6,1859.0,1824.0,Italy,Italy,1800
11,Q3767279,Giovanni Francesco Maria Marchi,8,1724.0,1689.0,Italy,Italy,1650
12,Q3713796,Donato de' Bardi,12,1500.0,1500.0,Italy,Italy,1500
13,Q94109880,Francesco Di Manzano,16,1836.0,1801.0,Italy,Italy,1800
14,Q3703137,David Castelli,28,1871.0,1836.0,Italy,Italy,1800
15,Q3906144,Placido Troyli,8,1723.0,1688.0,Italy,Italy,1650
16,Q94694438,Gianfrancesco Re,1,1808.0,1773.0,Italy,Italy,1750
17,Q21207168,Apollinare Agresta,7,1656.0,1621.0,Italy,Italy,1600
18,Q602343,Antonio Guadagnoli,28,1833.0,1798.0,Italy,Italy,1750
19,Q3362629,Paolo Greco,1,1685.0,1650.0,Italy,Italy,1650
20,Q970559,Niccolò di Liberatore,42,1465.0,1430.0,Italy,Italy,1400
21,Q177869,Gabriele Falloppio,74,1558.0,1523.0,Italy,Italy,1500
22,Q18508246,Giuseppe Fagnani,31,1854.0,1819.0,Italy,Italy,1800
23,Q128216,Mattia della Robbia,9,1503.0,1468.0,Italy,Italy,1450
24,Q3836903,Lorenzo Canozzi,21,1460.0,1425.0,Italy,Italy,1400
25,Q21559782,Marcello Venuti,22,1735.0,1700.0,Italy,Italy,1700
26,Q111034851,Angelo de Angelis,5,1785.0,1750.0,Italy,Italy,1750
27,Q64364395,Celidonio Errante,6,1815.0,1780.0,Italy,Italy,1750
28,Q3767874,Giovanni Paolo Gamba Zampol,1,1758.0,1723.0,Italy,Italy,1700
29,Q1692450,Johann August Krafft,14,1829.0,1798.0,Italy,Italy,1750
30,Q20006591,Santo Lapis,13,1760.0,1725.0,Italy,Italy,1700
31,Q6101516,Izabella Elżbieta Działyńska,15,1865.0,1830.0,Italy,Italy,1800
32,Q110081553,Friedrich G. Rheinfelder,8,1873.0,1838.0,Italy,Italy,1800
33,Q379560,Mauro Giuliani,64,1816.0,1781.0,Italy,Italy,1750
34,Q15967292,François-Zacharie de Pourroy de l'Auberivière de Quinsonas,5,1754.0,1719.0,Italy,Italy,1700
35,Q3897007,Pasquale Bondini,19,1766.0,1731.0,Italy,Italy,1700
36,Q1567177,Michele Gordigiani,45,1870.0,1835.0,Italy,Italy,1800
37,Q112348134,Václav Josef Menzel,3,1839.0,1804.0,Italy,Italy,1800
38,Q363165,Clemente d'Olera,22,1536.0,1501.0,Italy,Italy,1500
39,Q111235257,Agostino Fiorito,1,1613.0,1580.0,Italy,Italy,1550
40,Q23419088,Lorenzo Suscipj,19,1837.0,1802.0,Italy,Italy,1800
41,Q3362602,Paolo Borroni,21,1784.0,1749.0,Italy,Italy,1700
42,Q3767669,Giovanni Maria Platina,13,1490.0,1455.0,Italy,Italy,1450
43,Q3766079,Giovan Battista Montini,3,1648.0,1613.0,Italy,Italy,1600
