,region_name,classification,decade
0,Chinese world,Middle Class,1590
1,Chinese world,Middle Class,1780
2,Chinese world,Elite,1600
3,Chinese world,Middle Class,1870
4,Chinese world,Middle Class,1650
5,Chinese world,Elite,630
6,Chinese world,Elite,1770
7,Chinese world,Middle Class,1600
8,Chinese world,Middle Class,1530
9,Chinese world,Elite,1120
10,Chinese world,Middle Class,1630
11,Chinese world,Middle Class,1640
12,Chinese world,Elite,960
13,Chinese world,Elite,1830
14,Chinese world,Middle Class,1720
15,Chinese world,Middle Class,1750
16,Chinese world,Elite,1030
17,Chinese world,Elite,1850
18,Chinese world,Middle Class,1870
19,Chinese world,Elite,1310
20,Chinese world,Elite,550
21,Chinese world,Middle Class,1420
22,Chinese world,Elite,360
23,Chinese world,Elite,1160
24,Chinese world,Middle Class,230
25,Chinese world,Elite,950
26,Chinese world,Middle Class,890
27,Chinese world,Elite,920
28,Chinese world,Middle Class,1620
29,Chinese world,Elite,1000
30,Chinese world,Middle Class,1370
31,Chinese world,Middle Class,1460
32,Chinese world,Elite,1520
33,Chinese world,Middle Class,1830
34,Chinese world,Middle Class,1860
35,Chinese world,Middle Class,1740
36,Chinese world,Middle Class,1680
37,Chinese world,Elite,1850
38,Chinese world,Elite,1810
39,Chinese world,Middle Class,1810
40,Chinese world,Middle Class,1870
41,Chinese world,Middle Class,1750
42,Chinese world,Elite,1740
43,Chinese world,Elite,1640
44,Chinese world,Middle Class,1730
45,Chinese world,Middle Class,1660
46,Chinese world,Middle Class,1670
47,Chinese world,Middle Class,1470
48,Chinese world,Middle Class,1880
49,Chinese world,Elite,1270
50,Chinese world,Elite,1090
51,Chinese world,Middle Class,1720
52,Chinese world,Elite,1630
53,Chinese world,Middle Class,1660
54,Chinese world,Elite,1760
55,Chinese world,Middle Class,1790
56,Chinese world,Middle Class,1620
57,Chinese world,Elite,1880
58,Chinese world,Middle Class,1560
59,Chinese world,Middle Class,1700
60,Chinese world,Middle Class,1810
61,Chinese world,Middle Class,1860
62,Chinese world,Middle Class,1660
63,Chinese world,Middle Class,1660
64,Chinese world,Middle Class,1610
65,Chinese world,Middle Class,1610
66,Chinese world,Middle Class,1800
67,Chinese world,Middle Class,1610
68,Chinese world,Middle Class,1700
69,Chinese world,Middle Class,1670
70,Chinese world,Middle Class,1680
71,Chinese world,Middle Class,1850
72,Chinese world,Elite,1510
73,Chinese world,Middle Class,1730
74,Chinese world,Middle Class,1700
75,Chinese world,Middle Class,1650
76,Chinese world,Elite,1030
77,Chinese world,Elite,1690
78,Chinese world,Elite,280
79,Chinese world,Elite,1120
80,Chinese world,Middle Class,1710
81,Chinese world,Middle Class,1660
82,Chinese world,Elite,1410
83,Chinese world,Middle Class,1390
84,Chinese world,Elite,1390
85,Chinese world,Middle Class,1760
86,Chinese world,Elite,1070
87,Chinese world,Elite,1680
88,Chinese world,Middle Class,1510
89,Chinese world,Elite,750
90,Chinese world,Elite,1550
91,Chinese world,Elite,1600
92,Chinese world,Elite,1150
93,Chinese world,Middle Class,1540
94,Chinese world,Middle Class,1680
95,Chinese world,Elite,1640
96,Chinese world,Elite,1770
97,Chinese world,Middle Class,1660
98,Chinese world,Middle Class,1830
99,Chinese world,Middle Class,1670
100,Chinese world,Middle Class,1720
101,Chinese world,Elite,1490
102,Chinese world,Middle Class,1870
103,Chinese world,Middle Class,1850
104,Chinese world,Elite,1760
105,Chinese world,Middle Class,1720
106,Chinese world,Middle Class,1660
107,Chinese world,Middle Class,1730
108,Chinese world,Elite,1620
109,Chinese world,Middle Class,1710
110,Chinese world,Middle Class,1850
111,Chinese world,Middle Class,1650
112,Chinese world,Elite,1160
113,Chinese world,Middle Class,1280
114,Chinese world,Middle Class,1830
115,Chinese world,Middle Class,1780
116,Chinese world,Middle Class,900
117,Chinese world,Elite,0
118,Chinese world,Elite,1680
119,Chinese world,Elite,700
120,Chinese world,Elite,1650
121,Chinese world,Middle Class,1670
122,Chinese world,Elite,170
123,Chinese world,Elite,200
124,Chinese world,Elite,280
125,Chinese world,Middle Class,1840
126,Chinese world,Middle Class,1670
127,Chinese world,Elite,640
128,Chinese world,Middle Class,1640
129,Chinese world,Elite,1070
130,Chinese world,Middle Class,1180
131,Chinese world,Elite,230
132,Chinese world,Middle Class,1580
133,Chinese world,Middle Class,1870
134,Chinese world,Middle Class,1880
135,Chinese world,Elite,1800
136,Chinese world,Middle Class,1880
137,Chinese world,Elite,1210
138,Chinese world,Middle Class,1860
139,Chinese world,Middle Class,1880
140,Chinese world,Middle Class,1770
141,Chinese world,Middle Class,1590
142,Chinese world,Elite,180
143,Chinese world,Middle Class,1570
144,Chinese world,Elite,650
145,Chinese world,Middle Class,1840
146,Chinese world,Middle Class,1840
147,Chinese world,Middle Class,1820
148,Chinese world,Middle Class,1670
149,Chinese world,Elite,1220
150,Chinese world,Middle Class,790
151,Chinese world,Elite,1740
152,Chinese world,Elite,630
153,Chinese world,Elite,260
154,Chinese world,Elite,460
155,Chinese world,Middle Class,1650
156,Chinese world,Elite,1870
157,Chinese world,Elite,1280
158,Chinese world,Elite,240
159,Chinese world,Elite,590
160,Chinese world,Elite,1630
161,Chinese world,Middle Class,1360
162,Chinese world,Middle Class,1650
163,Chinese world,Middle Class,1650
164,Chinese world,Elite,1040
165,Chinese world,Middle Class,1040
166,Chinese world,Elite,1840
167,Chinese world,Elite,1060
168,Chinese world,Elite,250
169,Chinese world,Middle Class,1050
170,Chinese world,Elite,950
171,Chinese world,Middle Class,280
172,Chinese world,Elite,760
173,Chinese world,Elite,680
174,Chinese world,Elite,700
175,Chinese world,Elite,570
176,Chinese world,Middle Class,1050
177,Chinese world,Middle Class,730
178,Chinese world,Elite,610
179,Chinese world,Elite,870
180,Chinese world,Elite,350
181,Chinese world,Elite,290
182,Chinese world,Middle Class,1670
183,Chinese world,Middle Class,1500
184,Chinese world,Middle Class,1870
185,Chinese world,Middle Class,1620
186,Chinese world,Elite,850
187,Chinese world,Elite,1690
188,Chinese world,Middle Class,1620
189,Chinese world,Middle Class,1740
190,Chinese world,Elite,240
191,Chinese world,Elite,960
192,Chinese world,Middle Class,1750
193,Chinese world,Elite,1600
194,Chinese world,Middle Class,-240
195,Chinese world,Middle Class,1620
196,Chinese world,Middle Class,1800
197,Chinese world,Elite,610
198,Chinese world,Elite,540
199,Chinese world,Elite,1640
200,Chinese world,Middle Class,1780
201,Chinese world,Elite,1550
202,Chinese world,Middle Class,1410
203,Chinese world,Elite,1480
204,Chinese world,Middle Class,1620
205,Chinese world,Elite,1800
206,Chinese world,Elite,990
207,Chinese world,Elite,1080
208,Chinese world,Elite,1620
209,Chinese world,Middle Class,1710
210,Chinese world,Elite,1410
211,Chinese world,Middle Class,1210
212,Chinese world,Middle Class,1610
213,Chinese world,Middle Class,1800
214,Chinese world,Elite,730
215,Chinese world,Elite,1810
216,Chinese world,Middle Class,1670
217,Chinese world,Middle Class,1830
218,Chinese world,Middle Class,1760
219,Chinese world,Middle Class,1360
220,Chinese world,Elite,1810
221,Chinese world,Elite,1360
222,Chinese world,Middle Class,1760
223,Chinese world,Middle Class,1500
224,Chinese world,Middle Class,1680
225,Chinese world,Middle Class,1510
226,Chinese world,Elite,1870
227,Chinese world,Elite,1490
228,Chinese world,Middle Class,1730
229,Chinese world,Middle Class,1650
230,Chinese world,Elite,970
231,Chinese world,Elite,180
232,Chinese world,Middle Class,1790
233,Chinese world,Middle Class,1570
234,Chinese world,Middle Class,1710
235,Chinese world,Elite,980
