,individual_wikidata_id,individual_name,individual_wikidata_id,birth_year,country,classification,explanation,sources
0,Q535,Victor Hugo,Q535,1802,France,Middle Class,"Victor Hugo was born on February 26, 1802, in Besançon, France. His father, Joseph Léopold Sigisbert Hugo, was a high-ranking officer in Napoleon's army, which would place the family in the middle class. His mother, Sophie Trébuchet, came from a family of ship owners from Nantes, which also suggests a middle-class background. The family was not of noble lineage or extreme wealth, but they were not impoverished either. 

Victor Hugo's access to education was likely due to his family's middle-class status. His mother was known to be well-educated and is believed to have taught Victor and his siblings at home. Furthermore, Hugo's father's military career would have provided a level of financial stability and social standing that allowed for educational opportunities.

The family moved frequently due to Joseph Hugo's military assignments, suggesting that their housing and living conditions varied. However, there is no indication that they lived in extreme poverty or had access to the luxuries of the elite class.

In terms of inherited privileges or disadvantages, Hugo was born into a politically turbulent time in France, with his father supporting Napoleon and his mother a Royalist. This political divide in his family may have presented both opportunities and challenges, but it does not significantly alter his classification as middle class.","- ""Victor Hugo: A Biography"" by Graham Robb
- ""Victor Hugo"" by John Pringle"
1,Q9068,Voltaire,Q9068,1694,France,Middle Class,"Voltaire, born François-Marie Arouet, was born into a middle-class family in Paris, France. His father, François Arouet, was a notary in the Châtelet and a minor treasury official, who worked for the French government. His mother, Marie Marguerite Daumard, was from a family of lesser nobility. The Arouet family was well-off, but not part of the elite nobility. Voltaire's access to education was due to his family's resources, as he was educated by the Jesuits at the Collège Louis-le-Grand in Paris, a privilege that would have been inaccessible to those of lower social standing. His early life housing and living conditions would have been comfortable, reflecting his family's middle-class status. He did not inherit any titles or significant wealth, but his family's status and connections provided him with opportunities for education and advancement.","1. ""Voltaire: A Life"" by Ian Davidson
2. ""Voltaire in Love"" by Nancy Mitford
3. ""Voltaire's Bastards: The Dictatorship of Reason in the West"" by John Ralston Saul
4. ""Voltaire Almighty: A Life in Pursuit of Freedom"" by Roger Pearson."
2,Q33977,Jules Verne,Q33977,1828,France,Middle Class,"Jules Verne was born on February 8, 1828, in Nantes, France. His father, Pierre Verne, was a lawyer, and his mother, Sophie Allote de la Fuÿe, came from a family of shipowners. This indicates that his family was part of the professional middle class, as they were not nobility but had occupations that required education and skill. Verne's access to education was also indicative of his middle-class status. He was sent to boarding school in Nantes and later studied law in Paris, showing that his family had the resources to invest in his education. The family's living conditions also suggest a middle-class lifestyle. They lived in a comfortable house in Nantes and owned a country house in Chantenay, where Verne spent his summers. While Verne did not inherit a title or significant wealth, his family's professional status and resources would have provided him with certain advantages, such as access to education and a comfortable upbringing.","1. Butcher, William (2006). Jules Verne: The Definitive Biography. Thunder's Mouth Press.
2. Martin, Andrew (2007). The Mask of the Prophet: The Extraordinary Fictions of Jules Verne. Oxford University Press."
3,Q6527,Jean-Jacques Rousseau,Q6527,1712,France,Middle Class,"Jean-Jacques Rousseau was born in Geneva, Switzerland, in 1712 to Isaac Rousseau and Suzanne Bernard. His father, Isaac, was a watchmaker, a profession that would place the family in the middle class, as it required a certain level of skill and craftsmanship. His mother, Suzanne, was the daughter of a minister, which also suggests a middle-class background. However, Rousseau's mother died shortly after his birth, and his father eventually fled Geneva to avoid a legal dispute, leaving Rousseau to be raised by his uncle. Despite these hardships, Rousseau was able to receive an education, suggesting that his family had enough resources to ensure his schooling.","""Jean-Jacques Rousseau."" Encyclopædia Britannica. Encyclopædia Britannica, inc., February 2, 2022. ""Jean-Jacques Rousseau."" Stanford Encyclopedia of Philosophy. Stanford University, July 20, 2015."
4,Q9711,Honoré de Balzac,Q9711,1799,France,Middle Class,"Honoré de Balzac was born in Tours, France, in 1799 to Bernard-François Balzac and Anne-Charlotte-Laure Sallambier. His father was a civil servant, having worked as a secretary to the King's Council and later as the director of the Commissariat of the French military. His mother came from a family of Parisian haberdashers, a trade considered middle class. 

The Balzac family was not wealthy, but they were comfortable. They owned a home in Tours and later moved to a larger house in Paris. Honoré de Balzac was sent to a boarding school in Vendôme at the age of eight, indicating that the family had enough resources to afford a private education. 

However, the family's financial situation was not always stable. Bernard-François made some poor investments that strained the family's finances. Despite these financial difficulties, the family maintained their middle-class status through their professions and were able to provide their children with an education.","- Robb, G. (1994). Balzac: A Biography. New York: W. W. Norton & Company.
- Maurois, A. (1965). Prometheus: The Life of Balzac. New York: Harper & Row."
5,Q448,Denis Diderot,Q448,1713,France,Middle Class,"Denis Diderot was born on October 5, 1713, in Langres, Champagne, France. His father, Didier Diderot, was a well-respected master cutler (artisan who makes, sells, and repairs cutlery), which would place the family in the middle class according to the given typology. His mother, Angélique Vigneron, came from a family of tanners and brewers, also considered middle class occupations. The family was not wealthy but had enough resources to provide Denis with a good education. Diderot was sent to the Jesuit college in Langres at a young age, indicating that his family had the means to afford a decent education for their children. The family lived in a comfortable house in Langres, which suggests a middle-class living condition. There is no evidence of inherited privileges or disadvantages.","""Denis Diderot"" by P.N. Furbank (1992), ""Diderot: A Critical Biography"" by Arthur Wilson (1992), ""Denis Diderot, a Comprehensive Biography"" by Frank A. Kafker (1981)."
6,Q38337,Alexandre Dumas,Q38337,1802,France,Middle Class,"Alexandre Dumas was born on July 24, 1802, in Villers-Cotterêts, France. His father, Thomas-Alexandre Dumas, was a general in the French army and was of mixed race, being the son of a French nobleman and a slave woman of African descent. His mother, Marie-Louise Labouret, was the daughter of an innkeeper. 

At the time of Dumas' birth, his father was already deceased, leaving the family in a precarious financial situation. Despite this, the family was not destitute and Dumas' mother worked hard to provide for her children. Dumas was able to receive a good education due to his father's military service and his mother's efforts. 

While the family was not wealthy, they were not subsistence level either. Dumas' father's status as a general and his noble lineage would have afforded the family some social standing, despite their financial difficulties.","1. ""Alexandre Dumas."" Encyclopedia Britannica. https://www.britannica.com/biography/Alexandre-Dumas-fils
2. ""Alexandre Dumas."" Biography.com. https://www.biography.com/writer/alexandre-dumas
3. ""Alexandre Dumas."" New World Encyclopedia. http://www.newworldencyclopedia.org/entry/Alexandre_Dumas
4. ""The Black Count: Glory"
7,Q1268,Frédéric Chopin,Q1268,1810,France,Middle Class,"Frédéric Chopin was born in Żelazowa Wola, a village in the Duchy of Warsaw, not France. His father, Nicolas Chopin, was a Frenchman who had emigrated to Poland, where he worked as a tutor to aristocratic families and later as a teacher at the Warsaw Lyceum. His mother, Justyna Krzyżanowska, was of Polish nobility, but her family was not wealthy. The Chopin family was not poor, but they were not part of the ruling elite either. They were well-educated and had connections to the Polish aristocracy through Nicolas' work, which allowed Frédéric access to a good education and the opportunity to mix with the higher social classes. The family lived in a comfortable apartment within the Warsaw Lyceum's building, indicating a decent standard of living. However, they did not possess significant wealth or land, and their status was largely due to Nicolas' employment and personal connections rather than inherited privilege.","""Chopin: Pianist and Teacher: As Seen by his Pupils"" by Jean-Jacques Eigeldinger; ""Chopin in Paris: The Life and Times of the Romantic Composer"" by Tad Szulc."
8,Q504,Émile Zola,Q504,1840,France,Middle Class,"Émile Zola was born in Paris, France on April 2, 1840. His father, Francesco Zola, was an Italian engineer, working on the construction of a municipal water supply system, which suggests a middle-class occupation. His mother, Emilie Aubert, was a native of the Burgundy region of France. After the death of his father when Zola was just seven years old, the family faced financial difficulties, but they were not destitute. Zola's mother managed to secure a small pension, which allowed them to live modestly. Zola was able to attend school, first in Aix-en-Provence and then in Paris, indicating that his family had enough resources to provide him with an education. However, his family's financial struggles likely limited his access to higher education. His early life housing and living conditions were modest, reflecting their middle-class status. There were no significant inherited privileges or disadvantages.","""Émile Zola: A Life"" by Frederick Brown, ""Zola: A Life"" by Henri Mitterand."
9,Q30755,Auguste Rodin,Q30755,1840,France,Middle Class,"Auguste Rodin was born on November 12, 1840, in Paris, France. His father, Jean-Baptiste Rodin, was a police department clerk, and his mother, Marie Cheffer, was a seamstress. The family was of modest means and belonged to the working-class society of Paris. Rodin's parents were able to provide him with a basic education, as he attended the Petite École, a school specializing in art and mathematics. This suggests that while the family was not wealthy, they had enough resources to provide for their children's education. The family lived in the 5th arrondissement of Paris, which was not a particularly affluent area during that period. There is no evidence to suggest that Rodin had any inherited privileges or disadvantages.","""Auguste Rodin."" Encyclopædia Britannica. Encyclopædia Britannica, inc., February 26, 2021. ""Auguste Rodin."" The Art Story, www.theartstory.org/artist/rodin-auguste/life-and-legacy/."
