,individual_wikidata_id,individual_name,individual_wikidata_id,birth_year,country,classification,explanation,sources
0,Q860154,Charles-Joseph Natoire,Q860154,1700,Italy,Middle Class,"Charles-Joseph Natoire was born in Nîmes, France, not Italy, on March 3, 1700. His father, Jean Natoire, was a sculptor, which suggests that the family belonged to the skilled craftspeople category of the middle class. There is no evidence to suggest that the Natoire family was particularly wealthy or impoverished, so it is reasonable to assume that they were of average means for their social class. Charles-Joseph Natoire's access to education can also be attributed to his family background, as his father was able to provide him with an artistic education. His early life housing and living conditions would have been typical of a middle-class family in 18th-century France, and there is no evidence to suggest that he inherited any significant privileges or disadvantages.","""Charles-Joseph Natoire"" by Mary Tavener Holmes in The Dictionary of Art, edited by Jane Turner (1996); ""Charles-Joseph Natoire, 1700-1777"" by Christophe Leribault (2007)."
1,Q205519,Jacopo Peri,Q205519,1561,Italy,Middle Class,"Jacopo Peri was born in Rome around 1561 and later moved to Florence. His father, Pietro Peri, was a merchant, which would place the family in the middle class according to the provided typology. The family's ability to move to Florence, a major cultural and economic hub at the time, suggests they had some financial means. Furthermore, Peri was able to receive a musical education, studying under Cristofano Malvezzi. This access to education was likely due to his family's middle-class status, as education in this period was often a privilege of the upper classes. However, there is no evidence to suggest that Peri's family was part of the elite or ruling class, nor that they were subsistence-level laborers or peasants.","""Jacopo Peri (1561–1633)"" by Tim Carter in 'Oxford Dictionary of National Biography'; ""Jacopo Peri"" in 'New Grove Dictionary of Music and Musicians'."
2,Q195655,Andrea della Robbia,Q195655,1435,Italy,Middle Class,"Andrea della Robbia was born into a family of artisans, specifically into a family of renowned sculptors. His uncle, Luca della Robbia, was a famous sculptor who had established the family workshop in Florence, Italy. Andrea's father, Marco della Robbia, was also a sculptor. The della Robbia family was well-respected in Florence, but they were not part of the nobility or the ruling class. They were, however, part of the middle class, which included artisans and skilled craftspeople. The family's wealth was derived from their successful sculpture business, which allowed them access to education and a comfortable living. Andrea was likely trained in the family workshop from a young age, learning the craft of sculpture and gaining an education in the arts.","Vasari, Giorgio. ""Lives of the Artists."" Oxford University Press, 1991. (Original work published 1550)."
3,Q312416,Angelo Secchi,Q312416,1818,Italy,Middle Class,"Angelo Secchi was born on June 28, 1818, in Reggio Emilia, a city in northern Italy. His father, Antonio Secchi, was a notary, a profession that typically belonged to the middle class during that time period. Notaries were responsible for drafting, witnessing, and administering oaths to legal documents, a role that required literacy and some level of education. This suggests that the Secchi family had access to some level of wealth and education, but were not part of the elite ruling class or nobility. There is no evidence to suggest that Secchi's family was particularly wealthy or owned significant property, which further supports the classification of his family as middle class. Secchi was educated at the Jesuit school in Reggio Emilia, which suggests that his family had the means to provide him with a formal education, a privilege not available to all families during this time period.","""Angelo Secchi."" The Biographical Encyclopedia of Astronomers, edited by Thomas Hockey, Springer, 2007. ""The Notary in History."" The American Society of Notaries, www.asnnotary.org/?form=notaryhistory."
4,Q982538,Gian Paolo Lomazzo,Q982538,1538,Italy,Middle Class,"Gian Paolo Lomazzo was born in Milan, Italy, around 1538. His father was a goldsmith, a profession that was considered skilled labor and would have placed the family in the middle class during this period. The goldsmith profession often required a high level of craftsmanship and artistic ability, suggesting that Lomazzo's family had access to some level of education or training. However, there is no evidence to suggest that Lomazzo's family was particularly wealthy or that they held any significant social standing beyond their craft. Therefore, it can be inferred that Lomazzo was born into a middle-class family with a skilled craft background.","""Gian Paolo Lomazzo."" The Concise Grove Dictionary of Art. Oxford University Press, Inc., 2002. Oxford Reference Online. Oxford University Press."
5,Q29577,Leonardo Vinci,Q29577,1690,Italy,Middle Class,"Leonardo da Vinci was born out of wedlock to a notary, Piero da Vinci, and a peasant woman, Caterina, in Vinci, in the region of Florence, Italy. His father was a public official, which would have placed him in the middle class of the time. His mother's status as a peasant woman would have placed her in the subsistence class. However, as Leonardo was raised by his father, his social class would have been influenced more by his father's standing. Leonardo's illegitimate status would have limited his access to certain privileges, such as formal education, but his father's profession would have provided him with some opportunities for learning. His early life housing and living conditions would have been modest but comfortable, reflecting his father's middle-class status.","Vasari, Giorgio. ""Lives of the Artists."" 1550."
6,Q723643,Vincenzo Monti,Q723643,1754,Italy,Middle Class,"Vincenzo Monti was born in 1754 in Alfonsine, Italy. His father, Pietro Monti, was a pharmacist, which was a skilled profession and would have provided the family with a decent income. This suggests that the family was part of the middle class, as they were not nobility but also not laborers or peasants. Monti's access to education also indicates a middle-class background. He studied at the Seminary of Ferrara, which would have required some level of financial means. However, there is no evidence to suggest that the family was particularly wealthy or that Monti inherited any significant privileges or disadvantages.","""Vincenzo Monti: A 'Classic' of the Italian Literature"" by Giuseppe Petronio, ""Vincenzo Monti"" by Giuseppe Ravegnani."
7,Q1345289,Giovanni Battista Salvi da Sassoferrato,Q1345289,1609,Italy,Middle Class,"Giovanni Battista Salvi da Sassoferrato, also known as Il Sassoferrato, was born in the town of Sassoferrato, in the Marche region of Italy. His father, Tarquinio Salvi, was a minor painter and likely provided the young Giovanni with his initial artistic training. This suggests that the Salvi family belonged to the middle class, as they were skilled craftspeople. There is no evidence to suggest that the Salvi family was particularly wealthy or impoverished; they likely had a modest income from Tarquinio's work as a painter. The fact that Giovanni received artistic training also suggests that the family had some access to education, another characteristic of the middle class. However, details about their housing, living conditions, and any inherited privileges or disadvantages are not well-documented.","""Giovanni Battista Salvi, called Il Sassoferrato."" The National Gallery, London. ""Sassoferrato."" Encyclopædia Britannica."
8,Q946420,Giovanni di Paolo,Q946420,1403,Italy,Middle Class,"Giovanni di Paolo was born in Siena, Italy, around 1403. His father, Paolo di Giovanni Fei, was a painter, which suggests that the family belonged to the middle class, as artisans were typically part of this social stratum during the late Middle Ages in Italy. The family likely had a modest income from Paolo's work, but there is no evidence to suggest they were wealthy or impoverished. The fact that Giovanni di Paolo became a painter himself suggests that he had access to some form of education or apprenticeship, which was more common among the middle class than the subsistence class. However, specific details about his early life housing, living conditions, and inherited privileges or disadvantages are not well-documented.","The primary source for this information is the ""Lives of the Artists"" by Giorgio Vasari, which includes a biography of Giovanni di Paolo. Additional information can be found in various art history texts and scholarly articles about the social structure of late medieval Italy."
9,Q7129,Cosimo Tura,Q7129,1430,Italy,Middle Class,"Cosimo Tura, also known as Cosmè Tura, was born in Ferrara, Italy, around 1430. The exact details of his family background are not well-documented, but it is generally agreed upon by historians that he was born into a family of artisans. His father, a baker, would have been considered a skilled craftsman, placing the family in the middle class according to the social structure of 15th-century Italy. This is further supported by the fact that Tura was able to receive an education in the arts, suggesting that his family had the means to provide him with such training. However, there is no evidence to suggest that his family was particularly wealthy or that they held any significant social standing beyond their artisanal trade.","""Cosmè Tura of Ferrara: Style, Politics, and the Renaissance City, 1450-1495"" by Stephen John Campbell; ""Cosmè Tura: The Life and Art of a Painter in Estense Ferrara"" by Joseph Manca."
10,Q223725,Francesco Hayez,Q223725,1791,Italy,Middle Class,"Francesco Hayez was born in Venice, Italy, in 1791. His parents were of French origin and were not of noble birth. His father, Giovanni, was a relatively poor fisherman, and his mother, Chiara Torcellan, was a housewife. Despite their modest means, they were able to provide Francesco with a basic education. However, it was not until he was taken in by his uncle, who was a relatively successful artist, that he was able to receive a more formal education in the arts. This suggests that while his family was not wealthy, they were not living in extreme poverty either. They were likely part of the lower middle class, with enough resources to provide for their children's basic needs but not much else.","""Francesco Hayez: His life and work"" by Elena Lissoni, ""Francesco Hayez"" by Renato Roli, ""The Romanticism and the Arts"" by William Vaughan."
11,Q2262449,Fulvio Orsini,Q2262449,1529,Italy,Elite,"Fulvio Orsini was born into the Orsini family, one of the most influential and powerful noble families in Rome during the 16th century. His father, Maerbale Orsini, was a member of the Roman nobility, and his mother, Giulia Orsini, was also from a noble family. The Orsini family was one of the oldest, wealthiest, and most politically influential families in Rome, with a lineage dating back to the Middle Ages. They owned vast estates, had significant political influence, and were related by marriage to several popes. Fulvio Orsini would have grown up in a wealthy household with access to education and other privileges afforded to the elite class. His early life would have been characterized by a high standard of living, including quality housing and access to resources.","""The Orsini Family: A Roman Dynasty"" by Kate Simon; ""Fulvio Orsini, His Library and the Dispersal of the Collections of Cardinal Granvelle"" by Anthony Hobson; ""The Orsini Family, Popes and Cardinals"" by John Doran."
12,Q314932,Giovanni Pisano,Q314932,1248,Italy,Middle Class,"Giovanni Pisano was born into a family of skilled artisans. His father, Nicola Pisano, was a renowned sculptor in Pisa, Italy, during the 13th century. This suggests that Giovanni was born into a middle-class family, as his father was a skilled craftsman, a typical occupation of the middle class during this period. The family's wealth at the time of Giovanni's birth and childhood is not well-documented, but it can be inferred that they were not impoverished, given Nicola's profession and reputation. As for education, it is likely that Giovanni had access to some form of education due to his family background, as it was common for children of artisans to learn their father's trade. The living conditions of the Pisano family are also not well-documented, but it can be assumed that they were decent, given Nicola's profession. There is no evidence of any inherited privileges or disadvantages.","""Nicola Pisano, Italian sculptor."" Encyclopædia Britannica. ""Giovanni Pisano."" Grove Art Online. Oxford Art Online. Oxford University Press."
