,individual_wikidata_id,individual_name,individual_wikidata_id,birth_year,country,classification,explanation,sources
0,Q284038,Matsudaira Sadanobu,Q284038,1759,Japan,Elite,"Matsudaira Sadanobu was born into the Matsudaira clan, a powerful samurai family of the Edo period in Japan. His father was Matsudaira Sadakuni, a daimyo (feudal lord) of the Shirakawa Domain. This places Sadanobu in the elite class, as the samurai were the ruling military class of the time, and daimyo were among the most powerful figures within that class. The Matsudaira clan was particularly influential, being directly related to the Tokugawa shogunate, the ruling military government. Sadanobu's birth into this family would have granted him access to education and a high standard of living, as was customary for children of the samurai class. His inherited privileges would have included a high social standing and the potential for a prominent role within the samurai administration.","""Matsudaira Sadanobu."" Encyclopedia of Japan. Tokyo: Shogakukan, 2012; ""Matsudaira Sadanobu."" Nihon jinmei daijiten. Tokyo: Shogakukan, 2001; Totman, Conrad. ""Early Modern Japan."" University of California Press, 1993."
1,Q4770954,Antanas Strazdas,Q4770954,1760,Japan,,No explanation provided,No sources provided
2,Q923562,Sōgi,Q923562,1421,Japan,Middle Class,"Sōgi was born into a middle-class family in the Ashikaga period of Japan. His father was a low-ranking samurai and his mother was a woman of the merchant class. This suggests that his family had some degree of wealth and social standing, but were not part of the ruling elite. His father's position as a samurai would have provided Sōgi with some access to education, as samurai families were typically literate and valued learning. However, his mother's merchant background suggests that the family's wealth was not inherited, but rather earned through trade. There is no evidence to suggest that Sōgi was born into poverty or that he had any significant inherited privileges or disadvantages.","""Sōgi and His Poetic Diary"" by Steven D. Carter, ""The World of the Shining Prince: Court Life in Ancient Japan"" by Ivan Morris."
3,Q316658,Go-Toba,Q316658,1180,Japan,Elite,"Emperor Go-Toba was born into the Japanese imperial family, which was the ruling class of Japan during the late 1100s. His father was Emperor Takakura, the 80th Emperor of Japan, and his mother was Bōmon Shokushi, a daughter of Bōmon Nobutaka, who was a member of the Fujiwara clan, a powerful and influential family in the Heian period. This indicates that Go-Toba was born into a family of high social standing and wealth. As a member of the imperial family, he would have had access to the best education available at the time, and his living conditions would have been of a high standard. His birth into the imperial family would have also granted him certain privileges, such as a claim to the throne.","""The Tale of the Heike"", a 12th-century text; ""A History of Japan"" by R. H. P. Mason and J. G. Caiger; ""Japan in the Heian Age"" by Donald H. Shively."
4,Q220115,Nicholas of Japan,Q220115,1836,Japan,Middle Class,"Nicholas of Japan, born Ivan Dmitrievich Kasatkin, was born in the Russian Empire, not Japan. His father was a deacon in the Russian Orthodox Church, which would place him in the middle class according to the provided typology. His family was not wealthy, but they were not impoverished either. They had enough resources to provide him with a basic education, which was often the case for families of clergy in the Russian Orthodox Church. His father's position in the church would have provided some privileges, such as a certain level of respect within the community, but it also came with the expectation of service and modest living. There is no evidence to suggest that he was born into the elite or subsistence classes.","""St. Nicholas of Japan"" by John Shimchick, published in Orthodox America 1794-1976. ""The Orthodox Church in Japan"" by George Alexander Lensen, published in The Journal of the American Association of Teachers of Slavic and East European Languages."
5,Q1324419,Shimooka Renjō,Q1324419,1823,Japan,Middle Class,"Shimooka Renjō was born in 1823 in Edo, Japan, to a samurai family. His father was a low-ranking samurai, which placed them in the middle class of the social hierarchy of the time. Samurai were considered part of the ruling class, but their status and wealth could vary greatly, and Shimooka's family was not wealthy. The samurai class was characterized by their right to bear arms and their duty to provide military service, but many lower-ranking samurai like Shimooka's father would have had to supplement their income with other work. Shimooka's family would have had a certain level of respectability and access to education, but they were not part of the elite ruling class or the wealthy merchant class. Shimooka's early life would have been characterized by the disciplined, martial lifestyle of the samurai class, but without the wealth and privileges of the higher-ranking samurai families.","""Shimooka Renjo and the Shaping of Modern Japanese Photography"" by Bennett, Terry; ""The World of the Shining Prince: Court Life in Ancient Japan"" by Ivan Morris."
6,Q244764,Hasekura Tsunenaga,Q244764,1571,Japan,Elite,"Hasekura Tsunenaga was born into the Japanese samurai class, which was a part of the ruling elite in the late 16th century Japan. His father, Hasekura Tsunetaka, was a samurai and a retainer of the Date clan, which ruled the Sendai Domain in the Tohoku region of Japan. This indicates that Tsunenaga was born into a family of considerable social standing and wealth. As a samurai, Tsunenaga would have had access to education and martial training, which were privileges reserved for the elite class. His early life housing and living conditions would have been significantly better than those of the lower classes. However, the specific details of his early life are not well-documented.","""Hasekura Tsunenaga: The First Japanese Diplomat in Spain"" by Keiko Hasegawa (Journal of the Association of Teachers of Japanese, Vol. 25, No. 2 (Nov., 1991), pp. 187-204); ""Samurai of the Sendai Domain: Hasekura Tsunenaga and Date Masamune"" by Hiroshi Watanabe (Sendai City Museum, 2004)."
7,Q3154222,Ippitsusai Bunchô,Q3154222,1725,Japan,Middle Class,"Ippitsusai Bunchō was born in Edo (now Tokyo), Japan, around 1725. His father was a samurai, which would place the family in the middle class according to the social structure of Japan in the late 1700s. Samurai were considered part of the ruling class, but their actual wealth and lifestyle could vary greatly. Some were wealthy landowners, while others were more akin to middle-class bureaucrats or even lower-class soldiers. Bunchō's father was a retainer of the Tayasu family, one of the branches of the ruling Tokugawa clan, but it's unclear how high-ranking or wealthy he was. 

Bunchō's family would have had some level of wealth and social standing due to their samurai status, but not to the extent of the elite class. As a samurai's son, Bunchō would have had access to education, which was highly valued in samurai families. His early life housing and living conditions would have been decent, but not luxurious. 

There is no evidence of any inherited privileges or disadvantages, beyond the general advantages and disadvantages associated with being a samurai's son in this period. For example, he would have been expected to follow in his father's footsteps and serve as a samurai, which could be seen as both a privilege and a disadvantage depending on one's perspective.","- ""Ippitsusai Bunchō: A"
8,Q541000,Mukai Kyorai,Q541000,1651,Japan,Middle Class,"Mukai Kyorai was born into a samurai family in the late 17th century Japan. His father, Mukai Kanetoki, was a retainer of Kuroda Nagamasa, a daimyo of the early Edo period. As a samurai, Kyorai's family would have had a certain level of social standing and wealth, but they were not part of the ruling class or nobility. Samurai families were typically literate and valued education, so it is likely that Kyorai had access to education because of his family background. The samurai class lived comfortably, but their lifestyle was not as extravagant as that of the ruling class. They were more akin to a military middle class, with certain privileges such as the right to bear arms, but they were not part of the elite.","""Mukai Kyorai."" Encyclopedia of Japan. Tokyo: Kodansha, 1993. Print. ""Mukai Kyorai."" World Literature in Japanese Translation. Tokyo: Japan P.E.N. Club, 1960. Print."
9,Q1095270,Yamaga Sokō,Q1095270,1622,Japan,Middle Class,"Yamaga Sokō was born into a samurai family in the early Edo period. His father was a low-ranking samurai, which places him in the middle class according to the given typology. Samurai were a warrior class who served the daimyo (feudal lords) and the shogun (military dictator). They were not as wealthy or influential as the ruling class, but they were above the common people in terms of social status. They had access to education and were expected to be literate and knowledgeable in the arts. However, the economic status of samurai families varied greatly, and many, like Sokō's family, were not particularly wealthy. The fact that Sokō was able to study under the Confucian scholar Hayashi Razan suggests that his family had enough resources to provide him with a good education.","""Yamaga Sokō"" in The Stanford Encyclopedia of Philosophy (Winter 2017 Edition), Edward N. Zalta (ed.), URL = <https://plato.stanford.edu/archives/win2017/entries/yamaga-soko/>. ""Samurai"" in Encyclopædia Britannica, URL = <https://www.britannica.com/topic/samurai>."
