,individual_wikidata_id,individual_name,individual_wikidata_id,birth_year,country,classification,explanation,sources
0,Q5586,Katsushika Hokusai,Q5586,1760,Japan,Middle Class,"Katsushika Hokusai was born in the Katsushika district of Edo (modern Tokyo). His father was Nakajima Ise, a mirror-maker for the shogun. This occupation placed the family in the artisan class, which was considered part of the middle class in the social hierarchy of the Edo period. The family was not wealthy, but they were not impoverished either. Hokusai's access to education was likely due to his family's middle-class status, as he was apprenticed to a wood-carver at the age of 14 and later entered the studio of the ukiyo-e painter Katsukawa Shunshō. His early life housing and living conditions would have been typical of the middle class in Edo Japan, which was characterized by urban living in relatively comfortable, if not luxurious, circumstances. There is no evidence of any inherited privileges or disadvantages.","""Hokusai: Beyond the Great Wave"" by Timothy Clark, published by the British Museum; ""Hokusai"" by Gian Carlo Calza, published by Phaidon Press."
1,Q200798,Utagawa Hiroshige,Q200798,1797,Japan,Middle Class,"Utagawa Hiroshige, also known as Andō Hiroshige, was born in Edo (now Tokyo), Japan, in 1797. His father, Andō Gen'emon, was a member of the fire-fighting organization responsible for protecting Edo Castle, the residence of the shogun. This role was hereditary and considered a samurai rank, which placed Hiroshige's family in the middle class, according to the social structure of Japan in the late 1700s. However, they were not wealthy. After his parents' death, Hiroshige took over his father's role at a young age, but he also showed an early interest in art and managed to get an apprenticeship with Utagawa Toyohiro, a renowned ukiyo-e artist. This suggests that his family had enough resources to support his education in art, further indicating a middle-class status. His early life housing and living conditions would have been modest but comfortable, typical of the samurai class of the time.","""Hiroshige: From Fireman's Son to Ukiyo-e Master"" by Henry D. Smith II, Impressions, The Journal of the Ukiyo-e Society of America, Inc., 1991; ""Hiroshige: 100 Famous Views of Edo"" by Melanie Trede and Lorenz Bichler, Taschen, 2007."
2,Q5676,Matsuo Bashō,Q5676,1644,Japan,Middle Class,"Matsuo Bashō was born in Ueno, in Iga Province, Japan. His father was a low-ranking samurai, which would place the family in the middle class according to the social structure of Japan in the late 1600s. Samurai were considered part of the ruling class, but their wealth and influence varied greatly. Bashō's family was not wealthy, but they had enough resources to provide him with a solid education, which was a privilege not available to everyone in that era. Bashō's father's position would have provided the family with a certain level of social standing and stability, but not with the wealth and influence of the higher-ranking samurai or nobility. Bashō's early life housing and living conditions would have been modest but comfortable, reflecting the family's middle-class status.","""Bashō's Journey: The Literary Prose Of Matsuo Bashō"" by David Landis Barnhill, ""The Life of Bashō"" by Makoto Ueda, ""Matsuo Bashō"" by Haruo Shirane."
3,Q313638,Lafcadio Hearn,Q313638,1850,Japan,Middle Class,"Lafcadio Hearn was born on June 27, 1850, in and on the Greek island of Lefkada. His father, Charles Bush Hearn, was an Irish surgeon in the British army, and his mother, Rosa Antoniou Kassimati, was a native Greek woman. His parents' marriage was not accepted by the Victorian society of the time, and after his father was called back to Ireland, Lafcadio was left in the care of a great-aunt in Dublin. This indicates that while his father had a respectable profession, the family was not part of the elite class. His childhood was marked by neglect and poverty, especially after his great-aunt's death. However, he was able to attend a Catholic boarding school, Ushaw College, indicating some access to education. His early life housing and living conditions varied, from living with his great-aunt to living in a boarding school.","1. Hearn, Lafcadio, and Elizabeth Bisland. ""The Life and Letters of Lafcadio Hearn."" Houghton, Mifflin, 1906.
2. Dawson, Carl. ""Lafcadio Hearn and the Vision of Japan."" Johns Hopkins University Press, 1992."
4,Q272045,Kitagawa Utamaro,Q272045,1754,Japan,Middle Class,"Kitagawa Utamaro was born around 1754 in Edo, Japan. His exact family background is not well-documented, but it is generally accepted that he was born into a middle-class family. His father, Kitagawa Ichitaro, is believed to have been a member of the town's yoshiya, or teahouse owners, which would place the family in the middle class according to the social structure of the time. This class included merchants and artisans, among others. The teahouse culture was a significant part of the urban culture in Edo period, and owners of such establishments were considered respectable middle-class citizens. However, there is no concrete evidence of the family's wealth or Utamaro's early life housing and living conditions. As for education, Utamaro likely had access to some form of education due to his family's status, as he was able to read and write, but the specifics are not known.","""Utamaro and the Spectacle of Beauty"" by Julie Nelson Davis; ""The Passionate Art of Kitagawa Utamaro"" by Asano Shugo and Timothy Clark."
5,Q193344,Miyamoto Musashi,Q193344,1585,Japan,Middle Class,"Miyamoto Musashi was born in Harima Province, Japan, around 1584. His father, Shinmen Munisai, was an accomplished martial artist and master of the sword and jitté (a specialized weapon for defeating swords). Munisai had an official role as the martial arts instructor for the Ashikaga lords of the shogunate, a position of considerable prestige. This suggests that Musashi was born into a family with a respectable social standing, but not into the ruling class or nobility. 

Musashi's early access to martial arts training, presumably from his father, indicates a degree of educational opportunity not available to those of lower social classes. However, there's no evidence to suggest that his family was particularly wealthy or that he had access to the broader academic education typically associated with the elite class.

Musashi's mother died shortly after his birth, and his father either died or abandoned him when he was around seven years old. He was raised by his uncle, a monk, which suggests that his living conditions were likely modest.","""The Lone Samurai: The Life of Miyamoto Musashi"" by William Scott Wilson; ""Miyamoto Musashi: His Life and Writings"" by Kenji Tokitsu."
6,Q317736,Utagawa Kuniyoshi,Q317736,1798,Japan,Middle Class,"Utagawa Kuniyoshi was born in Edo (now Tokyo), Japan, in 1797 or 1798. His father, Yanagiya Kichiyemon, was a silk-dyer, which was a skilled craft occupation. This would place their family in the middle class according to the provided typology. Kuniyoshi was not born into a samurai family or the ruling class, which rules out the elite classification. He also was not born into a subsistence-level family, as his father's occupation provided a stable income. Kuniyoshi was given the opportunity to study woodblock printing under Utagawa Toyokuni, a well-known artist of the time, which suggests that his family had enough resources to provide him with this education. His early life housing and living conditions are not well-documented, but his father's occupation suggests they were likely adequate for the time and place.","Roberts, Laurance P. ""A Dictionary of Japanese Artists: Painting, Sculpture, Ceramics, Prints, Lacquer"". Weatherhill, 1976."
7,Q31523,Yosa Buson,Q31523,1716,Japan,Middle Class,"Yosa Buson was born in the village of Kema in Settsu Province (now Kema-cho, Miyakojima Ward in the city of Osaka). His family were likely of the middle class, as his father was a farmer. However, his father died when Buson was still young, and his mother took him to live in the city of Kyoto, where he would have been exposed to the cultural and artistic life of the city. This suggests that his family had some means and connections, as they were able to relocate and provide him with an education. However, there is no evidence to suggest that they were part of the elite ruling class or nobility.","""Yosa Buson: His Life & Work"" by Edith Marcombe Shiffert and Yuki Sawa; ""The Year of My Life"" by Yosa Buson, translated by William R. Nelson."
8,Q467427,Utagawa Kunisada,Q467427,1786,Japan,Middle Class,"Utagawa Kunisada, also known as Toyokuni III, was born in 1786 in Honjo, an eastern district of Edo (now Tokyo), Japan. His father was the owner of a ferry boat business, which suggests a middle-class background. The ferry business was a respectable occupation in Edo period Japan, providing a stable income and social standing within the community. This would have allowed Kunisada access to education, as it was common for children of middle-class families to receive some form of schooling. However, there is no specific information about his early life housing and living conditions or any inherited privileges or disadvantages.","""Utagawa Kunisada (1786–1865)"" by Sebastian Izzard, published in Impressions, the Journal of the Ukiyo-e Society of America, Inc. (1993); ""The Life and Works of Utagawa Kunisada"" by Amy Reigle Newland, published in Andon 63 (1999)."
9,Q360978,Suzuki Harunobu,Q360978,1725,Japan,Middle Class,"Suzuki Harunobu was born into a family of artisans in Edo (now Tokyo), Japan. His father was a samurai, which placed them in the middle class according to the social hierarchy of the time. Samurai were considered part of the ruling class, but their actual living conditions varied greatly, with many living modestly. Harunobu's family was not wealthy, but they were not poor either. They had enough resources to provide Harunobu with an education, as was typical for samurai families. However, there is no evidence to suggest that they lived in luxury or had significant wealth. The samurai class was characterized by a strong sense of duty and honor, rather than material wealth. Harunobu's early life would have been shaped by these values.","""The World of the Shining Prince: Court Life in Ancient Japan"" by Ivan Morris; ""The Making of Modern Japan"" by Marius B. Jansen."
