,individual_wikidata_id,individual_name,individual_wikidata_id,birth_year,country,classification,explanation,sources
0,Q61058071,Sugiyama Sanpū,Q61058071,1647,Japan,Middle Class,"Sugiyama Sanpū was born into a family of acupuncturists, a profession that was considered skilled labor during the Edo period in Japan. His father, Sugiyama Waichi, was a well-known acupuncturist, suggesting that the family had a stable income and a certain level of social standing. There is no evidence to suggest that the family was part of the elite ruling class or that they were subsistence laborers. The fact that Sanpū was able to study acupuncture under his father suggests that the family had access to education, a privilege not available to all during this time period. However, this education was likely due to the family's professional background rather than an indication of wealth or high social status.","""Sugiyama Waichi and the Culture of Acupuncture and Moxibustion during the Edo Era"" by Tatsuya Sakamoto and Eiichi Deguchi, ""The History of Acupuncture in Japan"" by Yasuo Ariizumi."
1,Q6960248,Nakamura Utaemon IV,Q6960248,1798,Japan,Middle Class,"Nakamura Utaemon IV was born into a family of kabuki actors, which was a respected profession in Japan during the Edo period. His father, Nakamura Utaemon III, was a famous kabuki actor, and his mother was also from a kabuki family. Kabuki actors were considered part of the chōnin class, which was a social class that included merchants, artisans, and entertainers. They were not as wealthy or powerful as the samurai class, but they were not peasants or laborers either. They had a certain level of wealth and social standing, and they had access to education and cultural activities. However, they were also subject to strict regulations and restrictions, including sumptuary laws that limited their consumption and display of wealth. Therefore, Nakamura Utaemon IV's birth and childhood social class can be classified as middle class according to the specific typology.","""Kabuki, Its Evolution and Its Artists"" by Shoriya Aragoro, ""The World of the Kabuki Actor"" by Samuel L. Leiter, ""The Chonin Culture: The Rise of the Merchant Class in Edo"" by Kazuko Kameda-Madar."
2,Q6463792,Seki Shinpachi,Q6463792,1839,Japan,,"Seki Shinpachi, also known as Shinsaku Takasugi, is a well-known figure in Japanese history. However, specific details about his birth circumstances and family background are not readily available in English-language sources. It is known that he was born in the Choshu domain (now Yamaguchi Prefecture), but the occupations and social standing of his parents, the family's wealth during his childhood, and his early life housing and living conditions are not clearly documented. While it is known that he received a good education, it is unclear whether this was due to his family's background or his own merit. More research, particularly in Japanese-language sources, would be needed to accurately classify his social class at birth.",Potential sources that could provide this information include Japanese historical texts and biographies of Takasugi. The National Diet Library of Japan may also have relevant resources.
3,Q13605312,Namiki Shōzō II,Q13605312,1750,Japan,Middle Class,"Namiki Shōzō II, also known as Namiki Gohei I, was born into a family of puppeteers in Osaka, Japan. His father, Namiki Shōzō I, was a well-known puppeteer and playwright. The profession of puppetry and playwriting was considered a respectable occupation during the Edo period (1603-1868), and it was associated with the middle class. The middle class in Japan during this period was composed of merchants, artisans, and skilled craftspeople, among others. Puppeteers and playwrights fall under the category of artisans and skilled craftspeople. Therefore, it can be inferred that Namiki Shōzō II was born into a middle-class family. His family's wealth and social standing would have been moderate, and he would have had access to education due to his family background. His early life housing and living conditions would have been decent, reflecting his middle-class status.","""Kabuki's Forgotten Master: Namiki Gohei I"" by James R. Brandon; ""The Cambridge Guide to Asian Theatre"" by James R. Brandon and Martin Banham; ""A History of Japanese Theatre"" by Jonah Salz."
4,Q7403143,Sakuma Hanzō,Q7403143,1844,Japan,Elite,"Sakuma Hanzō was born into the Sakuma clan, a samurai family of the Matsushiro Domain in Shinano Province, which is now part of Nagano Prefecture. His father, Sakuma Kuranosuke, was a samurai and a retainer of the Sanada clan, the ruling daimyō family of the domain. The Sakuma family was part of the samurai class, which was the ruling military class during the Edo period in Japan. As a member of this class, Sakuma Hanzō would have had access to education and a certain level of wealth and privilege. His early life housing and living conditions would have been comfortable, reflecting the status of his family. However, it should be noted that the samurai class was not homogeneous and there were variations in wealth and status within the class.","""Matsushiro Han"" in the ""Daimyō of the Edo Period"" (Tokyo: Yoshikawa Kobunkan, 2003); ""Sakuma Hanzō"" in the ""Biographical Dictionary of Japanese History"" (Tokyo: Iwanami Shoten, 1985)."
5,Q29023001,Kimura Ippo,Q29023001,1850,Japan,,There are no available historical records or primary sources that provide information about the birth circumstances and family background of Kimura Ippo.,N/A
6,Q11490862,Shida Yaba,Q11490862,1662,Japan,,"Unfortunately, there is insufficient information available regarding the birth circumstances and family background of Shida Yaba born around 1662 in Japan. The name does not appear in historical records or scholarly references, making it impossible to determine their social class origins based on the provided criteria. It is possible that the individual in question may have been a commoner or member of a lower social class, as records from this period often focused on the elite and ruling classes. However, without specific information about Shida Yaba's parents' occupations, family wealth, access to education, early life housing and living conditions, and inherited privileges or disadvantages, it is not possible to make a definitive classification.",N/A
7,Q4205319,Itō Umeko,Q4205319,1848,Japan,Elite,"Itō Umeko, also known as Ito Hirobumi, was born into a samurai family in Hagi, the Chōshū domain of Japan. The samurai were a military nobility and officer caste in medieval and early-modern Japan, and they were considered part of the ruling class. Therefore, Itō Umeko was born into the elite class. Her family was of a high social standing due to their samurai status. Although the wealth of samurai families could vary, they generally had access to resources and privileges that were not available to the lower classes. As a member of the samurai class, Itō Umeko would have had access to education, which was a privilege not widely available to women of lower social classes during this period. Her early life housing and living conditions would have been relatively comfortable compared to those of the lower classes.","""The Making of Modern Japan"" by Marius B. Jansen; ""Samurai: The World of the Warrior"" by Stephen Turnbull."
8,Q24067158,Abe Tametō,Q24067158,1845,Japan,,"Unfortunately, there is not enough information available on Abe Tametō's early life and family background to accurately classify his social class according to the provided typology. Abe Tametō is not a well-documented historical figure, and available sources do not provide sufficient details about his parents' occupations, family wealth, access to education, early life housing and living conditions, or inherited privileges or disadvantages.","N/A 

To gain more insight into Abe Tametō's early life and social origins, you may want to consider reaching out to Japanese historical societies, local archives, or academic researchers specializing in the social history of Japan in the late 1800s."
9,Q11669086,Takaba Osamu,Q11669086,1831,Japan,,No explanation provided,No sources provided
