,individual_wikidata_id,individual_name,individual_wikidata_id,birth_year,country,classification,explanation,sources
0,Q5599,Peter Paul Rubens,Q5599,1577,Belgium,Middle Class,"Peter Paul Rubens was born in Siegen, Westphalia, to Jan Rubens and Maria Pypelincks. His father, Jan Rubens, was a lawyer and magistrate of Antwerp who had fled to Germany due to religious persecution. His mother, Maria Pypelincks, was from a wealthy merchant family. Although his father had a prestigious occupation, the family was not part of the nobility or ruling class. The family's wealth was significantly reduced due to their exile, but they were not in poverty. Rubens had access to education due to his family background. His mother ensured he received a classical education after his father's death. The family lived in comfortable, albeit not luxurious, conditions during Rubens' early life. There were no significant inherited privileges or disadvantages.","""Peter Paul Rubens: A Touch of Brilliance"", by Susie Hodge; ""Rubens: A Genius at Work"", by Nico Van Hout."
1,Q5598,Rembrandt,Q5598,1606,Netherlands,Middle Class,"Rembrandt Harmenszoon van Rijn was born in Leiden, Netherlands, in 1606. His father, Harmen Gerritszoon van Rijn, was a miller, and his mother, Neeltgen Willemsdochter van Zuytbrouck, was a baker's daughter. This suggests that his family was part of the middle class, as they were involved in skilled trades but were not part of the nobility or ruling class. Rembrandt was the ninth of ten children, indicating that his family was relatively well-off to support such a large family. Furthermore, Rembrandt was able to attend Latin school and later the University of Leiden, suggesting that his family had enough resources to afford his education. His early life housing and living conditions would have been comfortable but not luxurious, typical of a middle-class family in the Netherlands during this period.","Schwartz, Gary. ""Rembrandt: His Life, His Paintings."" Viking Penguin, 1985. White, Christopher. ""Rembrandt."" Thames and Hudson, 1984."
2,Q35802,Benedictus de Spinoza,Q35802,1632,Netherlands,Middle Class,"Benedictus de Spinoza was born into a Portuguese-Jewish family in Amsterdam, Netherlands. His father, Michael de Spinoza, was a successful merchant and a respected member of the Portuguese-Jewish community in Amsterdam. The family was involved in the import and export of dried fruit and owned a warehouse, indicating a level of wealth and stability consistent with the middle class. Spinoza's mother, Hanna Deborah, also came from a merchant family. 

Spinoza had access to education due to his family background. He attended the Keter Torah yeshiva, where he studied Jewish law, Talmud, and philosophy, which was a privilege not available to all children at the time. 

The family lived in a house in the Vlooyenburg area of Amsterdam, a neighborhood known for its concentration of Portuguese-Jewish immigrants. The house was large enough to accommodate Spinoza's family and their servants, suggesting comfortable living conditions.","1. Nadler, Steven. ""Spinoza: A Life."" Cambridge University Press, 1999.
2. Israel, Jonathan I. ""The Dutch Republic: Its Rise, Greatness, and Fall 1477–1806."" Clarendon Press, 1995.
3. Klever, Wim. ""The Life of Benedictus de Spinoza."" In ""Spinoza: A Collection of Critical Essays,"" edited by Marjorie Grene, Anchor"
3,Q12735,John Amos Comenius,Q12735,1592,Netherlands,Middle Class,"John Amos Comenius was born in Moravia, which is now part of the Czech Republic, not the Netherlands. His family belonged to the middle class. His father, Martin Komenský, was a member of the Bohemian Brethren, a pre-Reformation Protestant denomination, and served as an elder in the church, which indicates a certain level of social standing and respect. His mother, Anna Chmelová, also came from a respectable family. However, both of his parents died when Comenius was young, leaving him orphaned and under the care of the local church community. Despite this setback, his family background and the support of the church community allowed him access to education. He attended the Latin school in Přerov and later the Herborn Academy in Hesse. His early life housing and living conditions would have been modest but comfortable, typical of the middle class of the time.","""Comenius."" Encyclopædia Britannica. Encyclopædia Britannica, Inc., 2021. Web. 22 Sept. 2021. ""John Amos Comenius."" New World Encyclopedia, 2018. Web. 22 Sept. 2021."
4,Q220976,Thomas à Kempis,Q220976,1380,Netherlands,Middle Class,"Thomas à Kempis was born in Kempen, a small town in the Duchy of Cleves, which is now part of the modern-day Germany, near the Dutch-German border. His birth name was Thomas Hemerken, which means ""little hammer."" His parents, John and Gertrude Hemerken, were not of noble birth. They were artisans, which places them in the middle class according to the given typology. Thomas had an older brother, John, who was a successful copyist and became a prior at the Augustinian monastery at Windesheim. Thomas followed his brother to the monastery, where he was educated. His access to education was not due to family wealth or status, but because of his brother's position in the monastery. The family's living conditions would have been modest, typical of the middle class in the late 1300s.","""The Imitation of Christ"" by Thomas à Kempis, ""Thomas à Kempis: His Age and Book"" by DeGreef, W., ""Thomas à Kempis and the Brothers of the Common Life"" by Arthur, J. R."
5,Q102272,Jan van Eyck,Q102272,1390,Belgium,Middle Class,"Jan van Eyck was born around 1390 in Maaseik, a small town in the Bishopric of Liège, which is now in modern-day Belgium. The exact details of his family background are not well-documented, but it is generally believed that his parents were not nobility, but rather belonged to the middle class. His father's name was probably Thierry van Eyck, and he was likely a respected craftsman or merchant. Jan van Eyck had two brothers, Hubert and Lambert, who were also painters, suggesting that the family had some means and access to education, as painting was a skilled craft that required training. However, there is no evidence to suggest that they were particularly wealthy or had any inherited privileges. Their housing and living conditions are not well-documented, but given their likely middle-class status, it can be inferred that they were probably comfortable but not luxurious.","""Jan van Eyck"" by Till-Holger Borchert, published by Taschen in 2008; ""The Arnolfini Betrothal: Medieval Marriage and the Enigma of Van Eyck's Double Portrait"" by Edwin Hall, published by University of California Press in 1994."
6,Q167654,Frans Hals,Q167654,1591,Netherlands,Middle Class,"Frans Hals was born in Antwerp, in the Spanish Netherlands (now Belgium), around 1582-83. His father, Franchois Fransz Hals van Mechelen, was a cloth merchant, and his mother, Adriaentje van Geertenryck, was a local woman. The family moved to Haarlem in the Dutch Republic (now the Netherlands) around 1591 due to religious persecution. The occupation of Hals' father suggests that the family belonged to the middle class, as cloth merchants were typically part of the bourgeoisie during this period. However, the family's forced migration suggests they may not have been particularly wealthy or influential. It's also worth noting that Hals was able to attend the Haarlem Guild of Saint Luke, a city guild for painters, which suggests his family had enough resources to provide him with some education.","""Frans Hals"", Encyclopædia Britannica, 2021; ""Frans Hals"", The Metropolitan Museum of Art, 2000; ""Frans Hals"", National Gallery, London, 2021."
7,Q41264,Johannes Vermeer,Q41264,1632,Netherlands,Middle Class,"Johannes Vermeer was born in Delft, Netherlands around 1632. His father, Reynier Janszoon, was a silk weaver, which was a skilled trade, and also an art dealer. This suggests that the family was part of the middle class, as they were involved in skilled labor and commerce, typical occupations of this social stratum. Vermeer's mother's occupation is not well-documented, but it is known that she came from a family of bakers, another skilled trade. The family lived in a house in Delft's market square, indicating a certain level of wealth and stability. Vermeer's father's involvement in the art trade likely provided Vermeer with early exposure to art and artists, which could have influenced his own career path. However, there is no evidence that Vermeer received a formal education, which was not uncommon for children of his social class during this period.","""Vermeer: A View of Delft"" by Anthony Bailey; ""Johannes Vermeer"" by Arthur K. Wheelock Jr."
8,Q39599,Christiaan Huygens,Q39599,1629,Netherlands,Elite,"Christiaan Huygens was born into a prominent and wealthy Dutch family. His father, Constantijn Huygens, was a diplomat and advisor to the House of Orange, and also a poet of some renown. This position in the court would have placed the Huygens family in the elite class of Dutch society. Christiaan's mother, Suzanna van Baerle, came from a wealthy merchant family, further solidifying their elite status. The family's wealth and status allowed Christiaan access to a high-quality education from a young age, including tutors in mathematics and law. The Huygens family lived in a large house in The Hague, indicating a high standard of living. Christiaan would have inherited the privileges associated with his family's elite status, including access to education and social connections.","1. ""Christiaan Huygens: Dutch Mathematician and Physicist."" Encyclopedia Britannica. 
2. ""Huygens, Christiaan."" Complete Dictionary of Scientific Biography. 
3. ""The Correspondence of Constantijn Huygens."" Huygens ING."
9,Q315509,Philip Sidney,Q315509,1554,Netherlands,Elite,"Philip Sidney was born into an elite family. His father, Sir Henry Sidney, was a prominent politician and courtier during the reign of Queen Elizabeth I, serving as the Lord President of the Council of Wales and the Marches, and the Lord Deputy of Ireland. His mother, Mary Dudley, was a lady-in-waiting to Queen Elizabeth I and the daughter of John Dudley, 1st Duke of Northumberland. The Sidney family was well-established and wealthy, with a long history of service to the English Crown. Philip Sidney was born in Penshurst Place, a historic building in Kent, England, indicating a high standard of living. His family's status and wealth also allowed him access to education. He was educated at Shrewsbury School and Christ Church, Oxford, two prestigious institutions, reflecting his family's high social standing.","""Sir Philip Sidney."" Encyclopædia Britannica. Encyclopædia Britannica, inc., 2021; ""Philip Sidney."" Poetry Foundation. Poetry Foundation, 2021; ""Philip Sidney."" The British Library. The British Library Board, 2021."
