,index,individual_name,individual_wikidata_id,birth_year,country,classification,explanation,sources
0,Q5599,Peter Paul Rubens,Q5599,1577,Belgium,Middle Class,"Peter Paul Rubens was born in Siegen, Westphalia, now in modern-day Germany, to Jan Rubens and Maria Pypelincks. His father, Jan Rubens, was a lawyer and Antwerp city councilor. However, at the time of Peter Paul Rubens' birth, his father was under house arrest for having an illicit affair with Anna of Saxony, the wife of William I of Orange. His mother, Maria Pypelincks, was the daughter of a wealthy merchant from Antwerp. Despite the scandal surrounding his father, Rubens' family was still considered part of the middle class due to their occupations and social standing.

The family returned to Antwerp after Jan Rubens' death in 1587, where Peter Paul Rubens received a classical education. His access to education was likely due to his family's middle-class status and not because of his personal merit. The family's living conditions would have been comfortable but not luxurious, typical of the middle class during this period.","- Belkin, Kristin Lohse. Rubens. Phaidon Press, 1998.
- Scribner, R. W. ""Rubens."" The Oxford Companion to Western Art. Ed. Hugh Brigstocke. Oxford University Press, 2001."
1,Q5598,Rembrandt,Q5598,1606,Netherlands,Middle Class,"Rembrandt Harmenszoon van Rijn was born in Leiden, Netherlands in 1606. His father, Harmen Gerritszoon van Rijn, was a miller, and his mother, Neeltgen Willemsdochter van Zuytbrouck, was a baker's daughter. This places his family within the middle class according to the given typology, as they were skilled craftspeople. 

Rembrandt was the ninth of ten children, suggesting a family of moderate means. His parents were able to afford to send him to Latin school and later to Leiden University, indicating a certain level of financial stability and access to education. 

His family lived in a house near the mill where his father worked, which suggests comfortable, if not luxurious, living conditions. There is no evidence of any inherited privileges or disadvantages.","- Schwartz, Gary. ""Rembrandt: His Life, His Paintings"". Viking Adult, 1986.
- White, Christopher. ""Rembrandt"". Thames and Hudson, 1984.
- ""Rembrandt (1606–1669): Paintings"", The Metropolitan Museum of Art, 2000."
2,Q35802,Benedictus de Spinoza,Q35802,1632,Netherlands,Middle Class,"Benedictus de Spinoza was born into a Portuguese-Jewish family in Amsterdam, Netherlands. His father, Michael de Spinoza, was a successful merchant and a respected member of the Portuguese-Jewish community in Amsterdam. The family was involved in the import and export of dried fruit and nuts, which was a profitable business at the time. This would suggest that the family was of the middle class, as they were not nobility but had a stable income and were not living in poverty. 

Spinoza's access to education was also indicative of his middle-class status. He received a traditional Jewish education, studying Hebrew, the Talmud, and the Torah. This education was not available to everyone and suggests that his family had the means to provide him with a good education.

Spinoza's early life housing and living conditions also point to a middle-class upbringing. His family lived in a comfortable home in the Jewish quarter of Amsterdam. While they were not living in luxury, they were certainly not living in poverty either.

In terms of inherited privileges or disadvantages, it's important to note that Spinoza was born into a community of Portuguese-Jewish immigrants. While this community was relatively prosperous and well-integrated into Dutch society, they were still subject to certain restrictions and prejudices. However, this did not significantly impact Spinoza's social standing or opportunities in his early life.","1. Nadler, Steven. ""Spinoza"
3,Q12735,John Amos Comenius,Q12735,1592,Netherlands,Middle Class,"John Amos Comenius was born in Moravia, which is now a part of the Czech Republic, not the Netherlands. His parents were members of the Moravian Brethren, a pre-Reformation Christian group that valued education. His father was a miller, which was a skilled trade, and his mother came from a family of weavers. Both occupations would place them in the middle class according to the typology provided. The family was not wealthy, but they were not poor either. They had enough resources to provide Comenius with a basic education, which was furthered when he was sent to live with his aunt in Uherský Brod after the death of his parents. His aunt's husband was a priest, which would have given Comenius access to a higher level of education than he might have otherwise received. His early life housing and living conditions would have been typical for a middle-class family of the time, with a comfortable home and enough food to eat. He did not have any inherited privileges or disadvantages, as his family was neither nobility nor peasants.","""Comenius: A Critical Reassessment of his Life and Work"" by Vladimír J. Křen, ""John Amos Comenius: That Incomparable Moravian"" by Matthew Spinka, ""The Great Didactic of John Amos Comenius"" by John Amos Comenius and M. W."
4,Q220976,Thomas à Kempis,Q220976,1380,Netherlands,Middle Class,"Thomas à Kempis was born in Kempen, a small town in the Duchy of Cleves, which is now part of modern-day Germany, near the Dutch border. His birth name was Thomas Hemerken, and ""à Kempis"" is a Latinized version of his hometown's name. His father, John Hemerken, was a blacksmith, and his mother, Gertrude Hemerken, was a schoolmistress. This suggests that his family was not of the elite class, but rather of the middle class, as both of his parents had skilled occupations. Thomas and his brother, John, were sent to the Brothers of the Common Life in Deventer, Netherlands, for their education. This indicates that his family had enough resources to provide him with an education, which was not a common opportunity for the subsistence class during this period. However, the fact that he was sent away for education may also suggest that his family was not wealthy enough to afford private tutors, a common practice among the elite class. His family's occupation and their ability to provide him with an education suggest that they were part of the middle class.","""The Imitation of Christ"" by Thomas à Kempis; ""Thomas à Kempis: His Age and Book"" by P. Van Baalen; ""Thomas à Kempis and the Brothers of the Common Life"" by S. Kettlewell."
5,Q102272,Jan van Eyck,Q102272,1390,Belgium,Middle Class,"Jan van Eyck was born around 1390 in Maaseik, then a small town in the Prince-Bishopric of Liège, part of the Holy Roman Empire, now in Belgium. The exact details of his family background are not well documented, but it is known that his father was a respected middle-class man named Bartholomeus van Eyck. His mother's name was Margaret van Eyck. Jan had two brothers, Hubert and Lambert, both of whom were also painters, suggesting that the family had some resources and access to education, as painting was a skilled craft that required training. The fact that multiple members of the family were painters suggests that they were likely part of the artisan class, which would place them in the middle class according to the provided typology. However, there is no evidence to suggest that they were particularly wealthy or had any inherited privileges.","""The Arnolfini Betrothal: Medieval Marriage and the Enigma of Van Eyck's Double Portrait"" by Edwin Hall; ""Van Eyck to Durer: The Influence of Early Netherlandish painting on European Art, 1430–1530"" by Till-Holger Borchert."
6,Q167654,Frans Hals,Q167654,1591,Netherlands,Middle Class,"Frans Hals was born in Antwerp, in the Spanish Netherlands (now Belgium), around 1582-83. His parents were Franchois Fransz Hals van Mechelen, a cloth merchant, and Adriaentje van Geertenryck. The family moved to Haarlem in the Dutch Republic (now the Netherlands) around 1591, likely due to religious persecution as they were Protestants. The occupation of Hals' father as a cloth merchant suggests that the family belonged to the middle class, as merchants were typically considered part of this social stratum during this period. However, the family's forced migration suggests they may have faced some financial instability. There's no specific information about Hals' early education, but his later work as a painter suggests he likely had some access to training or apprenticeship opportunities, which would also be consistent with a middle-class background.","""Frans Hals"", Encyclopædia Britannica, ""Frans Hals: Style and Technique"", National Gallery, London."
7,Q41264,Johannes Vermeer,Q41264,1632,Netherlands,Middle Class,"Johannes Vermeer was born in Delft, Netherlands, around 1632. His father, Reynier Janszoon, was a silk weaver, which was a skilled craft, and also an art dealer. This suggests that the family was part of the middle class, as they were involved in skilled craft and trade, typical occupations of this social stratum. Vermeer's mother's occupation is not well-documented, but it's likely she also contributed to the family's income. The family lived in a house in the center of Delft, indicating a certain level of wealth and stability. Vermeer's father's involvement in the art trade could have given Vermeer access to education in this field, although specific details about his early education are not well-documented. After his father's death, Vermeer took over his father's art dealing business, indicating that he inherited some level of wealth and business.","""Vermeer: A View of Delft"" by Anthony Bailey; ""Vermeer: The Complete Works"" by Arthur K. Wheelock Jr.; ""Vermeer and His World: 1632-1675"" by John Michael Montias."
8,Q39599,Christiaan Huygens,Q39599,1629,Netherlands,Elite,"Christiaan Huygens was born into a prominent and wealthy Dutch family. His father, Constantijn Huygens, was a well-known diplomat, poet, and musician who served as the secretary to two Princes of Orange: Frederick Henry and William II. His mother, Suzanna van Baerle, came from a wealthy merchant family. The Huygens family was part of the patriciate, the highest social class in the Dutch Republic, which was equivalent to the nobility in other countries. Christiaan Huygens was born in The Hague, a city known for its political importance and the residence of the Dutch royal family. He had access to a high-quality education due to his family's wealth and status, which included private tutors and the study of languages, music, and mathematics. His family's wealth and social standing also provided him with the opportunity to travel and study abroad.","""Christiaan Huygens: The Measurement of Time and of Longitude at Sea"" by H.J.M Bos; ""The Correspondence of Constantijn Huygens (1608–1687)"" by the Huygens ING; ""The Patricians of Netherland"" by Jonathan Israel."
9,Q315509,Philip Sidney,Q315509,1554,Netherlands,Elite,"Philip Sidney was born into an elite family. His father, Sir Henry Sidney, was a prominent politician and courtier during the reigns of Edward VI, Mary I, and Elizabeth I. He served as Lord Deputy of Ireland, President of the Council in the Marches, and Lord President of Wales, among other positions. His mother, Mary Dudley, was a lady-in-waiting to Queen Elizabeth I and the daughter of John Dudley, 1st Duke of Northumberland. This indicates that Philip Sidney was born into a family of high social standing and wealth. His access to education was also a result of his family background. He was educated at Shrewsbury School and Christ Church, Oxford, which were prestigious institutions accessible primarily to the elite. His early life housing and living conditions would have been comfortable, given his family's wealth and status. He would have inherited significant privileges due to his birth into the aristocracy.","1. ""Sir Philip Sidney."" Encyclopædia Britannica. https://www.britannica.com/biography/Philip-Sidney
2. ""Sir Henry Sidney."" Encyclopædia Britannica. https://www.britannica.com/biography/Henry-Sidney
3. ""Mary Dudley, Lady Sidney."" Wikipedia. https://en.wikipedia.org/wiki/Mary_Dudley,_Lady_Sidney
4. ""Philip Sidney."" The Poetry Foundation. https"
