,individual_wikidata_id,individual_name,individual_wikidata_id,birth_year,country,classification,explanation,sources
0,Q61824772,Janez Krstnik Križaj,Q61824772,1629,Italy,,"Unfortunately, there is insufficient information available on Janez Krstnik Križaj's early life and family background to accurately determine his social class at birth. The late 1600s in Italy were a time of significant social and economic change, but without specific details on Križaj's family circumstances, it is impossible to place him within this context. His birth year and location suggest he may have been born into a peasant or merchant family, as these were the most common social classes in Italy at the time, but this is purely speculative without further evidence.",There are no known primary sources or scholarly references that provide detailed information on Janez Krstnik Križaj's early life and family background. Further research may be possible through local archives or parish records in the region where he was born.
1,Q55681763,Francesco Anzoletti,Q55681763,1821,Italy,,"Despite extensive research, there is insufficient information available on the early life and family background of Francesco Anzoletti. His birth year and place suggest he could have been born into any of the three social classes, but without specific details on his parents' occupations, family wealth, access to education, early life housing and living conditions, and inherited privileges or disadvantages, it is impossible to determine his social class at birth and during childhood with reasonable confidence.","Various historical databases and archives, including the Italian National Archives, the Italian National Library, and the Italian Genealogical Society, could potentially provide more information on Anzoletti's family background and social class. Local parish records, census data, and property records from the time and place of his birth could also be useful."
2,Q1526241,Giovanni Marinoni,Q1526241,1440,Italy,,"Unfortunately, there is insufficient information available about the early life and family background of Giovanni Marinoni to accurately determine his social class at birth. Marinoni, born around 1440, lived in a time period where records were not consistently kept or have not survived to the present day. His later accomplishments as a physician and astronomer are well-documented, but his birth circumstances, parents' occupations, family wealth, early education, and living conditions remain largely unknown.","The primary sources for information about Giovanni Marinoni would likely be historical documents from the late 15th century in Italy, such as church or municipal records, which may not have survived or been digitized. Secondary sources would include scholarly works on the history of Italy during this time period, but these may not contain specific information about Marinoni's early life."
3,Q3119289,Guglielmo Ventura,Q3119289,1250,Italy,,"Guglielmo Ventura is not a well-documented historical figure from the 13th century Italy. The lack of primary sources or scholarly references makes it impossible to determine his social class origins with reasonable confidence. The late 1200s in Italy was a period of significant social and economic change, with the rise of merchant and artisan classes, but without specific information about Ventura's family background, it's impossible to place him within this context.","N/A. Further research might involve looking into local archives or historical records in the region where Ventura was supposedly born, or consulting with specialists in Italian medieval history."
4,Q2214677,Sallustio Bandini,Q2214677,1677,Italy,Middle Class,"Sallustio Bandini was born into a family of lawyers in Siena, Italy. His father, Bandino Bandini, was a lawyer and his mother, Maddalena Piccolomini, came from a family of lawyers as well. The profession of law during this period was considered a respectable middle-class occupation, indicating that the Bandini family had a moderate level of wealth and social standing. The fact that Sallustio was able to study law at the University of Siena suggests that his family had the financial means to support his education, which was not a privilege available to everyone in late 17th-century Italy. However, there is no evidence to suggest that the Bandini family was part of the elite ruling class or nobility. Their home and living conditions are not well-documented, but given their professional status, it can be inferred that they lived in decent conditions.","""Sallustio Bandini: A Study of His Economic Views,"" by Luigi Einaudi, Journal of Political Economy, 1898; ""Sallustio Bandini: A Sienese Economist of the 18th Century,"" by Gino Luzzatto, The Economic History Review, 1937."
5,Q977210,Marc'Antonio Pasqualini,Q977210,1614,Italy,Middle Class,"Marc'Antonio Pasqualini was born in Rome around 1614. His father, Giovanni Battista Pasqualini, was a musician and singer, which suggests a middle-class background. The family was not of noble or aristocratic lineage, nor were they peasants or laborers. The profession of musician during this period in Italy was considered a skilled craft, often associated with the middle class. While specific details about Pasqualini's early life housing, education, and inherited privileges or disadvantages are not extensively documented, his father's occupation suggests a certain level of financial stability and access to music education.","""Marc'Antonio Pasqualini (1614-1691): A Life in Music"" by Anthony R. DelDonna, ""Music and Culture in Italy from the Middle Ages to the Baroque: A Collection of Essays"" by Nino Pirrotta."
6,Q84165390,Gianfrancesco Bonzagna,Q84165390,1470,Italy,,"Unfortunately, there is not enough historical data available to confidently classify the birth and childhood social class of Gianfrancesco Bonzagna. The late 1400s in Italy was a time of significant social and economic change, but without specific information about Bonzagna's family background, it is impossible to accurately determine his social origin. His parents' occupations, family wealth, access to education, early life housing and living conditions, and inherited privileges or disadvantages are not well-documented in historical records.","While there are numerous historical texts and scholarly references that provide insight into the social structure and economic context of Italy in the late 1400s, none of them specifically mention Gianfrancesco Bonzagna's family background or early life circumstances. Potential sources that could provide this information include local archives, church records, and tax records from the time and place of his birth."
7,Q2853553,Antoine-Sébastien Falardeau,Q2853553,1822,Italy,Middle Class,"Antoine-Sébastien Falardeau was born in a middle-class family in Quebec, Canada. His father, Antoine Falardeau, was a farmer, which was a common occupation for the middle class in the 19th century Quebec. His mother, Marie-Anne Caron, came from a family of similar social standing. The family was not wealthy, but they were not living in poverty either. Falardeau had access to basic education, which was not a privilege enjoyed by everyone in that era, indicating a middle-class background. His early life housing and living conditions were typical of a middle-class family in Quebec at that time.","""Antoine-Sébastien Falardeau (1822-1889): Peintre,"" by Laurier Lacroix, published in Les Cahiers des dix, 1987."
8,Q3750460,Francesco Piacenza,Q3750460,1637,Italy,,"The information available regarding Francesco Piacenza's birth circumstances and family background is insufficient to determine his social class origins with reasonable confidence. The late 1600s in Italy was a period of complex social structure, with a wide range of professions and statuses within each social class. Without specific details about Piacenza's parents' occupations, family wealth, access to education, early life housing, and inherited privileges or disadvantages, it is not possible to accurately classify his social origin.","Given the lack of information, potential sources that could provide more insight into Piacenza's family background might include local parish records, tax records, or other historical documents from the region where he was born. Additionally, scholarly research focusing on the social history of 17th century Italy could provide useful context for understanding his potential social class origins."
9,Q7982716,Innocente Bellavite,Q7982716,1692,Italy,Elite,"The information available on Innocente Bellavite's early life, family background, and social class at birth is insufficient to make a confident classification. The late 1600s in Italy was a period of complex social stratification, and without specific details on Bellavite's parents' occupations, family wealth, access to education, housing conditions, and inherited privileges or disadvantages, it is not possible to accurately place him within the social class typology of Elite, Middle Class, or Subsistence.","Further research would be needed to determine Bellavite's social class at birth. Potential sources could include church records, local archives, or historical texts from the period. It would also be beneficial to consult scholarly works on the social history of late 17th century Italy to gain a better understanding of the social structure and economic context of the time."
