,individual_wikidata_id,individual_name,individual_wikidata_id,birth_year,country,classification,explanation,sources
0,Q692,William Shakespeare,Q692,1564,United Kingdom,Middle Class,"William Shakespeare was born in Stratford-upon-Avon, Warwickshire, England, in 1564. His father, John Shakespeare, was a glove maker and wool merchant, and his mother, Mary Arden, was the daughter of an affluent landowning farmer. This suggests that the family was of the middle class, as they were involved in skilled crafts and trade, and owned land. John Shakespeare also held several positions in local government, including high bailiff (similar to a mayor), indicating a certain level of social standing within their community. 

William Shakespeare likely attended the King's New School in Stratford, a grammar school that provided free education to all boys in the area, suggesting that his family's social standing and local residence provided him with access to education. 

The family lived in a house on Henley Street, which was a substantial dwelling with multiple rooms, indicating a level of wealth and comfort above subsistence living. However, the family's fortunes declined during Shakespeare's teenage years due to his father's financial difficulties, but this does not change their social class at the time of his birth and early childhood.","- Ackroyd, Peter. ""Shakespeare: The Biography"". London: Chatto and Windus, 2005.
- Schoenbaum, S. ""William Shakespeare: A Compact Documentary Life"". Oxford: Clarendon Press, 1977.
- Wood, Michael. ""In Search of Shakespeare"
1,Q5686,Charles Dickens,Q5686,1812,United Kingdom,Middle Class,"Charles Dickens was born on February 7, 1812, in Portsmouth, England, to John and Elizabeth Dickens. His father, John Dickens, worked as a clerk in the Navy Pay Office, a position that would have placed the family in the middle class. However, John Dickens was notoriously bad with money, and the family was often in financial trouble. This led to a period of time when Charles was a child during which the family was sent to Marshalsea debtor's prison, and Charles was sent to work in a factory. Despite these hardships, Charles was able to attend school for a time due to his family's middle-class status, before his father's debts forced him out.","- ""Charles Dickens."" Encyclopædia Britannica. https://www.britannica.com/biography/Charles-Dickens-British-novelist
- ""Charles Dickens: Family and Early Childhood."" The Charles Dickens Museum. https://dickensmuseum.com/pages/dickens-family-and-early-childhood
- ""Charles Dickens."" BBC History. http://www.bbc.co.uk/history/historic_figures/dickens_charles.shtml"
2,Q1035,Charles Darwin,Q1035,1809,United Kingdom,Elite,"Charles Darwin was born into a prominent and wealthy family. His father, Robert Darwin, was a successful medical doctor, and his mother, Susannah Wedgwood, was from the wealthy Wedgwood pottery family. The Darwin family was well-respected and had significant wealth, owning several properties. Charles Darwin's grandfather, Erasmus Darwin, was a renowned physician, poet, and intellectual. 

Charles Darwin's early life was marked by privilege and comfort. He was born in the family home, The Mount, a large and luxurious house in Shrewsbury. He had access to high-quality education due to his family's wealth and status, attending Shrewsbury School and later Edinburgh University and Christ's College, Cambridge.","1. ""Charles Darwin: A Biography"" by Janet Browne
2. ""The Darwin-Wedgwood Family"" by Tim Berra, published in Nature
3. ""The Autobiography of Charles Darwin"" by Charles Darwin
4. ""Charles Darwin: Victorian Mythmaker"" by A. N. Wilson"
3,Q38082,Lewis Carroll,Q38082,1832,United Kingdom,Middle Class,"Lewis Carroll, whose real name was Charles Lutwidge Dodgson, was born on January 27, 1832, in Daresbury, Cheshire, England. His parents were Charles Dodgson and Frances Jane Lutwidge. His father was a clergyman, a profession that was considered part of the middle class during the Victorian era in the United Kingdom. The Dodgson family was large, with Charles being the eldest of 11 children, which suggests that while they may not have been wealthy, they were not living in poverty either. 

In terms of education, Charles had access to a good education due to his father's profession. He was initially educated at home, and later attended Richmond School in Yorkshire, and then Rugby School. His father's profession and the family's religious background likely played a significant role in his access to education.

As for housing and living conditions, the Dodgson family lived in a parsonage, which would have been a comfortable, if not luxurious, dwelling. This further supports the classification of the Dodgson family as middle class.

Inherited privileges or disadvantages would have been minimal. As the son of a clergyman, Charles would have had certain social advantages, such as access to education and a certain level of respectability, but he would not have had the wealth or political power associated with the elite class.","- Cohen, Morton N. ""Lewis Carroll: English"
4,Q36322,Jane Austen,Q36322,1775,United Kingdom,Middle Class,"Jane Austen was born on December 16, 1775, in Steventon, Hampshire, England. Her father, George Austen, was the rector of the Anglican parishes of Steventon and Deane. While not wealthy, the family was well-respected and lived a comfortable life. Her mother, Cassandra Leigh Austen, was from a higher social class, being related to aristocrats, but her immediate family was not wealthy. 

Jane Austen was the seventh of eight children. The Austen family lived in a spacious, comfortable home, the rectory in Steventon, which provided a comfortable middle-class upbringing. The family valued education, and Jane and her sister Cassandra were sent to boarding schools for a time, but most of their education was received at home, suggesting a level of financial comfort but not significant wealth.","1. Tomalin, Claire. ""Jane Austen: A Life."" New York: Alfred A. Knopf, 1997.
2. Le Faye, Deirdre. ""Jane Austen: The World of Her Novels."" London: Frances Lincoln, 2002.
3. Honan, Park. ""Jane Austen: Her Life."" New York: St. Martin's Press, 1987."
5,Q9061,Karl Marx,Q9061,1818,United Kingdom,Middle Class,"Karl Marx was born in Trier, in the Kingdom of Prussia, not the United Kingdom, on May 5, 1818. His father, Heinrich Marx, was a lawyer and a man of the Enlightenment, interested in the ideas of the philosophers Immanuel Kant and Voltaire. Heinrich Marx was also a successful and respected lawyer, which provided a comfortable middle-class lifestyle for the Marx family. His mother, Henrietta Pressburg, came from a wealthy Dutch family involved in commerce. 

Marx's family was Jewish, but his father converted to Protestantism in 1816 due to anti-Jewish laws enforced by the Prussian state. This conversion allowed him to continue his law practice and maintain his social standing. 

Marx received a high-quality education. He was home-schooled until the age of 12 and then attended the Trier Gymnasium. His early education, along with his family's financial stability, suggests a middle-class upbringing.","1. ""Karl Marx: A Nineteenth-Century Life"" by Jonathan Sperber.
2. ""Karl Marx: His Life and Environment"" by Isaiah Berlin.
3. ""Karl Marx: A Life"" by Francis Wheen."
6,Q1512,Robert Louis Stevenson,Q1512,1850,United Kingdom,Middle Class,"Robert Louis Stevenson was born on November 13, 1850, in Edinburgh, Scotland. His father, Thomas Stevenson, was a prosperous civil engineer, and his mother, Margaret Isabella Balfour, came from a family of lawyers and church ministers. The Stevenson family was well-established in the field of lighthouse design and construction, which was a respected and well-paid profession during the 19th century. This would place them firmly within the middle class, as they were skilled professionals but not part of the aristocracy or ruling class.

Stevenson's family wealth allowed him access to education. He was initially educated at home by private tutors due to his poor health, and later attended Edinburgh Academy and the University of Edinburgh. His family's wealth and social standing would have made this level of education possible.

The family lived in a comfortable home in Heriot Row, a prestigious address in Edinburgh's New Town. This suggests that they were able to afford a high standard of living, further supporting their classification as middle class.

Stevenson did not inherit a title or any other form of aristocratic privilege, but he did inherit a comfortable lifestyle and access to education, which were significant advantages in the context of 19th-century Scotland.","1. ""Robert Louis Stevenson."" Encyclopædia Britannica. https://www.britannica.com/biography/Robert-Louis-Stevenson
2. ""Robert Louis Stevenson."""
7,Q41513,William Blake,Q41513,1757,United Kingdom,Middle Class,"William Blake was born on November 28, 1757, in London, England, to James Blake, a hosier, and Catherine Wright Armitage Blake. His father's occupation as a hosier, a dealer in stockings, gloves, and haberdashery, places the family in the middle class according to the social structure of the late 18th century United Kingdom. The family was not wealthy, but they were not impoverished either. They were able to afford a modest house in Broad Street, in the district of Golden Square of Soho, a respectable if not fashionable part of London. 

Blake was the third of seven children, two of whom died in infancy. The Blakes were English Dissenters, a Christian movement that developed in the late 16th and early 17th centuries and were known for their independence of thought. This religious background may have influenced the family's decision to educate William at home, rather than sending him to a conventional school. Blake's mother taught him to read and write, and his father encouraged his artistic talents by buying him casts to draw and sending him to drawing school. 

While Blake did not have access to a formal education, his family's resources and support allowed him to develop his artistic and literary skills from a young age. This suggests a level of financial stability and cultural capital that was typical of the middle class during this period.","""Blake, William."" Encyclopædia"
8,Q127332,Charlotte Brontë,Q127332,1816,United Kingdom,Middle Class,"Charlotte Brontë was born on April 21, 1816, in Thornton, West Yorkshire, England, to Maria Branwell and Patrick Brontë. Her father was an Anglican clergyman, which would place the family within the middle class of the time. Patrick Brontë was originally from Ireland and had moved to England to pursue his career in the church. The family was not wealthy, but they were not impoverished either. They lived in a parsonage in Haworth, which, while not luxurious, provided a stable home for the family. Charlotte had access to education due to her father's position. She and her sisters were sent to the Clergy Daughters' School at Cowan Bridge, which was a school for the daughters of impoverished clergyman. However, the conditions at the school were harsh and Charlotte's two older sisters, Maria and Elizabeth, died from tuberculosis contracted at the school. This tragedy led Patrick Brontë to withdraw Charlotte and her younger sister Emily from the school. After this, their education continued at home under the guidance of their father and their Aunt Elizabeth Branwell, who had moved in to help the family after the death of Maria Branwell Brontë in 1821.","""The Life of Charlotte Brontë"" by Elizabeth Gaskell, ""Charlotte Brontë: A Passionate Life"" by Lyndall Gordon, ""The Brontës: A Life in Letters"""
9,Q47152,Mary Shelley,Q47152,1797,United Kingdom,Middle Class,"Mary Shelley was born as Mary Wollstonecraft Godwin on August 30, 1797, in London, England. Her parents were both notable figures in the intellectual and political life of their time. Her mother, Mary Wollstonecraft, was a pioneering feminist writer, best known for her work ""A Vindication of the Rights of Woman"" (1792). Her father, William Godwin, was a philosopher, novelist, and journalist, who is considered one of the first exponents of utilitarianism and anarchism. 

Although her parents were intellectually prominent, they were not wealthy. They belonged to the middle class, as they were not aristocrats, but they were not subsistence level either. They were part of the intellectual and literary circles of their time, which suggests a level of social standing and access to education. 

Mary Shelley's early life was marked by the death of her mother shortly after her birth, and her father's subsequent remarriage to Mary Jane Clairmont, who brought her own two children into the family. The family lived in a house in the Polygon, Somers Town, which was a middle-class neighborhood in London.","- ""Mary Shelley"" by Miranda Seymour (2000)
- ""Romantic Outlaws: The Extraordinary Lives of Mary Wollstonecraft and Her Daughter Mary Shelley"" by Charlotte Gordon (2015)
- ""The Life and Letters of Mary Wollstonecraft"
