,individual_wikidata_id,individual_name,individual_wikidata_id,birth_year,country,classification,explanation,sources
0,Q919145,Verney Lovett Cameron,Q919145,1844,United Kingdom,Middle Class,"Verney Lovett Cameron was born to a military family in Radipole, Dorset, England. His father, Captain Henry Lovett Cameron, was a British Army officer, which suggests a middle-class background. Military officers during the 19th century in England were typically from the middle class, as they required some level of education and financial means to secure a commission. There is no evidence to suggest that his family was part of the elite aristocracy or nobility, nor were they subsistence-level laborers or peasants. The family's ability to secure a military commission and provide education for Verney indicates a certain level of financial stability and social standing, characteristic of the middle class during this period. However, specific details about their wealth, housing, and inherited privileges or disadvantages are not readily available.","""Across Africa"" by Verney Lovett Cameron, ""The Victorian Soldier in Africa"" by Edward M. Spiers."
1,Q448992,Dorothy Wordsworth,Q448992,1771,United Kingdom,Middle Class,"Dorothy Wordsworth was born on December 25, 1771, in Cockermouth, Cumberland, England. She was the third of five children in her family. Her father, John Wordsworth, was a legal representative to the 1st Earl of Lonsdale, which allowed the family to live comfortably, though they were not wealthy. This position would place them in the middle class according to the typology provided. The family lived in a large mansion in the Lake District, indicating a level of affluence. However, upon the death of her father in 1783, the family's financial situation worsened significantly, and the children were sent to live with various relatives. Despite these financial struggles, Dorothy was able to receive an education, suggesting that the family still had some resources and connections. She was sent to a school in Halifax, where she was taught by a clergyman and received a good education, a privilege not available to those in the subsistence class.","1. ""Dorothy Wordsworth."" Poetry Foundation. https://www.poetryfoundation.org/poets/dorothy-wordsworth
2. Wilson, Frances. ""The Ballad of Dorothy Wordsworth."" Farrar, Straus and Giroux, 2009."
2,Q3656063,James Basire,Q3656063,1730,United Kingdom,Middle Class,"James Basire was born into a family of engravers, a profession that would have placed them in the middle class during the late 1700s in the United Kingdom. His father, Isaac Basire (1704-1768), was an engraver of some repute, which suggests that the family had a stable income and a certain level of social standing. The fact that James Basire followed in his father's footsteps and became an engraver himself indicates that he likely had access to education and training in this craft from a young age, a privilege not typically afforded to those in the subsistence class. However, there is no evidence to suggest that the Basire family was part of the elite class, as they did not hold titles or vast wealth.","""The Dictionary of National Biography"" by Stephen Leslie, ""The Oxford Dictionary of National Biography"" by H.C.G. Matthew and Brian Harrison."
3,Q348455,Gideon Mantell,Q348455,1790,United Kingdom,Middle Class,"Gideon Mantell was born on 3 February 1790 in Lewes, Sussex, England. His father, Thomas Mantell, was a shoemaker, which was a skilled trade during this period, indicating a middle-class status. His mother, Sarah Austen, was a housewife. Mantell's family was not wealthy, but they were not impoverished either. They were able to provide him with a basic education, which was not a given for all children at the time. Mantell attended a local grammar school in Lewes, where he received a classical education. This suggests that his family had enough resources to afford his schooling, a characteristic of the middle class. His early life housing and living conditions would have been modest but comfortable, typical of a middle-class family in late 18th-century England. There is no evidence to suggest that Mantell inherited any significant privileges or disadvantages due to his family background.","""Gideon Algernon Mantell."" Encyclopedia Britannica. ""Gideon Mantell."" Oxford Dictionary of National Biography."
4,Q321691,James Halliwell-Phillipps,Q321691,1820,United Kingdom,Middle Class,"James Orchard Halliwell-Phillipps was born on June 21, 1820, in London, England. His father, Thomas Halliwell, was a prosperous stockbroker, which would place the family within the middle class according to the typology provided. The family's wealth would have provided Halliwell-Phillipps with access to education, and he was indeed educated at Jesus College, Cambridge, although he did not graduate. His mother, Charlotte Phillipps, was from a family of minor gentry, which could have provided some inherited privileges, but not to the extent of the elite class. The family likely lived in comfortable housing conditions, given their middle-class status.","""James Orchard Halliwell-Phillipps."" Encyclopædia Britannica. Encyclopædia Britannica, inc., n.d. Web. 20 Sept. 2021. ""Halliwell-Phillipps, James Orchard (HLWL837JO)."" A Cambridge Alumni Database. University of Cambridge."
5,Q355607,Francis Ysidro Edgeworth,Q355607,1845,United Kingdom,Elite,"Francis Ysidro Edgeworth was born into a family of the elite class. His father, Francis Beaufort Edgeworth, was a writer and a clergyman, and his mother, Rosa Florentina Eroles, was of Spanish origin. The Edgeworth family was a well-established Anglo-Irish gentry family, owning significant land in County Longford, Ireland. This indicates a high social standing and substantial wealth at the time of Francis Ysidro's birth and childhood. 

Francis Ysidro Edgeworth was educated at home by his father until he was nearly 13, which suggests that the family had the resources to provide private education, a privilege typically associated with the elite class. His father's occupation as a writer and clergyman also suggests a level of intellectualism in the family, which would have further contributed to Francis Ysidro's early education.

The Edgeworth family's land ownership and the father's occupation as a clergyman indicate a comfortable living condition for the family. As a member of the Anglo-Irish gentry, Francis Ysidro would have inherited certain privileges, such as social connections and opportunities for higher education.","1. Boylan, Thomas A., and T. P. Foley. ""Francis Ysidro Edgeworth (1845–1926)."" In Economists and Population, pp. 71-88. Palgrave Macmillan, London, 199"
6,Q1248337,John Denham,Q1248337,1615,United Kingdom,Elite,"John Denham was born into a family of high social standing. His father, Sir John Denham, was a Baron of the Exchequer, a high-ranking judicial position in the English legal system. This would have placed the family firmly within the elite class of the time. The Denham family was also known to have owned significant property, including a manor house in Egham, Surrey, which would have provided a comfortable living environment. Given his father's position, it is likely that John Denham would have had access to a good education, although specific details are not known.","""The History of Parliament: the House of Commons 1604-1629, ed. Andrew Thrush and John P. Ferris, 2010""; ""The Oxford Dictionary of National Biography""; ""The History of the County of Surrey: Volume 3, ed. H.E. Malden, 1911""."
7,Q337430,Henry Enfield Roscoe,Q337430,1833,United Kingdom,Middle Class,"Henry Enfield Roscoe was born on January 7, 1833, in London, England. His father, Henry Roscoe, was a well-known barrister and biographer. His mother, Maria Roscoe (née Fletcher), was also from a family of some standing. The Roscoes were not nobility, but they were certainly not subsistence-level laborers either. They were part of the educated middle class, with the father's profession as a barrister indicating a level of education and social standing above the working class. Henry Enfield Roscoe's early access to education was likely due to his family's middle-class status and not necessarily his own merit. His early life housing and living conditions would have been comfortable, typical of the middle class of that time. There is no evidence of any significant inherited privileges or disadvantages.","""Henry Enfield Roscoe."" Encyclopedia Britannica, https://www.britannica.com/biography/Henry-Enfield-Roscoe. ""Henry Roscoe (biographer)."" Wikipedia, https://en.wikipedia.org/wiki/Henry_Roscoe_(biographer)."
8,Q337475,Samuel Bourne,Q337475,1834,United Kingdom,Middle Class,"Samuel Bourne was born in 1834 in Nottingham, England. His father, also named Samuel Bourne, was a banker and his mother, Sarah, was a homemaker. The Bourne family was not part of the aristocracy, but they were comfortably middle class. Samuel's father's occupation as a banker indicates a level of financial stability and access to resources beyond those of the subsistence class. This is further supported by the fact that Samuel was educated at Nottingham High School, a fee-paying school, indicating that the family had the means to invest in their son's education. The family lived in a house in the city, which suggests they were not landowners, a characteristic often associated with the elite class in this period. Therefore, based on his family's financial stability, access to education, and living conditions, Samuel Bourne can be classified as coming from a middle-class background.","Census records from the time period, school records from Nottingham High School, and historical texts about the social structure of 19th century England."
9,Q1860320,Matthias de l'Obel,Q1860320,1538,United Kingdom,Middle Class,"Matthias de l'Obel, also known as Matthaeus Lobelius, was born in Lille, which was part of the Spanish Netherlands at the time of his birth, not the United Kingdom. His father, Pierre de l'Obel, was a pharmacist, which would have placed the family in the middle class according to the social structure of the time. The profession of a pharmacist would have required a certain level of education and skill, and would have provided a comfortable living. While there is not much information available about his mother, it is known that Matthias de l'Obel was educated in medicine at the University of Montpellier, which suggests that his family had the means to provide him with a good education. However, there is no evidence to suggest that his family was part of the elite or ruling class, nor that they were subsistence level laborers or peasants.","""Matthias de l'Obel (1538–1616): a versatile botanist"" by A. H. V. M. van der Aa (1981), ""Matthias de l'Obel"" by J. E. Dandy in Taxon, Vol. 16, No. 6 (Dec., 1967), pp. 463-468."
