,individual_wikidata_id,individual_name,individual_wikidata_id,birth_year,country,classification,explanation,sources
0,Q338153,"Constantine Phipps, 1st Marquess of Normanby",Q338153,1797,United Kingdom,Elite,"Constantine Phipps, 1st Marquess of Normanby, was born into the British aristocracy. His father was Henry Phipps, 1st Earl of Mulgrave, a prominent political figure who served as Home Secretary and Foreign Secretary. His mother was Martha Sophia Maling, daughter of a wealthy Newcastle merchant. This indicates that he was born into a family of significant wealth and social standing. 

In terms of education, it is likely that Phipps would have had access to high-quality education due to his family's status. Children of the British aristocracy during this period typically received private tutoring at home or attended prestigious schools. 

His early life housing and living conditions would have been of a high standard, befitting his family's status. As the son of an Earl, he would have grown up in grand houses or estates. 

In terms of inherited privileges, Phipps would have benefited from his family's wealth, social connections, and political influence. As the eldest son, he would have been the primary heir to his father's title and estate.","1. ""The Complete Peerage of England, Scotland, Ireland, Great Britain and the United Kingdom, Extant, Extinct or Dormant"", G.E. Cokayne; with Vicary Gibbs, H.A. Doubleday, Geoffrey H. White, Duncan Warrand and Lord Howard de Walden, editors, new ed.,"
1,Q2248582,William Rowley,Q2248582,1585,United Kingdom,,"The birth circumstances and family background of William Rowley, born around 1585, are largely unknown due to the lack of historical records from that period. Rowley was a dramatist and actor during the late Elizabethan and early Jacobean periods, but there is no concrete information about his early life, including his parents' occupations, family wealth, access to education, housing, and living conditions, or inherited privileges or disadvantages. Given the lack of information, it is not possible to classify his birth and childhood social class with reasonable confidence.","There are no known primary sources that provide information about William Rowley's early life. Secondary sources, such as ""William Rowley"" in the Dictionary of National Biography, also do not provide this information. Further research may be needed in historical archives, parish records, or other potential sources that could provide this information."
2,Q1498652,Solomon Hart,Q1498652,1806,United Kingdom,Middle Class,"Solomon Alexander Hart was born in Plymouth, Devon, England in 1806. His father, Samuel Hart, was a goldsmith and jeweler, a profession that would place the family in the middle class according to the given typology. Samuel Hart was also a scholar of Hebrew, which suggests a certain level of education within the family. Solomon Hart was the first Jewish member of the Royal Academy in London, which suggests that he had access to education, likely due to his family's middle-class status. However, there is no evidence to suggest that the family was particularly wealthy or part of the elite ruling class. Similarly, there is no evidence to suggest that they were living in subsistence conditions.","""The Jewish Encyclopedia: A Descriptive Record of the History, Religion, Literature, and Customs of the Jewish People from the Earliest Times to the Present Day, Volume 6"" by Isidore Singer, Cyrus Adler; ""The Royal Academy of Arts: A Complete Dictionary of Contributors and their work from its Foundation in 1769 to 1904"" by Algernon Graves."
3,Q3431346,Richard Zouch,Q3431346,1590,United Kingdom,Elite,"Richard Zouch was born into a family of high social standing. His father, John Zouch, was a member of the landed gentry, owning significant property in Wiltshire, England. This suggests that the family was wealthy and of high social status. Richard Zouch's access to education was also indicative of his elite status. He was educated at Oxford University, which at the time was an institution primarily accessible to those of high social standing. His early life housing and living conditions would have been comfortable, given his family's wealth and status. There is no evidence to suggest that he faced any inherited disadvantages due to his family background.","""The History of Parliament: the House of Commons 1509-1558,"" edited by S.T. Bindoff; ""Alumni Oxonienses: the Members of the University of Oxford, 1500-1714,"" edited by Joseph Foster."
4,Q437352,Alexander Monro,Q437352,1697,United Kingdom,Middle Class,"Alexander Monro was born into a family of physicians, which suggests a middle-class background. His father, John Monro, was a military surgeon who served in the British army during the War of the Grand Alliance. This profession would have provided a comfortable living, but not to the extent of the elite class. Alexander Monro's family could afford to send him to study at the University of Edinburgh, indicating they had some wealth and valued education. However, there is no evidence to suggest that they owned significant property or had any aristocratic connections. Therefore, it is reasonable to classify Alexander Monro's birth and childhood social class as middle class.","""Alexander Monro Primus (1697–1767)"" by D. E. E. P. Hamilton, published in the Journal of Medical Biography, 1997."
5,Q2404813,Theodore Martin,Q2404813,1816,United Kingdom,Middle Class,"Theodore Martin was born in Edinburgh, Scotland in 1816. His father, James Martin, was a solicitor, which was a respected profession in the middle class during the 19th century in the United Kingdom. The family's wealth at the time of Theodore's birth and childhood would have been moderate, as the income of a solicitor would have provided a comfortable lifestyle, but not to the extent of the elite class. Theodore's access to education was likely due to his family background, as his father's profession would have valued and prioritized education. There is no information available on the specific housing and living conditions of Theodore's early life, but it can be inferred from his father's profession that they were likely comfortable. There is no evidence of any inherited privileges or disadvantages.","""Theodore Martin."" Encyclopædia Britannica. https://www.britannica.com/biography/Theodore-Martin"
6,Q5580808,Henry George Bohn,Q5580808,1796,United Kingdom,Middle Class,"Henry George Bohn was born in London in 1796 to a family of German origin. His father, John Bohn, was a respectable bookseller in London, which indicates a middle-class status. The occupation of bookselling during the late 18th century in the UK was considered a skilled trade, often associated with the middle class. It is also likely that the family had access to a certain level of education, as the profession of bookselling often required literacy and a certain level of cultural knowledge. However, there is no evidence to suggest that the Bohn family was part of the elite or subsistence classes. The family's wealth, living conditions, and access to education are not well documented, but their profession suggests a middle-class lifestyle.",The Oxford Dictionary of National Biography provides a brief account of Henry George Bohn's early life and family background. Further information might be found in the archives of London's bookselling trade during the late 18th and early 19th centuries.
7,Q16931050,Anthony Cardon,Q16931050,1772,United Kingdom,Middle Class,"Anthony Cardon was born in Brussels, Belgium in 1772, but his family moved to London, England when he was about six years old. His father, Antoine Alexandre Joseph Cardon, was a painter and draftsman, which suggests that the family was part of the middle class, as this occupation required a certain level of skill and education. However, there is no evidence to suggest that the family was particularly wealthy or that they had access to significant resources. The fact that they moved to London suggests that they may have been seeking better economic opportunities, which further supports the idea that they were not part of the elite. There is no information available about Cardon's early education, but his father's occupation suggests that he may have had some access to education and training in the arts.","""Anthony Cardon (1772–1813)."" National Portrait Gallery. https://www.npg.org.uk/collections/search/person/mp07814/anthony-cardon. ""Antoine Alexandre Joseph Cardon."" Artnet. http://www.artnet.com/artists/antoine-alexandre-joseph-cardon/."
8,Q5482205,Francis Place,Q5482205,1647,United Kingdom,Middle Class,"Francis Place was born in 1647 in London, England. His father, also named Francis Place, was a successful tailor who owned his own business. This suggests that the family was part of the middle class, as they were neither impoverished laborers nor wealthy aristocrats. The fact that they owned a business indicates that they had some level of wealth and stability, but there is no evidence to suggest that they were part of the elite. Place's father was able to provide him with an education, which further supports the idea that they were part of the middle class. Place was apprenticed to a leather-breeches maker at a young age, which was a common practice for middle-class families at the time. There is no evidence to suggest that Place was born into poverty or that he had any inherited privileges.","""Francis Place and the Early History of the Westminster Political World,"" by Paul Seaward; ""The Autobiography of Francis Place (1771-1854),"" edited by Mary Thale."
9,Q712167,Augustus Toplady,Q712167,1740,United Kingdom,Middle Class,"Augustus Toplady was born in Farnham, Surrey, England in 1740. His father, Richard Toplady, was a major in the British army, which suggests a middle-class background. His father died in the Battle of Cartagena when Augustus was still an infant, leaving him to be raised by his mother, Catherine. Catherine was a woman of strong religious convictions, and she ensured that Augustus received a good education. He attended Westminster School, a prestigious institution, which indicates that the family had sufficient means to afford such an education. However, there is no evidence to suggest that the Toplady family was part of the elite or nobility. They were not landowners or part of the ruling class, and their wealth seems to have been moderate, not excessive.","1. Julian, John. ""Augustus Montague Toplady."" Dictionary of Hymnology (1907).
2. ""Augustus Toplady."" The Cyber Hymnal. 
3. ""Augustus Toplady."" Westminster School's Website."
