,individual_wikidata_id,individual_name,individual_wikidata_id.1,birth_year,country,classification,explanation,sources
0,Q141037,Edward Burnett Tylor,Q141037,1832,United Kingdom,Middle Class,"Edward Burnett Tylor was born on October 2, 1832, in Camberwell, London, England. His parents were Joseph Tylor and Harriet Skipper, part of the Quaker community. His father, Joseph Tylor, was a brass founder and a successful businessman, which indicates a middle-class background. The Tylor family was well-off, but not part of the aristocracy or ruling class. Edward had access to education due to his family's financial stability. He attended a Quaker school in Grove House, Tottenham, but had to leave at the age of 16 due to health issues. His family's wealth and status would have provided him with a comfortable early life and living conditions. However, as Quakers, they would have been somewhat separate from the mainstream society of the time, which may have limited certain privileges.","1. Stocking, George W. ""Edward Burnett Tylor."" In International Encyclopedia of the Social Sciences, edited by David L. Sills, 16:177–80. New York: Macmillan and Free Press, 1968.
2. Kuklick, Henrika. ""The Savage Within: The Social History of British Anthropology, 1885-1945."" Cambridge: Cambridge University Press, 1991."
1,Q528802,Henry More,Q528802,1614,United Kingdom,Middle Class,"Henry More was born in Grantham, Lincolnshire, England, in 1614 to Alexander More, a respected local gentleman, and his wife, Anne. His father was a successful businessman who had made a comfortable living, which allowed the family to live in a large house and employ several servants. This suggests that the More family was part of the middle class, as they were not nobility but had more wealth and status than the average laborer or peasant. Henry More was also able to receive a good education due to his family's wealth and status. He was educated at Eton College and then at Christ's College, Cambridge, which were both prestigious institutions that would have been inaccessible to those of lower social classes. However, it should be noted that More's family was not part of the elite ruling class or nobility, as they did not hold any titles or significant political power.","1. ""Henry More (1614–1687)"" by Sarah Hutton, Stanford Encyclopedia of Philosophy, 2004.
2. ""Henry More: Magic, Religion and Experiment"" by A. Rupert Hall, The British Journal for the History of Science, 1990.
3. ""The Life of Henry More: Parts 1 and 2"" by Richard Ward, Cambridge University Press, 1710."
2,Q741900,Giuseppe Marc'Antonio Baretti,Q741900,1719,United Kingdom,Middle Class,"Giuseppe Marc'Antonio Baretti was born in Turin, Italy, not the United Kingdom, around 1719. His father was a lawyer, which would have placed the family in the middle class according to the social structure of the time. The profession of law required a certain level of education and was a respected occupation, indicative of a middle-class status. Baretti himself was educated, suggesting that his family had the means to provide him with schooling, another sign of middle-class status. However, there is no evidence to suggest that his family was particularly wealthy or that they belonged to the aristocracy.","""Baretti, Giuseppe Marc'Antonio."" Encyclopedia Britannica. https://www.britannica.com/biography/Giuseppe-Marcantonio-Baretti"
3,Q201164,William Sterndale Bennett,Q201164,1816,United Kingdom,Middle Class,"William Sterndale Bennett was born on 13 April 1816 in Sheffield, England. His father, Robert Bennett, was a respected musician, organist, and conductor, which suggests a middle-class background. His mother, Elizabeth, died in 1818 when William was only two years old, and his father died in 1819, leaving William an orphan. After his parents' death, he was raised by his paternal grandfather, John Bennett, who was a vicar in Cambridge, further supporting the middle-class classification. Despite his family's limited wealth, Bennett had access to education due to his family background. His grandfather ensured he received a good education, and he was admitted to the Royal Academy of Music in London at the age of ten, not because of his merit, but because of his family's musical background. His early life housing and living conditions were likely modest but comfortable, typical of the middle class of the time.","""William Sterndale Bennett: A Descriptive Thematic Catalogue"" by Robert J. Bruce, ""The Life of William Sterndale Bennett"" by J.R. Sterndale Bennett, ""Music & Letters"" by Oxford University Press."
4,Q1234977,Henry Hallam,Q1234977,1777,United Kingdom,Middle Class,"Henry Hallam was born in 1777 in Windsor, England. His father, John Hallam, was a canon of Windsor, which suggests a professional occupation associated with the middle class during this period. The family's wealth is not well-documented, but the position of a canon would have provided a stable, if not extravagant, income. This is further supported by the fact that Henry Hallam was able to attend Eton College and Christ Church, Oxford, indicating that his family had the financial means to afford such education. However, it should be noted that this does not necessarily imply wealth, as scholarships and other forms of financial aid may have been available. The family's housing and living conditions are not well-documented, but as a canon, John Hallam would have likely had a residence provided by the church. There is no evidence of any inherited privileges or disadvantages.","- ""Henry Hallam."" Encyclopedia Britannica. https://www.britannica.com/biography/Henry-Hallam
- ""Hallam, Henry (1777–1859), historian."" Oxford Dictionary of National Biography. https://www.oxforddnb.com/view/10.1093/ref:odnb/9780198614128.001.0001/odnb-9780198614128-e-11968"
5,Q381039,John Wilkins,Q381039,1614,United Kingdom,Middle Class,"John Wilkins was born in 1614 in Fawsley, Northamptonshire, England. His father, Walter Wilkins, was a goldsmith, which was a skilled craft occupation that would place the family in the middle class. His mother, Jane Dod, was from a family of minor gentry, which also suggests a middle-class background. The fact that Wilkins was able to attend Oxford University suggests that his family had enough wealth to afford his education, as university education in the 17th century was typically reserved for the upper and middle classes. However, there is no evidence to suggest that the Wilkins family was part of the elite or ruling class, as they did not hold titles of nobility or significant political power.","""John Wilkins 1614–1672: An Intellectual Biography"" by Barbara Shapiro; ""The Life and Times of John Wilkins"" by P.A. Wright Henderson."
6,Q247473,Charles Reade,Q247473,1814,United Kingdom,Middle Class,"Charles Reade was born on June 8, 1814, in Ipsden, Oxfordshire, England. His father, John Reade, was a squire, a position that typically denotes a member of the middle class who is a landowner but not of the nobility. His mother, Anna Maria Scott-Waring, was the daughter of a clergyman, another profession typically associated with the middle class. The family's wealth was moderate, allowing Charles to receive a good education. He attended the prestigious Magdalen College, Oxford, which suggests that his family had the means to support his education. However, this does not necessarily indicate elite status, as many middle-class families prioritized education and could afford to send their children to university. His early life housing and living conditions were likely comfortable but not luxurious, consistent with a middle-class upbringing. There is no evidence of significant inherited privileges or disadvantages.","""Charles Reade"", Oxford Dictionary of National Biography; ""Charles Reade"", Encyclopædia Britannica; ""Charles Reade"", The Victorian Web."
7,Q1149445,"Francis Egerton, 1st Earl of Ellesmere",Q1149445,1800,United Kingdom,Elite,"Francis Egerton, 1st Earl of Ellesmere, was born into the British nobility, a segment of society that was considered the elite during the 1800s. His father was George Leveson-Gower, 1st Duke of Sutherland, one of the wealthiest landowners in the United Kingdom. His mother, Elizabeth Gordon, was the 19th Countess of Sutherland and a Scottish peeress in her own right. This indicates that Francis was born into a family of significant wealth and high social standing. 

Francis's access to education was also a result of his family background. He was educated at Eton College and Christ Church, Oxford, two of the most prestigious educational institutions in the country, which were typically reserved for the children of the elite during this period. 

His early life housing and living conditions would have been of a high standard, given his family's wealth and status. He would have grown up in grand houses or estates, with numerous servants and all the comforts of the time. 

Francis inherited the title of Viscount Brackley and the Earldom of Ellesmere when his father died, further cementing his elite status. These titles came with significant privileges, including political influence and wealth.","1. ""The Peerage: A genealogical survey of the peerage of Britain as well as the royal families of Europe"". Thepeerage.com. Darryl L"
8,Q716197,Coventry Patmore,Q716197,1823,United Kingdom,Middle Class,"Coventry Patmore was born on July 23, 1823, in Woodford, Essex, England. His father, Peter George Patmore, was a writer and literary critic, which suggests a middle-class background. Peter George Patmore was an associate of many literary figures of the time, indicating a certain level of social standing and intellectual environment. Coventry's mother, Eliza Robertson, was the daughter of a wealthy Scottish merchant, which further supports the middle-class classification. Coventry Patmore was educated at home by his father, suggesting that the family had enough resources to provide for his education without him needing to work. The family's ability to provide a home education also suggests a certain level of wealth and social standing. However, there is no evidence to suggest that the Patmore family was part of the elite or ruling class.","""Coventry Patmore."" Encyclopedia Britannica, https://www.britannica.com/biography/Coventry-Patmore. ""Coventry Patmore."" Poetry Foundation, https://www.poetryfoundation.org/poets/coventry-patmore."
9,Q1642740,John Galt,Q1642740,1779,United Kingdom,,"John Galt, born around 1779, is a character from Ayn Rand's novel ""Atlas Shrugged"" and not a historical figure. Therefore, there are no historical records or primary sources that can provide information about his birth circumstances, family background, or social class origins. Any information about this character would be a product of fiction and not suitable for historical analysis.",
