,individual_wikidata_id
0,Q5554937
1,Q67179664
2,Q3035055
3,Q94931801
4,Q1635277
5,Q84082809
6,Q64489
7,Q1289866
8,Q1932476
9,Q4673703
10,Q7357448
11,Q556735
12,Q22661797
13,Q6845692
14,Q1685927
15,Q99426356
16,Q105349653
17,Q18576074
18,Q95098120
19,Q711188
20,Q5943225
21,Q2847510
22,Q63485375
23,Q19968982
24,Q19974290
25,Q1285917
26,Q18812188
27,Q2555566
28,Q96413122
29,Q18534782
30,Q4898814
31,Q20687324
32,Q2894300
33,Q22129131
34,Q47478296
35,Q1928863
36,Q1364729
37,Q41309270
38,Q2144813
39,Q16066399
40,Q1161576
41,Q20732845
42,Q56007139
43,Q6033612
44,Q1383454
45,Q1416033
46,Q21645695
47,Q106516866
48,Q95218733
49,Q6791659
50,Q1658754
51,Q53220601
52,Q3425464
53,Q7192756
54,Q5969439
55,Q321275
56,Q20984815
57,Q1106798
58,Q12318750
59,Q2834121
60,Q5563916
61,Q17341330
62,Q21852922
63,Q77683971
64,Q107539442
65,Q94924298
66,Q5134873
67,Q94851983
68,Q534163
69,Q7933857
70,Q3115893
71,Q13054120
72,Q16854414
73,Q94938978
74,Q4497665
75,Q96472842
76,Q23869653
77,Q15820693
78,Q114132
79,Q723286
80,Q58234372
81,Q110601626
82,Q1949189
83,Q66792102
84,Q21748983
85,Q61712
86,Q3261607
87,Q11866617
88,Q19194772
89,Q94870293
90,Q3262053
91,Q3568970
92,Q96581743
93,Q5613574
94,Q16853568
95,Q2086909
96,Q567065
97,Q56257625
98,Q464300
99,Q1411198
100,Q680690
101,Q55226053
102,Q73405915
103,Q467427
104,Q6290671
105,Q62020457
106,Q3809465
107,Q88927
108,Q4492596
109,Q312311
110,Q6938731
111,Q15445079
112,Q5346699
113,Q22912248
114,Q55227251
115,Q32187545
116,Q52155310
117,Q8962650
118,Q1695799
119,Q18822249
120,Q94935757
121,Q72003
122,Q94939085
123,Q585520
124,Q2541552
125,Q367970
126,Q16557201
127,Q2110471
128,Q12343099
129,Q94622189
130,Q106291293
131,Q21091457
132,Q1447782
133,Q2958844
134,Q770417
135,Q32923384
136,Q46704872
137,Q3130476
138,Q3339939
139,Q3805935
140,Q44205
141,Q63484
142,Q272912
143,Q538840
144,Q466951
145,Q69384201
146,Q1089033
147,Q463521
148,Q338153
149,Q3340083
150,Q55837356
151,Q317736
152,Q18945293
153,Q3354061
154,Q19630429
155,Q49898033
156,Q52114737
157,Q7759843
158,Q1126790
159,Q1081238
160,Q5340385
161,Q434171
162,Q909053
163,Q21557616
164,Q94074096
165,Q24087795
166,Q96187
167,Q1048037
168,Q58271883
169,Q1896914
170,Q94857498
171,Q1358518
172,Q57751059
173,Q1152279
174,Q74965
175,Q3299630
176,Q21463648
177,Q3382717
178,Q15970216
179,Q4776852
180,Q1506016
181,Q1948061
182,Q15679359
183,Q3394876
184,Q3655695
185,Q123563
186,Q55681113
187,Q21482267
188,Q25907348
189,Q84265014
190,Q214837
191,Q110017420
192,Q110038997
193,Q94891637
194,Q2460005
195,Q3385104
196,Q572397
197,Q578218
198,Q51208101
199,Q1378357
200,Q24936027
201,Q3171333
202,Q24255760
203,Q101957
204,Q285933
205,Q55837246
206,Q1004628
207,Q15856667
208,Q2871429
209,Q3357627
210,Q19964422
211,Q7349208
212,Q3509115
213,Q5493014
214,Q1646853
215,Q6225003
216,Q5546084
217,Q3309386
218,Q495720
219,Q971643
220,Q18024348
221,Q1714558
222,Q33105521
223,Q3130267
224,Q383413
225,Q94841405
226,Q5949037
227,Q1911545
228,Q577658
229,Q55137853
230,Q1930932
231,Q16065050
232,Q1677435
233,Q5537270
234,Q833358
235,Q7103111
236,Q15969934
237,Q2960442
238,Q23000544
239,Q11927963
240,Q84554959
241,Q1677537
242,Q3292742
243,Q18508501
244,Q55911450
245,Q3766106
246,Q322721
247,Q21543241
248,Q1380214
249,Q113046538
250,Q16738716
251,Q28017208
252,Q59489682
253,Q4681745
254,Q19997749
255,Q314299
256,Q60837091
257,Q66324
258,Q6170349
259,Q1775298
260,Q110215085
261,Q12328170
262,Q25500754
263,Q1470498
264,Q705014
265,Q56024683
266,Q2255276
267,Q3762786
268,Q12263160
269,Q94806615
270,Q10557609
271,Q1151313
272,Q42392945
273,Q8963940
274,Q1451213
275,Q21549968
276,Q94757696
277,Q19772350
278,Q11893509
279,Q7788452
280,Q951355
281,Q21460353
282,Q5382897
283,Q107485
284,Q4224659
285,Q24737420
286,Q2848688
287,Q64785306
288,Q3605717
289,Q2425465
290,Q17423417
291,Q1701536
292,Q63242504
293,Q3068974
294,Q693751
295,Q18530849
296,Q322331
297,Q3770004
298,Q1008732
299,Q6161373
300,Q5670402
301,Q1308096
302,Q2583622
303,Q11867303
304,Q21465919
305,Q6143853
306,Q110775
307,Q46131200
308,Q381822
309,Q1505239
310,Q15253976
311,Q26593901
312,Q1902465
313,Q18608151
314,Q105045802
315,Q18814895
316,Q98642556
317,Q55389250
318,Q2854295
319,Q22302378
320,Q18602855
321,Q21004011
322,Q5544426
323,Q95633721
324,Q12878063
325,Q11714743
326,Q21464777
327,Q28944426
328,Q61052476
329,Q44486869
330,Q2575086
331,Q46995589
332,Q729041
333,Q55673483
334,Q21460464
335,Q18945738
336,Q24256743
337,Q56401855
338,Q704792
339,Q1093767
340,Q16616204
341,Q1693120
342,Q4894015
343,Q55674854
344,Q1393426
345,Q7498705
346,Q23621902
347,Q84470568
348,Q106194896
349,Q21622112
350,Q12796525
351,Q342969
352,Q3693683
353,Q24706498
354,Q55680623
355,Q458992
356,Q334095
357,Q1459497
358,Q41702159
359,Q47674
360,Q18671297
361,Q55673996
362,Q94847590
363,Q60486823
364,Q45689672
365,Q1344544
366,Q16062255
367,Q21345584
368,Q555720
369,Q41337063
370,Q456235
371,Q20733516
372,Q110175697
373,Q3701752
374,Q22248318
375,Q3272122
376,Q97570666
377,Q57655714
378,Q106799957
379,Q1240797
380,Q644162
381,Q110081665
382,Q110078
383,Q876710
384,Q3229812
385,Q5630697
386,Q28791864
387,Q94900675
388,Q4156253
389,Q84560975
390,Q15796085
391,Q29561704
392,Q26769078
393,Q44950437
394,Q12312539
395,Q18671918
396,Q23062166
397,Q18672768
398,Q877340
399,Q4207206
400,Q46368689
401,Q6185835
402,Q488539
403,Q19803169
404,Q3185578
405,Q58868
406,Q3631231
407,Q41277988
408,Q1543513
409,Q12301572
410,Q3093724
411,Q3084141
412,Q22482104
413,Q8201381
414,Q3188854
415,Q3158328
416,Q5749932
417,Q2355082
418,Q213687
419,Q318217
420,Q5629913
421,Q21079561
422,Q3844794
423,Q94530620
424,Q18197609
425,Q5345615
426,Q13375233
427,Q324696
428,Q1693240
429,Q2154670
430,Q33314886
431,Q18020491
432,Q21208393
433,Q20748770
434,Q86432
435,Q6218682
436,Q3093580
437,Q13107330
438,Q63829
439,Q88765298
440,Q5331737
441,Q1474136
442,Q56007440
443,Q1495269
444,Q18160938
445,Q1462125
446,Q2871554
447,Q11730843
448,Q357575
449,Q17986179
450,Q495190
451,Q15446310
452,Q4190209
453,Q603725
454,Q95396674
455,Q5077278
456,Q6694
457,Q16228831
458,Q2719051
459,Q3904046
460,Q716824
461,Q1528073
462,Q2721092
463,Q22351184
464,Q15633021
465,Q193673
466,Q1679134
467,Q547592
468,Q24640015
469,Q21453621
470,Q5345320
471,Q105711933
472,Q1123837
473,Q3176796
474,Q793598
475,Q61477573
476,Q123225
477,Q94825416
478,Q3052607
479,Q1704323
480,Q14945684
481,Q957583
482,Q8017318
483,Q1874417
484,Q2374092
485,Q66760549
486,Q1294353
487,Q60429141
488,Q2964993
489,Q3382831
490,Q1245518
491,Q768044
492,Q5487384
493,Q23928405
494,Q11449584
495,Q27229228
496,Q1696786
497,Q2416356
498,Q102076190
499,Q5345386
500,Q98640247
501,Q175001
502,Q3938084
503,Q3089965
504,Q1459104
505,Q65797508
506,Q1247713
507,Q5978482
508,Q55847535
509,Q694513
510,Q4719870
511,Q110081838
512,Q642519
513,Q5543660
514,Q15927765
515,Q1346007
516,Q94888572
517,Q1565969
518,Q11852255
519,Q10921064
520,Q503402
521,Q1159884
522,Q1698222
523,Q56706545
524,Q18342832
525,Q94924478
526,Q12022884
527,Q98768285
528,Q906845
529,Q1556205
530,Q3430500
531,Q2842379
532,Q896098
533,Q5930356
534,Q93250275
535,Q3856788
536,Q21460055
537,Q20101075
538,Q16946017
539,Q21545898
540,Q5597588
541,Q4756841
542,Q4799739
543,Q94983365
544,Q87649371
545,Q3756995
546,Q23062653
547,Q1441121
548,Q94936841
549,Q14915970
550,Q2934955
551,Q5394460
552,Q68091
553,Q6242070
554,Q1380522
555,Q2757322
556,Q5930259
557,Q1507231
558,Q3635430
559,Q2087675
560,Q110213501
561,Q20735489
562,Q1572814
563,Q692160
564,Q1294110
565,Q1657684
566,Q3157628
567,Q52184993
568,Q21464249
569,Q16855901
570,Q6776593
571,Q85972513
572,Q4013340
573,Q4217630
574,Q993980
575,Q99739774
576,Q2406864
577,Q768316
578,Q2905689
579,Q348875
580,Q60623644
581,Q5110389
582,Q29436324
583,Q23000812
584,Q466224
585,Q3809503
586,Q2580659
587,Q94921376
588,Q55113376
589,Q5391998
590,Q99197819
591,Q15875412
592,Q1605469
593,Q178412
594,Q55045667
595,Q1693610
596,Q27532193
597,Q21543936
598,Q3161083
599,Q1936219
600,Q2614067
601,Q60194291
602,Q27914590
603,Q902399
604,Q11968075
605,Q138531
606,Q688412
607,Q19609958
608,Q2073600
609,Q3659425
610,Q21464679
611,Q95965
612,Q1415378
613,Q336103
614,Q21772594
615,Q3750284
616,Q40120307
617,Q1063507
618,Q12022886
619,Q65961973
620,Q361757
621,Q2343530
622,Q108910
623,Q65884
624,Q12165238
625,Q709241
626,Q5987043
627,Q1714929
628,Q6122952
629,Q1321779
630,Q16065643
631,Q3086031
632,Q94507363
633,Q7421795
634,Q354832
635,Q700298
636,Q3497164
637,Q1047818
638,Q3444326
639,Q1418901
640,Q16650148
641,Q1535227
642,Q3679819
643,Q5526607
644,Q102612
645,Q18324254
646,Q7911480
647,Q55193056
648,Q680045
649,Q21288892
650,Q98137886
651,Q19958411
652,Q108131928
653,Q3579916
654,Q320042
655,Q1240239
656,Q11926211
657,Q1353064
658,Q1115113
659,Q21072183
660,Q1869230
661,Q1396046
662,Q185914
663,Q951647
664,Q599557
665,Q96349082
666,Q6001242
667,Q57090283
668,Q3172270
669,Q19997728
670,Q1392887
671,Q45625839
672,Q20398326
673,Q2517255
674,Q41266394
675,Q28468179
676,Q2060387
677,Q63985988
678,Q12296201
679,Q5998592
680,Q37133532
681,Q94527801
682,Q111684
683,Q101627942
684,Q1071025
685,Q55681616
686,Q403863
687,Q104584
688,Q37738058
689,Q47789920
690,Q247628
691,Q20733122
692,Q7146529
693,Q44708371
694,Q5403264
695,Q58193403
696,Q709816
697,Q28464250
698,Q21001165
699,Q635741
700,Q37111371
701,Q41261540
702,Q3187575
703,Q1536134
704,Q94888445
705,Q95394286
706,Q106198227
707,Q66087688
708,Q5563737
709,Q7787517
710,Q6152943
711,Q6121182
712,Q186221
713,Q3119818
714,Q21749030
715,Q2099800
716,Q3188904
717,Q594599
718,Q20645
719,Q27656158
720,Q3262520
721,Q18574858
722,Q3486604
723,Q18671362
724,Q55682516
725,Q41255105
726,Q55674069
727,Q23927722
728,Q61884614
729,Q975741
730,Q616998
731,Q19721080
732,Q3756910
733,Q364628
734,Q110175501
735,Q2172930
736,Q7497233
737,Q107094712
738,Q5710407
739,Q24483013
740,Q5932129
741,Q64521933
742,Q15433531
743,Q15428690
744,Q3374263
745,Q364252
746,Q95248479
747,Q72682
748,Q3383448
749,Q3893734
750,Q11906046
751,Q55684358
752,Q523865
753,Q94817875
754,Q2622119
755,Q2650154
756,Q94896491
757,Q106314367
758,Q61080035
759,Q2833954
760,Q41876247
761,Q71069
762,Q1963288
763,Q97126
764,Q19588488
765,Q55122503
766,Q3190558
767,Q19060090
768,Q1685968
769,Q15624399
770,Q3189540
771,Q3048195
772,Q29950700
773,Q47539371
774,Q17329181
775,Q91234512
776,Q5479176
777,Q98847952
778,Q55679515
779,Q61481173
780,Q3579948
781,Q130561
782,Q19629460
783,Q21544895
784,Q19967699
785,Q21462756
786,Q601356
787,Q75138
788,Q36869777
789,Q1986444
790,Q17486077
791,Q95984148
792,Q1449657
793,Q18238089
794,Q1874822
795,Q1947857
796,Q216226
797,Q3131561
798,Q92535
799,Q329235
800,Q29014582
801,Q1082072
802,Q1519486
803,Q15815540
804,Q28154446
805,Q4993495
806,Q19755894
807,Q4279812
808,Q29846883
809,Q348489
810,Q18628073
811,Q27179267
812,Q5588144
813,Q9201368
814,Q17631133
815,Q105748
816,Q91097
817,Q1525677
818,Q55907395
819,Q78073814
820,Q4121786
821,Q16558335
822,Q16062271
823,Q2094279
824,Q677498
825,Q1079977
826,Q17275994
827,Q5556006
828,Q4860437
829,Q524071
830,Q64624109
831,Q125057
832,Q1613253
833,Q718642
834,Q5109046
835,Q3942278
836,Q17301888
837,Q57338643
838,Q155376
839,Q61963976
840,Q3769594
841,Q5109767
842,Q42450163
843,Q105939790
844,Q94909754
845,Q737726
846,Q1692345
847,Q5925825
848,Q55765965
849,Q2613779
850,Q2893516
851,Q52155196
852,Q20204170
853,Q110175990
854,Q3399352
855,Q55134324
856,Q3328636
857,Q16557310
858,Q121856
859,Q53508505
860,Q15209896
861,Q1252634
862,Q94874018
863,Q724991
864,Q189725
865,Q6062896
866,Q107048101
867,Q763585
868,Q3161849
869,Q29545405
870,Q1133737
871,Q52154721
872,Q1372695
873,Q110745947
874,Q1041067
875,Q94574875
876,Q19750370
877,Q2639498
878,Q3161452
879,Q4493315
880,Q94894183
881,Q16189935
882,Q55677967
883,Q1598479
884,Q1597376
885,Q26714981
886,Q6759960
887,Q3121239
888,Q87695972
889,Q84498079
890,Q18761970
891,Q60684
892,Q21613714
893,Q105824550
894,Q1479482
895,Q817517
896,Q6187212
897,Q9011536
898,Q16020965
899,Q94935975
900,Q1599530
901,Q62631947
902,Q1288736
903,Q373753
904,Q2583927
905,Q1273803
906,Q1279499
907,Q1047867
908,Q19279219
909,Q5921232
910,Q764071
911,Q6225341
912,Q1242880
913,Q160196
914,Q94578258
915,Q27504344
916,Q72875
917,Q3385208
918,Q200392
919,Q2062341
920,Q31190686
921,Q15632004
922,Q51160196
923,Q1512
924,Q63450306
925,Q4014954
926,Q3260764
927,Q97137007
928,Q459229
929,Q18176269
930,Q1505835
931,Q34943
932,Q21453263
933,Q17540868
934,Q11923111
935,Q15982051
936,Q41013445
937,Q1446048
938,Q94578746
939,Q110082519
940,Q17631154
941,Q561667
942,Q3288302
943,Q47490959
944,Q875950
945,Q3170333
946,Q21461210
947,Q28630
948,Q3133158
949,Q105747186
950,Q4121784
951,Q95224671
952,Q3105903
953,Q3014582
954,Q3085848
955,Q486266
956,Q6525386
957,Q1695025
958,Q60623753
959,Q982798
960,Q1241227
961,Q20926481
962,Q9145727
963,Q55677110
964,Q21156171
965,Q71602
966,Q6292172
967,Q104764321
968,Q23824536
969,Q28548155
970,Q6762782
971,Q15969930
972,Q1131470
973,Q64685834
974,Q102162090
975,Q42529772
976,Q3723210
977,Q2958256
978,Q4355017
979,Q19935997
980,Q28132268
981,Q630413
982,Q3292271
983,Q15437301
984,Q102076001
985,Q55837192
986,Q2573072
987,Q12199859
988,Q2354446
989,Q2833405
990,Q14942429
991,Q21882772
992,Q23042204
993,Q2069221
994,Q208338
995,Q5916748
996,Q110975
997,Q41263981
998,Q228564
999,Q5650113
1000,Q3876334
1001,Q51337408
1002,Q2847074
1003,Q60024326
1004,Q60616594
1005,Q3635324
1006,Q28735454
1007,Q3164655
1008,Q2646523
1009,Q57841
1010,Q5697514
1011,Q63641871
1012,Q7192931
1013,Q41276839
1014,Q3440362
1015,Q67146
1016,Q4718549
1017,Q3340519
1018,Q1479831
1019,Q1310633
1020,Q28732929
1021,Q30231637
1022,Q25998639
1023,Q3903971
1024,Q52154732
1025,Q95332617
1026,Q201315
1027,Q55043617
1028,Q20733527
1029,Q4693127
1030,Q5103853
1031,Q17352876
1032,Q6260619
1033,Q22351217
1034,Q28062614
1035,Q95165775
1036,Q98409575
1037,Q95147822
1038,Q2059655
1039,Q5356
1040,Q12877963
1041,Q17635730
1042,Q56007043
1043,Q55903040
1044,Q10087736
1045,Q7324889
1046,Q1147782
1047,Q3159964
1048,Q3106864
1049,Q42941031
1050,Q3310693
1051,Q2734012
1052,Q24263198
1053,Q16066323
1054,Q94801854
1055,Q3218970
1056,Q7351202
1057,Q15977904
1058,Q2202858
1059,Q51144
1060,Q6105901
1061,Q28768812
1062,Q2871334
1063,Q1515096
1064,Q15994779
1065,Q1985604
1066,Q3297636
1067,Q3121183
1068,Q20031960
1069,Q2440822
1070,Q54638005
1071,Q5723944
1072,Q2501578
1073,Q1801136
1074,Q213974
1075,Q65007801
1076,Q47011903
1077,Q52154366
1078,Q5609199
1079,Q3983927
1080,Q5866489
1081,Q1704245
1082,Q5699789
1083,Q3772797
1084,Q19288548
1085,Q1712198
1086,Q3749907
1087,Q729147
1088,Q21544040
1089,Q12017625
1090,Q3370222
1091,Q3613809
1092,Q37520884
1093,Q41278624
1094,Q4850376
1095,Q11865654
1096,Q2217903
1097,Q3606645
1098,Q8020569
1099,Q47314984
1100,Q66123
1101,Q106799400
1102,Q55127093
1103,Q63859268
1104,Q96211469
1105,Q1927814
1106,Q15903781
1107,Q95136476
1108,Q14944433
1109,Q14630805
1110,Q2898582
1111,Q530425
1112,Q781910
1113,Q15445122
1114,Q7527464
1115,Q11881688
1116,Q2561764
1117,Q954589
1118,Q11576548
1119,Q6235968
1120,Q1798967
1121,Q554437
1122,Q47210
1123,Q5571319
1124,Q3742566
1125,Q3758075
1126,Q55193293
1127,Q28859840
1128,Q18378444
1129,Q9262321
1130,Q5618538
1131,Q3155333
1132,Q488374
1133,Q830795
1134,Q1458708
1135,Q98642615
1136,Q18670782
1137,Q3134154
1138,Q1504364
1139,Q1556454
1140,Q94942990
1141,Q2526809
1142,Q18576594
1143,Q3712910
1144,Q910933
1145,Q11571493
1146,Q3087785
1147,Q2918778
1148,Q94881820
1149,Q4855796
1150,Q17123014
1151,Q6231334
1152,Q3807054
1153,Q21544942
1154,Q2413971
1155,Q15440458
1156,Q55837873
1157,Q2202637
1158,Q77154
1159,Q2081067
1160,Q318385
1161,Q7351091
1162,Q89472103
1163,Q21543932
1164,Q92069065
1165,Q20830465
1166,Q68513157
1167,Q15409907
1168,Q45571548
1169,Q601964
1170,Q5460882
1171,Q602742
1172,Q105103744
1173,Q18420683
1174,Q97487860
1175,Q809417
1176,Q24251418
1177,Q1466063
1178,Q24706323
1179,Q766375
1180,Q23902887
1181,Q6548567
1182,Q18020881
1183,Q1356957
1184,Q4398876
1185,Q2538308
1186,Q27986484
1187,Q1506011
1188,Q28813418
1189,Q2050296
1190,Q3363742
1191,Q2624106
1192,Q1895825
1193,Q55681764
1194,Q1693667
1195,Q1948130
1196,Q26155293
1197,Q469059
1198,Q60311934
1199,Q94823758
1200,Q18783919
1201,Q15821309
1202,Q28733728
1203,Q64685783
1204,Q5217417
1205,Q6528997
1206,Q71103326
1207,Q326423
1208,Q1491011
1209,Q1372440
1210,Q99909
1211,Q96798
1212,Q652873
1213,Q59960772
1214,Q762389
1215,Q16059897
1216,Q765465
1217,Q3176771
1218,Q55675986
1219,Q55902354
1220,Q4019990
1221,Q19971408
1222,Q953146
1223,Q1983762
1224,Q10891683
1225,Q52155076
1226,Q6176676
1227,Q21466049
1228,Q1465450
1229,Q94942447
1230,Q3083432
1231,Q1244985
1232,Q934585
1233,Q5409645
1234,Q29365142
1235,Q102249217
1236,Q18508552
1237,Q21798214
1238,Q1695087
1239,Q3771607
1240,Q45456045
1241,Q66163
1242,Q106686675
1243,Q62701083
1244,Q94913872
1245,Q579698
1246,Q5040231
1247,Q666005
1248,Q164047
1249,Q6044728
1250,Q17631700
1251,Q3770449
1252,Q2416848
1253,Q60845024
1254,Q3902861
1255,Q1055650
1256,Q105209067
1257,Q18672356
1258,Q105840026
1259,Q1398937
1260,Q29049462
1261,Q908403
1262,Q2645561
1263,Q55899341
1264,Q6131422
1265,Q3766731
1266,Q559887
1267,Q7653146
1268,Q18945359
1269,Q505062
1270,Q3552478
1271,Q16585463
1272,Q1613217
1273,Q50305875
1274,Q3109753
1275,Q3302927
1276,Q52154628
1277,Q254524
1278,Q18917732
1279,Q53838010
1280,Q2823921
1281,Q679296
1282,Q5837086
1283,Q545807
1284,Q41833766
1285,Q26240318
1286,Q12322891
1287,Q5338520
1288,Q18674338
1289,Q34031740
1290,Q18672367
1291,Q94642379
1292,Q21463607
1293,Q65563034
1294,Q20752558
1295,Q7259
1296,Q15429439
1297,Q3921338
1298,Q192124
1299,Q3175340
1300,Q21034001
1301,Q42573449
1302,Q635972
1303,Q1731504
1304,Q15441508
1305,Q110109118
1306,Q22774156
1307,Q56255767
1308,Q56006563
1309,Q1265470
1310,Q53501972
1311,Q3524926
1312,Q85423
1313,Q28416510
1314,Q3475906
1315,Q7149245
1316,Q1229061
1317,Q10268129
1318,Q1835440
1319,Q47035251
1320,Q45369541
1321,Q517088
1322,Q12026693
1323,Q21545054
1324,Q11716477
1325,Q20246879
1326,Q27093127
1327,Q51844445
1328,Q5538265
1329,Q2958904
1330,Q41540877
1331,Q20732683
1332,Q21289136
1333,Q960766
1334,Q21463706
1335,Q5488272
1336,Q84519617
1337,Q1706961
1338,Q21458656
1339,Q110175809
1340,Q52148391
1341,Q52154107
1342,Q19224356
1343,Q103087766
1344,Q368546
1345,Q14541055
1346,Q11727650
1347,Q1671905
1348,Q14538467
1349,Q64512551
1350,Q3770222
1351,Q58798090
1352,Q72557348
1353,Q55900287
