region_name,chao1,jackknife,ichao1,f1,f2,n,total_chao,total_jackknife,S_obs,detection_ratio_chao,detection_ratio_jackknife,generalized_chao_f0,generalized_chao_max_f0,generalized_chao_min_f0,generalized_chao_f1,generalized_chao_f2,generalized_chao_count,generalized_chao_total,generalized_chao_detection_ratio,generalized_vs_standard_chao_ratio,generalized_chao_vs_jackknife_ratio
Arabic world,12193,2262,12193,1120,80,1280,13393,3462,1200,0.08959904427686105,0.3466204506065858,9.136834394312856,104.53454708243582,1.0708917875881507,1122,80,331,1211.136834394313,0.992443506694683,0.0007493508073741374,0.004039272499696223
Central Europe,454703,16377,454703,8293,205,8703,463201,24875,8498,0.018346247093594358,0.3416281407035176,39.42618802068849,175.59684315645347,4.166659823602308,8295,205,1008,8539.426188020689,0.995381958549052,8.670756080493969e-05,0.0024074121036019107
Chinese world,16783,2842,16783,1376,124,1624,18283,4342,1500,0.08204342832139146,0.34546292031321973,7.076392440041472,72.5062970748083,0.3233164604562646,1380,124,535,1511.0763924400414,0.9953045562417813,0.0004216404957422077,0.002489934004236971
East Slavic,147389,7588,147389,3795,122,4039,151306,11505,3917,0.02588793570644918,0.3404606692742286,26.15116523865065,140.40199322528804,2.953521449325577,3797,122,568,3945.1511652386507,0.9933679526493456,0.00017742955877745727,0.0034463844542238597
France,271489,34314,271489,16710,1121,18952,289320,52145,17831,0.06163072030969169,0.34195033080832293,14.85305861893487,79.5354448147573,1.241362265568949,16719,1122,4762,17855.853058618934,0.9991677025149683,5.470961482393346e-05,0.0004328571026092811
German world,1136905,57490,1136905,28370,957,30284,1166232,86817,29327,0.025146797549715664,0.3378025041178571,31.797947162536317,149.66165459444966,1.8199875528395253,28382,957,4054,29370.797947162537,0.9989169193091705,2.7968869133776627e-05,0.0005531039687343245
Greek World,11590,2035,11590,1040,58,1156,12688,3133,1098,0.08653846153846154,0.3504628151931056,13.193451305173827,163.0017585067566,0.0516002565045074,1045,58,294,1116.1934513051738,0.9881267737047252,0.001138347826158225,0.006483268454630873
Indian world,3234,732,3234,378,33,444,3645,1143,411,0.11275720164609053,0.35958005249343833,8.411068474350738,67.00153761113651,1.0302060871397467,378,34,140,420.4110684743507,0.9799455257465026,0.002600825131215442,0.011490530702664942
Italy,632629,27743,632629,13661,554,14769,646844,41958,14215,0.02197593237318426,0.33879117212450544,29.000449198410394,137.47722980693803,1.3507391133359623,13671,554,2457,14254.000449198411,0.9979640235689516,4.584116314365986e-05,0.001045324917940035
Japan,10524,1766,10524,886,63,1012,11473,2715,949,0.08271594177634446,0.34953959484346225,8.943527154809816,116.83555939429468,1.1762989703789848,886,63,266,957.9435271548098,0.9906638263099152,0.0008498220405558549,0.005064284912123338
