,region_name,decade,n_new_cultural_producers,score,pop (millions),n_new_cultural_producers_per_million_hab
0,Arabic world,40,11.9,2,1.8811,6.326085800861199
1,Arabic world,50,5.9,1,1.8865,3.1274847601378215
2,Arabic world,60,34.4,1,1.8919000000000001,18.1827792166605
3,Arabic world,70,5.8,1,1.8973,3.056975702313814
4,Arabic world,80,11.4,2,1.9027,5.9914857833604875
5,Arabic world,100,16.7,3,1.9135,8.727462764567546
6,Arabic world,140,46.5,9,1.9350999999999998,24.029765903570876
7,Arabic world,170,4.8,1,1.9514,2.459772471046428
8,Arabic world,200,18.1,4,1.9676,9.199024191908926
9,Arabic world,210,4.4,1,1.973,2.230106436898125
10,Arabic world,220,4.3,1,1.9784000000000002,2.173473513950667
11,Arabic world,240,29.0,7,1.9892,14.578725115624371
12,Arabic world,250,4.1,1,1.9946,2.05554998495939
13,Arabic world,280,19.2,5,2.0108,9.548438432464689
14,Arabic world,290,3.8,1,2.0162,1.8847336573752602
15,Arabic world,300,3.7,1,2.0216,1.8302334784329246
16,Arabic world,320,3.6,1,2.0324,1.771304861247786
17,Arabic world,340,14.2,4,2.0432,6.949882537196554
18,Arabic world,350,3.5,1,2.0486,1.7084838426242313
19,Arabic world,370,3.5,1,2.0595,1.6994416120417577
20,Arabic world,380,26.2,3,2.0649,12.688265775582352
21,Arabic world,400,21.1,6,2.0757,10.165245459363108
22,Arabic world,420,3.6,1,2.0865,1.7253774263120059
23,Arabic world,440,22.2,6,2.0973,10.585037905878986
24,Arabic world,450,3.8,1,2.1027,1.8072002663242497
25,Arabic world,470,3.9,1,2.1135,1.8452803406671396
26,Arabic world,480,20.2,5,2.1189,9.53324838359526
27,Arabic world,500,8.5,2,2.1296999999999997,3.991172465605485
28,Arabic world,540,19.2,4,2.1514,8.92442130705587
29,Arabic world,560,10.2,2,2.1622,4.717417445194709
30,Arabic world,580,10.9,2,2.173,5.016106764841234
31,Arabic world,600,17.4,3,2.1838,7.96776261562414
32,Arabic world,610,12.0,2,2.1892,5.481454412570802
33,Arabic world,620,67.2,6,2.1946,30.620614234940312
34,Arabic world,630,75.4,7,2.2,34.27272727272727
35,Arabic world,640,38.9,6,2.2054,17.63852362383241
36,Arabic world,650,6.6,1,2.2108000000000003,2.9853446716120855
37,Arabic world,660,27.2,4,2.2161999999999997,12.273260536052703
38,Arabic world,680,56.4,8,2.227,25.325550067355188
39,Arabic world,690,21.5,3,2.2324,9.630890521411933
40,Arabic world,700,42.2,5,2.2378,18.85780677451068
41,Arabic world,710,21.9,3,2.2432,9.76283880171184
42,Arabic world,720,36.8,5,2.2485999999999997,16.365738681846484
43,Arabic world,730,29.6,4,2.2540999999999998,13.13162681336232
44,Arabic world,740,125.9,17,2.2595,55.72029210002213
45,Arabic world,750,7.4,1,2.2649,3.2672524173252686
46,Arabic world,760,81.3,6,2.2703,35.810245342025276
47,Arabic world,770,14.7,2,2.2756999999999996,6.459550907413105
48,Arabic world,780,87.5,12,2.2811,38.35868659857087
49,Arabic world,790,43.4,6,2.2865,18.980975289744148
50,Arabic world,800,100.2,9,2.2919,43.7191849557136
51,Arabic world,810,56.6,8,2.2973000000000003,24.6376180733905
52,Arabic world,820,34.9,5,2.3026999999999997,15.15612107525948
53,Arabic world,830,75.6,6,2.3081,32.75421342229539
54,Arabic world,840,115.2,12,2.3135,49.79468338015993
55,Arabic world,850,40.1,6,2.3189,17.29268187502695
56,Arabic world,860,39.4,6,2.3243,16.951340188443833
57,Arabic world,870,58.1,9,2.3297,24.93883332617934
58,Arabic world,880,50.8,8,2.3350999999999997,21.754956961157983
59,Arabic world,890,25.0,4,2.3405,10.681478316599017
60,Arabic world,900,18.4,3,2.3459,7.8434715887292725
61,Arabic world,910,6.0,1,2.3514,2.551671344730799
62,Arabic world,920,35.6,6,2.3568000000000002,15.105227427019686
63,Arabic world,930,29.2,5,2.3621999999999996,12.361358056049447
64,Arabic world,940,80.4,14,2.3676,33.95843892549418
65,Arabic world,950,22.6,4,2.373,9.523809523809524
66,Arabic world,960,11.2,2,2.3784,4.709048099562731
67,Arabic world,970,22.0,4,2.3838000000000004,9.228962161255138
68,Arabic world,980,107.8,19,2.3891999999999998,45.11970534069982
69,Arabic world,990,16.2,3,2.3946,6.765221748935104
70,Arabic world,1000,16.0,3,2.3975,6.673618352450469
71,Arabic world,1010,37.2,7,2.3872,15.583109919571047
72,Arabic world,1020,58.2,11,2.3744,24.51145552560647
73,Arabic world,1030,15.8,3,2.3615999999999997,6.690379403794039
74,Arabic world,1040,68.4,13,2.3488,29.12125340599455
75,Arabic world,1050,26.3,5,2.336,11.258561643835618
76,Arabic world,1060,36.9,7,2.3232,15.883264462809917
77,Arabic world,1070,21.2,4,2.3104,9.17590027700831
78,Arabic world,1080,42.5,8,2.2976,18.497562674094706
79,Arabic world,1090,32.1,6,2.2848,14.04936974789916
80,Arabic world,1100,37.7,7,2.272,16.59330985915493
81,Arabic world,1110,97.0,13,2.2592,42.935552407932015
82,Arabic world,1120,32.9,6,2.2464,14.64565527065527
83,Arabic world,1130,27.7,5,2.2336,12.401504297994268
84,Arabic world,1140,105.6,18,2.2208,47.550432276657055
85,Arabic world,1150,62.6,11,2.208,28.351449275362317
86,Arabic world,1160,75.0,13,2.1952,34.16545189504374
87,Arabic world,1170,58.6,10,2.1824,26.85117302052786
88,Arabic world,1180,95.3,16,2.1696,43.92514749262537
89,Arabic world,1190,72.2,7,2.1568,33.475519287833826
90,Arabic world,1200,123.4,20,2.144,57.55597014925373
91,Arabic world,1210,75.1,7,2.1311999999999998,35.23836336336336
92,Arabic world,1220,121.8,19,2.1184000000000003,57.496223564954676
93,Arabic world,1230,124.0,14,2.1056,58.890577507598785
94,Arabic world,1240,140.2,21,2.0928,66.99159021406727
95,Arabic world,1250,122.7,13,2.08,58.99038461538461
96,Arabic world,1260,90.7,13,2.0671999999999997,43.87577399380806
97,Arabic world,1270,42.8,6,2.0544000000000002,20.83333333333333
98,Arabic world,1280,80.7,11,2.0416,39.52782131661442
99,Arabic world,1290,14.9,2,2.0288,7.344242902208202
100,Arabic world,1300,49.0,7,2.016,24.305555555555557
101,Arabic world,1310,23.5,3,2.0032,11.731230031948881
102,Arabic world,1320,117.8,13,1.9904000000000002,59.18408360128617
103,Arabic world,1330,49.4,6,1.9775999999999998,24.97977346278317
104,Arabic world,1340,101.3,12,1.9647999999999999,51.55741042345277
105,Arabic world,1350,34.6,4,1.952,17.725409836065573
106,Arabic world,1360,44.4,5,1.9392,22.896039603960396
