,measure,OLS Without FE,MixedLM With FE,Variable,MixedLM With FE & Pop
0,Coef,0.28,0.21,Gender_equality_num,0.17
1,Coef_CI,"(0.12, 0.45)","(-0.06, 0.48)",Gender_equality_num,"(-0.13, 0.47)"
2,Coef_SE,0.08,0.14,Gender_equality_num,0.15
3,Coef_p-value,0.001,0.131,Gender_equality_num,0.258
4,Coef_t-value,3.46,1.51,Gender_equality_num,1.13
5,Correlation,0.37,0.16,Gender_equality_num,0.16
6,Intercept,0.22,0.14,Gender_equality_num,0.13
7,Intercept_CI,"(0.08, 0.37)","(-0.19, 0.48)",Gender_equality_num,"(-0.23, 0.49)"
8,Intercept_SE,0.07,0.17,Gender_equality_num,0.18
9,Intercept_t-value,3.04,0.83,Gender_equality_num,0.71
10,Log-Likelihood,-75.19,-61.58,Gender_equality_num,-62.25
11,N,78,78,Gender_equality_num,78
12,R-squared,0.14,,Gender_equality_num,
13,Coef,0.26,0.04,height,0.11
14,Coef_CI,"(0.08, 0.43)","(-0.21, 0.30)",height,"(-0.17, 0.39)"
15,Coef_SE,0.09,0.13,height,0.14
16,Coef_p-value,0.004,0.749,height,0.441
17,Coef_t-value,2.94,0.32,height,0.77
18,Correlation,0.22,-0.13,height,-0.13
19,Intercept,0.06,-0.21,height,-0.18
20,Intercept_CI,"(-0.09, 0.21)","(-0.75, 0.33)",height,"(-0.68, 0.32)"
21,Intercept_SE,0.08,0.27,height,0.26
22,Intercept_t-value,0.80,-0.77,height,-0.70
23,Log-Likelihood,-234.52,-197.23,height,-197.33
24,N,168,168,height,168
25,R-squared,0.05,,height,
26,Coef,-0.21,-0.06,homicide_rate,-0.09
27,Coef_CI,"(-0.45, 0.04)","(-0.19, 0.07)",homicide_rate,"(-0.28, 0.10)"
28,Coef_SE,0.12,0.07,homicide_rate,0.10
29,Coef_p-value,0.093,0.391,homicide_rate,0.358
30,Coef_t-value,-1.70,-0.86,homicide_rate,-0.92
31,Correlation,-0.20,-0.38,homicide_rate,-0.38
32,Intercept,-0.15,-0.11,homicide_rate,-0.12
33,Intercept_CI,"(-0.39, 0.09)","(-0.83, 0.60)",homicide_rate,"(-0.82, 0.58)"
34,Intercept_SE,0.12,0.36,homicide_rate,0.36
35,Intercept_t-value,-1.27,-0.31,homicide_rate,-0.34
36,Log-Likelihood,-99.70,-10.52,homicide_rate,-11.26
37,N,72,72,homicide_rate,72
38,R-squared,0.04,,homicide_rate,
39,Coef,0.47,-0.35,infant_mortality,-0.23
40,Coef_CI,"(0.15, 0.79)","(-0.89, 0.19)",infant_mortality,"(-0.89, 0.43)"
41,Coef_SE,0.16,0.28,infant_mortality,0.33
42,Coef_p-value,0.005,0.199,infant_mortality,0.493
43,Coef_t-value,2.95,-1.28,infant_mortality,-0.69
44,Correlation,0.41,-0.42,infant_mortality,-0.42
