,measure,OLS Without FE,MixedLM With FE,Variable
43,Coef,0.28,0.21,Gender_equality_num
45,Coef_CI,"(0.12, 0.45)","(-0.06, 0.48)",Gender_equality_num
44,Coef_SE,0.08,0.14,Gender_equality_num
47,Coef_p-value,0.001,0.131,Gender_equality_num
46,Coef_t-value,3.46,1.51,Gender_equality_num
49,Correlation,0.37,0.16,Gender_equality_num
39,Intercept,0.22,0.14,Gender_equality_num
41,Intercept_CI,"(0.08, 0.37)","(-0.19, 0.48)",Gender_equality_num
40,Intercept_SE,0.07,0.17,Gender_equality_num
42,Intercept_t-value,3.04,0.83,Gender_equality_num
48,Log-Likelihood,-75.19,-61.58,Gender_equality_num
50,N,78,78,Gender_equality_num
51,R-squared,0.14,N/A,Gender_equality_num
30,Coef,0.26,0.04,height
32,Coef_CI,"(0.08, 0.43)","(-0.21, 0.30)",height
31,Coef_SE,0.09,0.13,height
34,Coef_p-value,0.004,0.749,height
33,Coef_t-value,2.94,0.32,height
36,Correlation,0.22,-0.13,height
26,Intercept,0.06,-0.21,height
28,Intercept_CI,"(-0.09, 0.21)","(-0.75, 0.33)",height
27,Intercept_SE,0.08,0.27,height
29,Intercept_t-value,0.80,-0.77,height
35,Log-Likelihood,-234.52,-197.23,height
37,N,168,168,height
38,R-squared,0.05,N/A,height
4,Coef,-0.21,-0.06,homicide_rate
6,Coef_CI,"(-0.45, 0.04)","(-0.19, 0.07)",homicide_rate
5,Coef_SE,0.12,0.07,homicide_rate
8,Coef_p-value,0.093,0.391,homicide_rate
7,Coef_t-value,-1.70,-0.86,homicide_rate
10,Correlation,-0.20,-0.38,homicide_rate
0,Intercept,-0.15,-0.11,homicide_rate
2,Intercept_CI,"(-0.39, 0.09)","(-0.83, 0.60)",homicide_rate
1,Intercept_SE,0.12,0.36,homicide_rate
3,Intercept_t-value,-1.27,-0.31,homicide_rate
9,Log-Likelihood,-99.70,-10.52,homicide_rate
11,N,72,72,homicide_rate
12,R-squared,0.04,N/A,homicide_rate
95,Coef,0.47,-0.35,infant_mortality
97,Coef_CI,"(0.15, 0.79)","(-0.89, 0.19)",infant_mortality
96,Coef_SE,0.16,0.28,infant_mortality
99,Coef_p-value,0.005,0.199,infant_mortality
98,Coef_t-value,2.95,-1.28,infant_mortality
101,Correlation,0.41,-0.42,infant_mortality
91,Intercept,0.05,-0.14,infant_mortality
93,Intercept_CI,"(-0.25, 0.36)","(-1.16, 0.88)",infant_mortality
92,Intercept_SE,0.15,0.52,infant_mortality
94,Intercept_t-value,0.36,-0.26,infant_mortality
100,Log-Likelihood,-59.94,-43.20,infant_mortality
102,N,44,44,infant_mortality
103,R-squared,0.17,N/A,infant_mortality
56,Coef,0.40,0.88,life_expectancy
58,Coef_CI,"(0.12, 0.69)","(0.45, 1.30)",life_expectancy
57,Coef_SE,0.14,0.22,life_expectancy
60,Coef_p-value,0.007,0.000,life_expectancy
59,Coef_t-value,2.79,4.00,life_expectancy
62,Correlation,0.31,0.76,life_expectancy
52,Intercept,0.27,0.02,life_expectancy
54,Intercept_CI,"(0.03, 0.51)","(-0.86, 0.91)",life_expectancy
53,Intercept_SE,0.12,0.45,life_expectancy
55,Intercept_t-value,2.27,0.05,life_expectancy
61,Log-Likelihood,-103.73,-101.37,life_expectancy
63,N,75,75,life_expectancy
64,R-squared,0.10,N/A,life_expectancy
17,Coef,0.66,0.81,numeracy
19,Coef_CI,"(0.49, 0.83)","(0.67, 0.95)",numeracy
18,Coef_SE,0.09,0.07,numeracy
21,Coef_p-value,0.000,0.000,numeracy
20,Coef_t-value,7.76,11.28,numeracy
23,Correlation,0.50,0.69,numeracy
13,Intercept,-0.08,-0.05,numeracy
15,Intercept_CI,"(-0.22, 0.07)","(-0.65, 0.55)",numeracy
14,Intercept_SE,0.07,0.31,numeracy
16,Intercept_t-value,-1.07,-0.17,numeracy
22,Log-Likelihood,-260.07,-124.44,numeracy
24,N,185,185,numeracy
25,R-squared,0.25,N/A,numeracy
69,Coef,0.33,0.33,urbanization
71,Coef_CI,"(0.07, 0.59)","(0.17, 0.50)",urbanization
70,Coef_SE,0.13,0.09,urbanization
73,Coef_p-value,0.012,0.000,urbanization
72,Coef_t-value,2.57,3.87,urbanization
75,Correlation,0.27,0.27,urbanization
65,Intercept,0.10,-0.03,urbanization
67,Intercept_CI,"(-0.12, 0.32)","(-0.55, 0.49)",urbanization
66,Intercept_SE,0.11,0.27,urbanization
68,Intercept_t-value,0.87,-0.12,urbanization
74,Log-Likelihood,-127.17,-62.57,urbanization
76,N,88,88,urbanization
77,R-squared,0.07,N/A,urbanization
82,Coef,0.71,0.55,wellbeing
84,Coef_CI,"(0.49, 0.94)","(0.19, 0.91)",wellbeing
83,Coef_SE,0.11,0.18,wellbeing
86,Coef_p-value,0.000,0.003,wellbeing
85,Coef_t-value,6.32,2.99,wellbeing
88,Correlation,0.53,0.28,wellbeing
78,Intercept,-0.04,-0.03,wellbeing
80,Intercept_CI,"(-0.23, 0.15)","(-0.48, 0.42)",wellbeing
79,Intercept_SE,0.10,0.23,wellbeing
81,Intercept_t-value,-0.42,-0.13,wellbeing
87,Log-Likelihood,-145.28,-103.56,wellbeing
89,N,105,105,wellbeing
90,R-squared,0.28,N/A,wellbeing
