,region_name,year,log_height_std,N_est_log_std
0,Arabic world,1850,1.001219022227643,0.8050685747235907
1,Arabic world,1860,1.002814314467111,0.8342867576209639
2,Arabic world,1870,1.001837713394439,0.8047844595519457
3,Arabic world,1880,0.9996468231336616,0.8869123057818384
22,Chinese world,1810,1.0004484764726125,0.6731989796304808
23,Chinese world,1820,1.000566591484171,0.6892966253459462
24,Chinese world,1830,1.000566591484171,0.7532805298866637
25,Chinese world,1840,1.0010383402081442,0.7330252398097985
26,Chinese world,1850,1.0010383402081442,0.7297272145923769
27,Chinese world,1860,1.0004484764726125,0.7592074546574377
28,Chinese world,1870,1.000566591484171,0.7365854841420495
29,Chinese world,1880,0.9999753025245228,0.7460796084426864
30,France,1660,0.996751111389593,0.9803253136958084
31,France,1670,0.995058167696274,0.961780418836468
32,France,1680,0.9954221757820264,1.073473005255983
33,France,1690,0.99524025633974,0.988911683860427
34,France,1710,0.9996196700457672,1.0091608208693208
35,France,1720,0.9981906445351092,1.047799099157054
36,France,1730,1.001156099986564,1.0063901776945672
37,France,1740,1.0020956368861935,1.0837974152071714
38,France,1750,1.0010383402081442,1.0286875846664232
39,France,1810,0.9983101292051104,1.122376947504237
40,France,1820,0.9983101292051104,1.1708490164551475
41,France,1830,0.998429540996382,1.167691591573353
42,France,1840,0.9987873399855008,1.242063908530944
43,France,1850,0.999856830130154,1.2413831413515353
44,France,1860,1.0000937032694197,1.275564311679461
45,France,1870,1.0002120324514567,1.2373750873418936
46,France,1880,1.0006846352777503,1.286815698033522
47,German world,1550,1.0029140491739057,0.9717602365972116
48,German world,1650,1.0052336927292245,1.0907931817335863
49,German world,1710,0.998429540996382,1.1706444255653288
50,German world,1720,0.998071086897366,1.2182497974187916
51,German world,1730,0.9981906445351092,1.1950298163789566
52,German world,1740,0.9979514562027056,1.2375780464456112
53,German world,1750,1.0026308683171845,1.2227416492861012
54,German world,1760,1.0034965417955792,1.2571236585488896
55,German world,1770,1.0028323214898225,1.24314311757758
56,German world,1780,0.9995317574068362,1.302518921043912
57,German world,1790,0.9975773531464904,1.2907080238745694
58,German world,1800,0.9987873399855008,1.3217672625541943
59,German world,1810,1.0029140491739057,1.2884029065898943
60,German world,1820,1.0018833237711895,1.330876167736715
61,German world,1830,1.0012875507825043,1.338856384362752
62,German world,1840,1.001283230211997,1.398543500271811
63,German world,1850,0.9984409664475892,1.375958151415614
64,German world,1860,1.000323924660154,1.406470184953147
65,German world,1870,1.0017477741653122,1.3942399782131456
66,German world,1880,1.0029371842660806,1.4447761858620316
67,Greek World,1660,0.996751111389593,0.3773053526728735
68,Greek World,1690,0.99524025633974,0.3760041453410139
69,Greek World,1720,0.9981906445351092,0.480848896918566
70,Greek World,1730,1.001745566815826,0.4590073568374497
71,Greek World,1740,1.0016528640570368,0.2487533840216981
72,Greek World,1750,1.0005459551452889,0.5075105910822354
73,Greek World,1760,0.9995264809968836,0.5981504827238528
74,Greek World,1770,0.9994472747708344,0.3694389141504589
75,Greek World,1780,0.9989210369483243,0.2452835028142489
76,Greek World,1790,1.0006846352777503,0.5395203998008246
77,Greek World,1800,0.999025509875848,0.700334119142231
78,Greek World,1810,0.9984036972920592,0.636535795726714
79,Greek World,1820,0.999198511424616,0.7088553925362971
80,Greek World,1830,0.9977780158442884,0.7277232176114836
81,Greek World,1840,0.9978322117448226,0.8060649323129763
82,Greek World,1850,0.999122833717848,0.8713100369498215
83,Greek World,1860,0.9995214619209228,0.866551173162124
84,Greek World,1870,0.9999086332448356,0.8428878948440436
85,Greek World,1880,0.9997230048870092,0.9213145935582436
86,Indian world,1840,0.9939669500766724,0.6144244862050822
87,Indian world,1850,0.9958133360035016,0.6463932565890018
88,Indian world,1860,0.9972069085734604,0.648023282620065
89,Indian world,1870,0.998152437741817,0.7347311756412408
90,Indian world,1880,0.9965428393601934,0.7737030642995412
91,Italy,1730,1.00268056599093,1.0886259819092237
