,OLS Without FE,MixedLM With FE,Variable
Intercept,1.90,1.19,homicide_rate
Intercept_SE,0.58,0.41,homicide_rate
Intercept_CI,"(0.74, 3.07)","(0.38, 2.01)",homicide_rate
Intercept_t-value,3.27,2.88,homicide_rate
Coef,-1.02,-0.28,homicide_rate
Coef_SE,0.60,0.32,homicide_rate
Coef_CI,"(-2.21, 0.18)","(-0.92, 0.36)",homicide_rate
Coef_t-value,-1.70,-0.86,homicide_rate
Coef_p-value,0.093,0.391,homicide_rate
Log-Likelihood,-79.35,11.14,homicide_rate
Correlation,-0.20,-0.38,homicide_rate
N,72,72,homicide_rate
R-squared,0.04,N/A,homicide_rate
